TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary,Allocation Ratio (R=nt/nc),Test,Allocation Ratio (R=nt/nc),20260901T234639_5bd10d,,
Design Summary,Allocation Ratio (R=nt/nc),value,1.2258,20260901T234639_5bd10d,,
Design Summary,AR_TV (%),Test,AR_TV (%),20260901T234639_5bd10d,,
Design Summary,AR_TV (%),value,20,20260901T234639_5bd10d,,
Design Summary,Control Mean,Test,Control Mean,20260901T234639_5bd10d,,
Design Summary,Control Mean,value,0.3221,20260901T234639_5bd10d,,
Design Summary,DC_LRV (%),Test,DC_LRV (%),20260901T234639_5bd10d,,
Design Summary,DC_LRV (%),value,85,20260901T234639_5bd10d,,
Design Summary,Method,Test,Method,20260901T234639_5bd10d,,
Design Summary,Method,value,Frequentist,20260901T234639_5bd10d,,
Design Summary,Number of Analyses,Test,Number of Analyses,20260901T234639_5bd10d,,
Design Summary,Number of Analyses,value,3,20260901T234639_5bd10d,,
Design Summary,Sample Size (n),Test,Sample Size (n),20260901T234639_5bd10d,,
Design Summary,Sample Size (n),value,108,20260901T234639_5bd10d,,
Design Summary,Standard Deviation,Test,Standard Deviation,20260901T234639_5bd10d,,
Design Summary,Standard Deviation,value,30,20260901T234639_5bd10d,,
Design Summary,Test Name,Test,Test Name,20260901T234639_5bd10d,,
Design Summary,Test Name,value,Difference of Means,20260901T234639_5bd10d,,
Design Summary,Treatment Mean LRV,Test,Treatment Mean LRV,20260901T234639_5bd10d,,
Design Summary,Treatment Mean LRV,value,7.9632,20260901T234639_5bd10d,,
Design Summary,Treatment Mean TV,Test,Treatment Mean TV,20260901T234639_5bd10d,,
Design Summary,Treatment Mean TV,value,8.753,20260901T234639_5bd10d,,
Design Summary,Treatment Mean UIV,Test,Treatment Mean UIV,20260901T234639_5bd10d,,
Design Summary,Treatment Mean UIV,value,0.44562,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,LRV (δ),Amber (%),60.955,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,LRV (δ),Green (%),15,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,LRV (δ),Green or Amber (%),75.955,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,LRV (δ),Parameter,LRV (δ),20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,LRV (δ),Red (%),24.045,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,LRV (δ),Value,7.641,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,TV (δ),Amber (%),61.585,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,TV (δ),Green (%),18.415,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,TV (δ),Green or Amber (%),80,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,TV (δ),Parameter,TV (δ),20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,TV (δ),Red (%),20,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,TV (δ),Value,8.431,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,UIV (δ),Amber (%),26.561,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,UIV (δ),Green (%),0.969,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,UIV (δ),Green or Amber (%),27.53,20260901T234639_5bd10d,,
Interim Analysis Risk Evaluation #1,UIV (δ),Parameter,UIV (δ),20260901T234639_5bd10d,,
