ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
txt_Project_Name,ProjectPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Study_Objective,ProjectPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Phase,ProjectPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Target_Population,ProjectPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
txt_Control_Arm,ProjectPage,css,#controlArm-0,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Arm,ProjectPage,css,#treatmentArm-0,,,FALSE,textbox from codegen,FALSE
obj_Priority,ProjectPage,label,Priority,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Endpoint_Name,ProjectPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
ddl_Endpoint_Type,ProjectPage,role,button,Time to Event,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Better_Response,ProjectPage,role,button,Larger Value,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Follow_up_Time_Week,ProjectPage,css,#followUpTime-0,,,FALSE,textbox from codegen,FALSE
btn_Create_Project,ProjectPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_collection_Name,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
btn_Select_Task,InputSetPage,role,button,Decide Go/No-Go based,,FALSE,button from codegen,FALSE
ddl_Select_Test,InputSetPage,label,Select Test,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,InputSetPage,role,button,Continue,,FALSE,button from codegen,FALSE
txt_Control_Proportion,DesignPage,css,#controlProportion,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Proportion_TV,DesignPage,css,#treatmentProportionTV,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Proportion_LRV,DesignPage,css,#treatmentProportionLRV,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Proportion_UIV,DesignPage,css,#treatmentProportionUIV,,,FALSE,textbox from codegen,FALSE
txt_Sample_Size_n,DesignPage,css,#sampleSize,,,FALSE,textbox from codegen,FALSE
txt_Allocation_Ratio_R_nt_nc,DesignPage,css,#allocationRatio,,,FALSE,textbox from codegen,FALSE
ddl_Desired_Confidence_DC,DesignPage,css,#desiredConfidenceSelect,,,FALSE,native <select> from codegen,FALSE
txt_desired_Confidence_Input,DesignPage,css,#desiredConfidenceInput,,,FALSE,textbox from codegen,FALSE
txt_acceptable_Risk_Input,DesignPage,css,#acceptableRiskInput,,,FALSE,textbox from codegen,FALSE
ddl_Method,DesignPage,css,#framework,,,FALSE,native <select> from codegen,FALSE
txt_Alpha,DesignPage,css,#priorAlphaControl,,,FALSE,textbox from codegen,FALSE
txt_Beta,DesignPage,css,#priorBetaControl,,,FALSE,textbox from codegen,FALSE
txt_prior_Alpha_Treatment,DesignPage,css,#priorAlphaTreatment,,,FALSE,textbox from codegen,FALSE
txt_prior_Beta_Treatment,DesignPage,css,#priorBetaTreatment,,,FALSE,textbox from codegen,FALSE
ddl_Interim_Type,DesignPage,css,#interimType,,,FALSE,native <select> from codegen,FALSE
ddl_Stop_Rule,DesignPage,css,#stopRule,,,FALSE,native <select> from codegen,FALSE
btn_Add_Interim,DesignPage,role,button,Add Interim,,FALSE,button from codegen,FALSE
txt_decide_Interim_Table_0_analysis_Spacing_Info,DesignPage,css,"[id=""decideInterimTable.0.analysisSpacingInfo""]",,,FALSE,textbox from codegen,FALSE
txt_decide_Interim_Table_1_analysis_Spacing_Info,DesignPage,css,"[id=""decideInterimTable.1.analysisSpacingInfo""]",,,FALSE,textbox from codegen,FALSE
txt_decide_Interim_Table_2_analysis_Spacing_Info,DesignPage,css,"[id=""decideInterimTable.2.analysisSpacingInfo""]",,,FALSE,textbox from codegen,FALSE
txt_decide_Interim_Table_0_stop_Cutoff,DesignPage,css,"[id=""decideInterimTable.0.stopCutoff""]",,,FALSE,textbox from codegen,FALSE
txt_decide_Interim_Table_0_interim_ARTV,DesignPage,css,"[id=""decideInterimTable.0.interimARTV""]",,,FALSE,textbox from codegen,FALSE
txt_decide_Interim_Table_0_max_Stop_PP,DesignPage,css,"input[name=""decideInterimTable.0.maxStopPP""]",,,FALSE,textbox from codegen,FALSE
txt_decide_Interim_Table_1_stop_Cutoff,DesignPage,css,"[id=""decideInterimTable.1.stopCutoff""]",,,FALSE,textbox mirrored from period 0 (table-completeness),FALSE
txt_decide_Interim_Table_2_stop_Cutoff,DesignPage,css,"[id=""decideInterimTable.2.stopCutoff""]",,,FALSE,textbox mirrored from period 0 (table-completeness),FALSE
txt_decide_Interim_Table_1_interim_ARTV,DesignPage,css,"[id=""decideInterimTable.1.interimARTV""]",,,FALSE,textbox mirrored from period 0 (table-completeness),FALSE
txt_decide_Interim_Table_2_interim_ARTV,DesignPage,css,"[id=""decideInterimTable.2.interimARTV""]",,,FALSE,textbox mirrored from period 0 (table-completeness),FALSE
txt_decide_Interim_Table_1_max_Stop_PP,DesignPage,css,"input[name=""decideInterimTable.1.maxStopPP""]",,,FALSE,textbox mirrored from period 0 (table-completeness),FALSE
txt_decide_Interim_Table_2_max_Stop_PP,DesignPage,css,"input[name=""decideInterimTable.2.maxStopPP""]",,,FALSE,textbox mirrored from period 0 (table-completeness; kept symmetric with the table's period depth),FALSE
btn_Save,DesignPage,role,button,Save,,FALSE,button from codegen,TRUE
btn_Save_Compute,DesignPage,role,button,Save & Compute,,FALSE,button from codegen,FALSE
txt_ResultName,ResultsPage,css,#inputId,,,FALSE,textbox from codegen,FALSE
txt_credit_alert_primary,ResultsPage,css,#credit-alert-primary,,,FALSE,textbox from codegen,FALSE
