TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary,Allocation Ratio (R=nt/nc),Test,Allocation Ratio (R=nt/nc),20260902T105545_eb883f,,
Design Summary,Allocation Ratio (R=nt/nc),value,1.321,20260902T105545_eb883f,,
Design Summary,AR_LRV (%),Test,AR_LRV (%),20260902T105545_eb883f,,
Design Summary,AR_LRV (%),value,27.8965,20260902T105545_eb883f,,
Design Summary,Control Proportion (%),Test,Control Proportion (%),20260902T105545_eb883f,,
Design Summary,Control Proportion (%),value,18,20260902T105545_eb883f,,
Design Summary,DC_TV (%),Test,DC_TV (%),20260902T105545_eb883f,,
Design Summary,DC_TV (%),value,89,20260902T105545_eb883f,,
Design Summary,Method,Test,Method,20260902T105545_eb883f,,
Design Summary,Method,value,Frequentist,20260902T105545_eb883f,,
Design Summary,Number of Analyses,Test,Number of Analyses,20260902T105545_eb883f,,
Design Summary,Number of Analyses,value,4,20260902T105545_eb883f,,
Design Summary,Sample Size (n),Test,Sample Size (n),20260902T105545_eb883f,,
Design Summary,Sample Size (n),value,95,20260902T105545_eb883f,,
Design Summary,Test Name,Test,Test Name,20260902T105545_eb883f,,
Design Summary,Test Name,value,Difference of Proportions,20260902T105545_eb883f,,
Design Summary,Treatment Proportion LRV (%),Test,Treatment Proportion LRV (%),20260902T105545_eb883f,,
Design Summary,Treatment Proportion LRV (%),value,62,20260902T105545_eb883f,,
Design Summary,Treatment Proportion TV (%),Test,Treatment Proportion TV (%),20260902T105545_eb883f,,
Design Summary,Treatment Proportion TV (%),value,72,20260902T105545_eb883f,,
Design Summary,Treatment Proportion UIV (%),Test,Treatment Proportion UIV (%),20260902T105545_eb883f,,
Design Summary,Treatment Proportion UIV (%),value,42.5,20260902T105545_eb883f,,
Interim Analysis Risk Evaluation #1,LRV (δ),Parameter,LRV (δ),20260902T105545_eb883f,,
Interim Analysis Risk Evaluation #1,LRV (δ),Value,0.44,20260902T105545_eb883f,,
Interim Analysis Risk Evaluation #1,LRV (δ),With Interim (%),25.452,20260902T105545_eb883f,,
Interim Analysis Risk Evaluation #1,LRV (δ),Without Interim (%),23.509,20260902T105545_eb883f,,
