TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary,Allocation Ratio (R=nt/nc),Test,Allocation Ratio (R=nt/nc),20260902T102148_028edf,,
Design Summary,Allocation Ratio (R=nt/nc),value,1.1852,20260902T102148_028edf,,
Design Summary,AR_TV (%),Test,AR_TV (%),20260902T102148_028edf,,
Design Summary,AR_TV (%),value,15.55,20260902T102148_028edf,,
Design Summary,Control Mean,Test,Control Mean,20260902T102148_028edf,,
Design Summary,Control Mean,value,5.5,20260902T102148_028edf,,
Design Summary,DC_LRV (%),Test,DC_LRV (%),20260902T102148_028edf,,
Design Summary,DC_LRV (%),value,88,20260902T102148_028edf,,
Design Summary,Method,Test,Method,20260902T102148_028edf,,
Design Summary,Method,value,Frequentist,20260902T102148_028edf,,
Design Summary,Sample Size (n),Test,Sample Size (n),20260902T102148_028edf,,
Design Summary,Sample Size (n),value,100,20260902T102148_028edf,,
Design Summary,Standard Deviation,Test,Standard Deviation,20260902T102148_028edf,,
Design Summary,Standard Deviation,value,3.665,20260902T102148_028edf,,
Design Summary,Test Name,Test,Test Name,20260902T102148_028edf,,
Design Summary,Test Name,value,Ratio of Means,20260902T102148_028edf,,
Design Summary,Treatment Mean LRV,Test,Treatment Mean LRV,20260902T102148_028edf,,
Design Summary,Treatment Mean LRV,value,8.9658,20260902T102148_028edf,,
Design Summary,Treatment Mean TV,Test,Treatment Mean TV,20260902T102148_028edf,,
Design Summary,Treatment Mean TV,value,9.3256,20260902T102148_028edf,,
Design Summary,Treatment Mean UIV,Test,Treatment Mean UIV,20260902T102148_028edf,,
Design Summary,Treatment Mean UIV,value,6.668,20260902T102148_028edf,,
Go/Stop Calculation,46,Control Sample Size,46,20260902T102148_028edf,,
Go/Stop Calculation,46,LRV (ρ),1.63,20260902T102148_028edf,,
Go/Stop Calculation,46,Treatment Sample Size,54,20260902T102148_028edf,,
Go/Stop Calculation,46,TV (ρ),1.696,20260902T102148_028edf,,
Plan #1,Control Arm,Parameter,Control Arm,20260902T102148_028edf,,
Plan #1,Control Arm,Value,Ctrl,20260902T102148_028edf,,
Plan #1,Phase,Parameter,Phase,20260902T102148_028edf,,
Plan #1,Phase,Value,3,20260902T102148_028edf,,
Plan #1,Study Objective,Parameter,Study Objective,20260902T102148_028edf,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260902T102148_028edf,,
Plan #1,Target Population,Parameter,Target Population,20260902T102148_028edf,,
Plan #1,Target Population,Value,Adult,20260902T102148_028edf,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260902T102148_028edf,,
Plan #1,Treatment Arm,Value,EXP,20260902T102148_028edf,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260902T102148_028edf,,
