TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary,Allocation Ratio (R=nt/nc),Test,Allocation Ratio (R=nt/nc),20260902T111402_ab5b5f,,
Design Summary,Allocation Ratio (R=nt/nc),value,1.112,20260902T111402_ab5b5f,,
Design Summary,AR_TV (%),Test,AR_TV (%),20260902T111402_ab5b5f,,
Design Summary,AR_TV (%),value,31.65285,20260902T111402_ab5b5f,,
Design Summary,Control Proportion (%),Test,Control Proportion (%),20260902T111402_ab5b5f,,
Design Summary,Control Proportion (%),value,22,20260902T111402_ab5b5f,,
Design Summary,DC_LRV (%),Test,DC_LRV (%),20260902T111402_ab5b5f,,
Design Summary,DC_LRV (%),value,82.652355,20260902T111402_ab5b5f,,
Design Summary,Method,Test,Method,20260902T111402_ab5b5f,,
Design Summary,Method,value,Frequentist,20260902T111402_ab5b5f,,
Design Summary,Sample Size (n),Test,Sample Size (n),20260902T111402_ab5b5f,,
Design Summary,Sample Size (n),value,92,20260902T111402_ab5b5f,,
Design Summary,Test Name,Test,Test Name,20260902T111402_ab5b5f,,
Design Summary,Test Name,value,Ratio of Proportions,20260902T111402_ab5b5f,,
Design Summary,Treatment Proportion LRV (%),Test,Treatment Proportion LRV (%),20260902T111402_ab5b5f,,
Design Summary,Treatment Proportion LRV (%),value,55.3256,20260902T111402_ab5b5f,,
Design Summary,Treatment Proportion TV (%),Test,Treatment Proportion TV (%),20260902T111402_ab5b5f,,
Design Summary,Treatment Proportion TV (%),value,65,20260902T111402_ab5b5f,,
Design Summary,Treatment Proportion UIV (%),Test,Treatment Proportion UIV (%),20260902T111402_ab5b5f,,
Design Summary,Treatment Proportion UIV (%),value,42.85623,20260902T111402_ab5b5f,,
Go/Stop Calculation,44,Control Sample Size,44,20260902T111402_ab5b5f,,
Go/Stop Calculation,44,LRV (ρ),2.515,20260902T111402_ab5b5f,,
Go/Stop Calculation,44,Treatment Sample Size,48,20260902T111402_ab5b5f,,
Go/Stop Calculation,44,TV (ρ),2.955,20260902T111402_ab5b5f,,
Plan #1,Control Arm,Parameter,Control Arm,20260902T111402_ab5b5f,,
Plan #1,Control Arm,Value,Ctrl,20260902T111402_ab5b5f,,
Plan #1,Phase,Parameter,Phase,20260902T111402_ab5b5f,,
Plan #1,Phase,Value,3,20260902T111402_ab5b5f,,
Plan #1,Study Objective,Parameter,Study Objective,20260902T111402_ab5b5f,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260902T111402_ab5b5f,,
Plan #1,Target Population,Parameter,Target Population,20260902T111402_ab5b5f,,
Plan #1,Target Population,Value,Adult,20260902T111402_ab5b5f,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260902T111402_ab5b5f,,
Plan #1,Treatment Arm,Value,EXP,20260902T111402_ab5b5f,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260902T111402_ab5b5f,,
Plan #2,Endpoint Name,Value,EPBin,20260902T111402_ab5b5f,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260902T111402_ab5b5f,,
Plan #2,Endpoint Type,Value,Binary,20260902T111402_ab5b5f,,
Plan #2,Priority,Parameter,Priority,20260902T111402_ab5b5f,,
Plan #2,Priority,Value,Primary,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,LRV (ρ),Amber (%),36.223,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,LRV (ρ),Green (%),16.481,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,LRV (ρ),Green or Amber (%),52.704,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,LRV (ρ),Parameter,LRV (ρ),20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,LRV (ρ),Red (%),47.296,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,LRV (ρ),Red or Amber (%),83.519,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,LRV (ρ),Value,2.515,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,TV (ρ),Amber (%),40.798,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,TV (ρ),Green (%),31.835,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,TV (ρ),Green or Amber (%),72.633,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,TV (ρ),Parameter,TV (ρ),20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,TV (ρ),Red (%),27.367,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,TV (ρ),Red or Amber (%),68.165,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,TV (ρ),Value,2.955,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,UIV (ρ),Amber (%),19.383,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,UIV (ρ),Green (%),4.455,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,UIV (ρ),Green or Amber (%),23.838,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,UIV (ρ),Parameter,UIV (ρ),20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,UIV (ρ),Red (%),76.162,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,UIV (ρ),Red or Amber (%),95.545,20260902T111402_ab5b5f,,
Probability of GAR Given the True Value,UIV (ρ),Value,1.948,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Cut Off (ρ),68.34715% 1-Sided,≤ 2.462,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Cut Off (ρ),82.652355% 1-Sided,≥ 3.409,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Cut Off (ρ),LCLUCL,Cut Off (ρ),20260902T111402_ab5b5f,,
Stop/Go Cut Offs,LCL,68.34715% 1-Sided,2.12,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,LCL,82.652355% 1-Sided,2.581,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,LCL,LCLUCL,LCL,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Treatment Count,68.34715% 1-Sided,26,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Treatment Count,82.652355% 1-Sided,36,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Treatment Count,LCLUCL,Treatment Count,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Treatment Proportion (%),68.34715% 1-Sided,54.167,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Treatment Proportion (%),82.652355% 1-Sided,75,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,Treatment Proportion (%),LCLUCL,Treatment Proportion (%),20260902T111402_ab5b5f,,
Stop/Go Cut Offs,UCL,68.34715% 1-Sided,2.859,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,UCL,82.652355% 1-Sided,4.503,20260902T111402_ab5b5f,,
Stop/Go Cut Offs,UCL,LCLUCL,UCL,20260902T111402_ab5b5f,,
