TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary,AR_TV (%),Test,AR_TV (%),20260902T130046_40bdf7,,
Design Summary,AR_TV (%),value,15.85,20260902T130046_40bdf7,,
Design Summary,DC_LRV (%),Test,DC_LRV (%),20260902T130046_40bdf7,,
Design Summary,DC_LRV (%),value,82,20260902T130046_40bdf7,,
Design Summary,Events (n),Test,Events (n),20260902T130046_40bdf7,,
Design Summary,Events (n),value,55,20260902T130046_40bdf7,,
Design Summary,Input Method,Test,Input Method,20260902T130046_40bdf7,,
Design Summary,Input Method,value,Median Survival Times,20260902T130046_40bdf7,,
Design Summary,Lower Ref. Value (LRV) (Week),Test,Lower Ref. Value (LRV) (Week),20260902T130046_40bdf7,,
Design Summary,Lower Ref. Value (LRV) (Week),value,20.32156,20260902T130046_40bdf7,,
Design Summary,Maturity (%),Test,Maturity (%),20260902T130046_40bdf7,,
Design Summary,Maturity (%),value,72.658,20260902T130046_40bdf7,,
Design Summary,Method,Test,Method,20260902T130046_40bdf7,,
Design Summary,Method,value,Frequentist,20260902T130046_40bdf7,,
Design Summary,Target Value (TV) (Week),Test,Target Value (TV) (Week),20260902T130046_40bdf7,,
Design Summary,Target Value (TV) (Week),value,25,20260902T130046_40bdf7,,
Design Summary,Test Name,Test,Test Name,20260902T130046_40bdf7,,
Design Summary,Test Name,value,Single Arm Survival,20260902T130046_40bdf7,,
Design Summary,User Interest Value (UIV) (Week),Test,User Interest Value (UIV) (Week),20260902T130046_40bdf7,,
Design Summary,User Interest Value (UIV) (Week),value,6.3215,20260902T130046_40bdf7,,
Go/Stop Calculation,55,Events,55,20260902T130046_40bdf7,,
Go/Stop Calculation,55,LRV (Median Survival Time) (Week),20.322,20260902T130046_40bdf7,,
Go/Stop Calculation,55,Sample Size,76,20260902T130046_40bdf7,,
Go/Stop Calculation,55,TV (Median Survival Time) (Week),25,20260902T130046_40bdf7,,
Plan #1,Control Arm,Parameter,Control Arm,20260902T130046_40bdf7,,
Plan #1,Control Arm,Value,Control,20260902T130046_40bdf7,,
Plan #1,Phase,Parameter,Phase,20260902T130046_40bdf7,,
Plan #1,Phase,Value,3,20260902T130046_40bdf7,,
Plan #1,Study Objective,Parameter,Study Objective,20260902T130046_40bdf7,,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260902T130046_40bdf7,,
Plan #1,Target Population,Parameter,Target Population,20260902T130046_40bdf7,,
Plan #1,Target Population,Value,Adult,20260902T130046_40bdf7,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260902T130046_40bdf7,,
Plan #1,Treatment Arm,Value,EXP,20260902T130046_40bdf7,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260902T130046_40bdf7,,
Plan #2,Endpoint Name,Value,EPTTE,20260902T130046_40bdf7,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260902T130046_40bdf7,,
Plan #2,Endpoint Type,Value,Time to Event,20260902T130046_40bdf7,,
Plan #2,Priority,Parameter,Priority,20260902T130046_40bdf7,,
Plan #2,Priority,Value,Primary,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,LRV (Median Survival Time),Amber (%),11.6,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,LRV (Median Survival Time),Green (%),18,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,LRV (Median Survival Time),Green or Amber (%),29.6,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,LRV (Median Survival Time),Parameter,LRV (Median Survival Time),20260902T130046_40bdf7,,
Probability of GAR Given the True Value,LRV (Median Survival Time),Red (%),70.4,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,LRV (Median Survival Time),Red or Amber (%),82,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,LRV (Median Survival Time),Value (Week),20.322,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,TV (Median Survival Time),Amber (%),10.873,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,TV (Median Survival Time),Green (%),73.277,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,TV (Median Survival Time),Green or Amber (%),84.15,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,TV (Median Survival Time),Parameter,TV (Median Survival Time),20260902T130046_40bdf7,,
Probability of GAR Given the True Value,TV (Median Survival Time),Red (%),15.85,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,TV (Median Survival Time),Red or Amber (%),26.723,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,TV (Median Survival Time),Value (Week),25,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,UIV (Median Survival Time),Amber (%),0,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,UIV (Median Survival Time),Green (%),0,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,UIV (Median Survival Time),Green or Amber (%),0,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,UIV (Median Survival Time),Parameter,UIV (Median Survival Time),20260902T130046_40bdf7,,
Probability of GAR Given the True Value,UIV (Median Survival Time),Red (%),100,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,UIV (Median Survival Time),Red or Amber (%),100,20260902T130046_40bdf7,,
Probability of GAR Given the True Value,UIV (Median Survival Time),Value (Week),6.322,20260902T130046_40bdf7,,
Stop/Go Cut Offs,Cut Off (Median Survival Time),82% 1-Sided,≥ 22.991,20260902T130046_40bdf7,,
Stop/Go Cut Offs,Cut Off (Median Survival Time),84.15% 1-Sided,≤ 21.845,20260902T130046_40bdf7,,
Stop/Go Cut Offs,Cut Off (Median Survival Time),LCLUCL,Cut Off (Median Survival Time),20260902T130046_40bdf7,,
Stop/Go Cut Offs,LCL,82% 1-Sided,20.322,20260902T130046_40bdf7,,
Stop/Go Cut Offs,LCL,84.15% 1-Sided,19.087,20260902T130046_40bdf7,,
Stop/Go Cut Offs,LCL,LCLUCL,LCL,20260902T130046_40bdf7,,
Stop/Go Cut Offs,UCL,82% 1-Sided,26.011,20260902T130046_40bdf7,,
Stop/Go Cut Offs,UCL,84.15% 1-Sided,25,20260902T130046_40bdf7,,
Stop/Go Cut Offs,UCL,LCLUCL,UCL,20260902T130046_40bdf7,,
