TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,stopCutoff,interimARTV,maxStopPP,interimDCLRV,minGoPP,goCutoff
TC_28,ITER_04,0,62,0.123,N/A,N/A,82,N/A,N/A
TC_28,ITER_04,1,75,0.22,N/A,N/A,85,N/A,N/A
TC_28,ITER_05,0,55,N/A,20,N/A,N/A,75,N/A
TC_28,ITER_05,1,65,N/A,40,N/A,N/A,82,N/A
TC_28,ITER_05,2,80,N/A,50,N/A,N/A,85,N/A
TC_28,ITER_06,0,70,N/A,N/A,15,N/A,88,N/A
TC_28,ITER_07,0,65,N/A,N/A,20,N/A,N/A,0.82
TC_28,ITER_07,1,88,N/A,N/A,30,N/A,N/A,0.855
TC_28,ITER_08,0,55,N/A,10,N/A,N/A,N/A,N/A
TC_28,ITER_08,1,65,N/A,20,N/A,N/A,N/A,N/A
TC_28,ITER_08,2,75,N/A,30,N/A,N/A,N/A,N/A
TC_28,ITER_09,0,64,0.2113,N/A,N/A,N/A,N/A,N/A
TC_28,ITER_10,0,58,N/A,N/A,25,N/A,N/A,N/A
TC_28,ITER_11,0,30,N/A,N/A,22,N/A,N/A,N/A
TC_28,ITER_11,1,60,N/A,N/A,32,N/A,N/A,N/A
TC_28,ITER_11,2,90,N/A,N/A,42,N/A,N/A,N/A
