TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary,AR_TV (%),Test,AR_TV (%),20260902T133537_797bf9,,
Design Summary,AR_TV (%),value,12,20260902T133537_797bf9,,
Design Summary,DC_LRV (%),Test,DC_LRV (%),20260902T133537_797bf9,,
Design Summary,DC_LRV (%),value,88,20260902T133537_797bf9,,
Design Summary,Lower Ref. Value (LRV),Test,Lower Ref. Value (LRV),20260902T133537_797bf9,,
Design Summary,Lower Ref. Value (LRV),value,7.3256,20260902T133537_797bf9,,
Design Summary,Method,Test,Method,20260902T133537_797bf9,,
Design Summary,Method,value,Bayesian,20260902T133537_797bf9,,
Design Summary,Normal Prior for Treatment,Test,Normal Prior for Treatment,20260902T133537_797bf9,,
Design Summary,Normal Prior for Treatment,value,,20260902T133537_797bf9,,
Design Summary,Prior Mean,Test,Prior Mean,20260902T133537_797bf9,,
Design Summary,Prior Mean,value,6.8852,20260902T133537_797bf9,,
Design Summary,Prior Standard Deviation,Test,Prior Standard Deviation,20260902T133537_797bf9,,
Design Summary,Prior Standard Deviation,value,521,20260902T133537_797bf9,,
Design Summary,Sample Size (n),Test,Sample Size (n),20260902T133537_797bf9,,
Design Summary,Sample Size (n),value,123,20260902T133537_797bf9,,
Design Summary,Standard Deviation,Test,Standard Deviation,20260902T133537_797bf9,,
Design Summary,Standard Deviation,value,25,20260902T133537_797bf9,,
Design Summary,Target Value (TV),Test,Target Value (TV),20260902T133537_797bf9,,
Design Summary,Target Value (TV),value,7.79658,20260902T133537_797bf9,,
Design Summary,Test Name,Test,Test Name,20260902T133537_797bf9,,
Design Summary,Test Name,value,Single Mean,20260902T133537_797bf9,,
Design Summary,User Interest Value (UIV),Test,User Interest Value (UIV),20260902T133537_797bf9,,
Design Summary,User Interest Value (UIV),value,0.288632,20260902T133537_797bf9,,
Go/Stop Calculation,123,LRV (µ),7.326,20260902T133537_797bf9,,
Go/Stop Calculation,123,Sample Size,123,20260902T133537_797bf9,,
Go/Stop Calculation,123,TV (µ),7.797,20260902T133537_797bf9,,
Plan #1,Phase,Parameter,Phase,20260902T133537_797bf9,,
Plan #1,Phase,Value,3,20260902T133537_797bf9,,
Plan #1,Study Objective,Parameter,Study Objective,20260902T133537_797bf9,,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260902T133537_797bf9,,
Plan #1,Target Population,Parameter,Target Population,20260902T133537_797bf9,,
Plan #1,Target Population,Value,Adult,20260902T133537_797bf9,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260902T133537_797bf9,,
Plan #1,Treatment Arm,Value,EXP,20260902T133537_797bf9,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260902T133537_797bf9,,
Plan #2,Endpoint Name,Value,EPCont,20260902T133537_797bf9,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260902T133537_797bf9,,
Plan #2,Endpoint Type,Value,Continuous,20260902T133537_797bf9,,
Plan #2,Priority,Parameter,Priority,20260902T133537_797bf9,,
Plan #2,Priority,Value,Primary,20260902T133537_797bf9,,
Probability of GAR Given the True Value,LRV (µ),Amber (%),71.299,20260902T133537_797bf9,,
Probability of GAR Given the True Value,LRV (µ),Green (%),12,20260902T133537_797bf9,,
Probability of GAR Given the True Value,LRV (µ),Green or Amber (%),83.299,20260902T133537_797bf9,,
Probability of GAR Given the True Value,LRV (µ),Parameter,LRV (µ),20260902T133537_797bf9,,
Probability of GAR Given the True Value,LRV (µ),Red (%),16.701,20260902T133537_797bf9,,
Probability of GAR Given the True Value,LRV (µ),Red or Amber (%),88,20260902T133537_797bf9,,
Probability of GAR Given the True Value,LRV (µ),Value,7.326,20260902T133537_797bf9,,
Probability of GAR Given the True Value,TV (µ),Amber (%),71.299,20260902T133537_797bf9,,
Probability of GAR Given the True Value,TV (µ),Green (%),16.701,20260902T133537_797bf9,,
Probability of GAR Given the True Value,TV (µ),Green or Amber (%),88,20260902T133537_797bf9,,
Probability of GAR Given the True Value,TV (µ),Parameter,TV (µ),20260902T133537_797bf9,,
Probability of GAR Given the True Value,TV (µ),Red (%),12,20260902T133537_797bf9,,
Probability of GAR Given the True Value,TV (µ),Red or Amber (%),83.299,20260902T133537_797bf9,,
Probability of GAR Given the True Value,TV (µ),Value,7.797,20260902T133537_797bf9,,
Probability of GAR Given the True Value,UIV (µ),Amber (%),1.555,20260902T133537_797bf9,,
Probability of GAR Given the True Value,UIV (µ),Green (%),0.001,20260902T133537_797bf9,,
Probability of GAR Given the True Value,UIV (µ),Green or Amber (%),1.555,20260902T133537_797bf9,,
Probability of GAR Given the True Value,UIV (µ),Parameter,UIV (µ),20260902T133537_797bf9,,
Probability of GAR Given the True Value,UIV (µ),Red (%),98.445,20260902T133537_797bf9,,
Probability of GAR Given the True Value,UIV (µ),Red or Amber (%),99.999,20260902T133537_797bf9,,
Probability of GAR Given the True Value,UIV (µ),Value,0.289,20260902T133537_797bf9,,
Stop/Go Cut Offs,Cut Off (µ),88% 1-Sided,≤ 5.148,20260902T133537_797bf9,,
Stop/Go Cut Offs,Cut Off (µ),88% 1-Sided,≥ 9.974,20260902T133537_797bf9,,
Stop/Go Cut Offs,Cut Off (µ),LCLUCL,Cut Off (µ),20260902T133537_797bf9,,
Stop/Go Cut Offs,LCL,88% 1-Sided,2.499,20260902T133537_797bf9,,
Stop/Go Cut Offs,LCL,88% 1-Sided,7.326,20260902T133537_797bf9,,
Stop/Go Cut Offs,LCL,LCLUCL,LCL,20260902T133537_797bf9,,
Stop/Go Cut Offs,UCL,88% 1-Sided,7.797,20260902T133537_797bf9,,
Stop/Go Cut Offs,UCL,88% 1-Sided,12.623,20260902T133537_797bf9,,
Stop/Go Cut Offs,UCL,LCLUCL,UCL,20260902T133537_797bf9,,
