TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary,Allocation Ratio (R=nt/nc),Test,Allocation Ratio (R=nt/nc),20260902T155125_713505,,
Design Summary,Allocation Ratio (R=nt/nc),value,1.321456,20260902T155125_713505,,
Design Summary,AR_TV (%),Test,AR_TV (%),20260902T155125_713505,,
Design Summary,AR_TV (%),value,25,20260902T155125_713505,,
Design Summary,Control Event Rate,Test,Control Event Rate,20260902T155125_713505,,
Design Summary,Control Event Rate,value,0.11111,20260902T155125_713505,,
Design Summary,DC_LRV (%),Test,DC_LRV (%),20260902T155125_713505,,
Design Summary,DC_LRV (%),value,91,20260902T155125_713505,,
Design Summary,Events (n),Test,Events (n),20260902T155125_713505,,
Design Summary,Events (n),value,85,20260902T155125_713505,,
Design Summary,Input Method,Test,Input Method,20260902T155125_713505,,
Design Summary,Input Method,value,Event Rates,20260902T155125_713505,,
Design Summary,Maturity (%),Test,Maturity (%),20260902T155125_713505,,
Design Summary,Maturity (%),value,80.63258,20260902T155125_713505,,
Design Summary,Method,Test,Method,20260902T155125_713505,,
Design Summary,Method,value,Frequentist,20260902T155125_713505,,
Design Summary,Number of Analyses,Test,Number of Analyses,20260902T155125_713505,,
Design Summary,Number of Analyses,value,4,20260902T155125_713505,,
Design Summary,Test Name,Test,Test Name,20260902T155125_713505,,
Design Summary,Test Name,value,Two Arms Survival,20260902T155125_713505,,
Design Summary,Treatment Event Rate LRV,Test,Treatment Event Rate LRV,20260902T155125_713505,,
Design Summary,Treatment Event Rate LRV,value,0.145685,20260902T155125_713505,,
Design Summary,Treatment Event Rate TV,Test,Treatment Event Rate TV,20260902T155125_713505,,
Design Summary,Treatment Event Rate TV,value,0.13568,20260902T155125_713505,,
Design Summary,Treatment Event Rate UIV,Test,Treatment Event Rate UIV,20260902T155125_713505,,
Design Summary,Treatment Event Rate UIV,value,0.12443,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,LRV (Hazard Ratio),Amber (%),53.694,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,LRV (Hazard Ratio),Green (%),9,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,LRV (Hazard Ratio),Green or Amber (%),62.694,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,LRV (Hazard Ratio),Parameter,LRV (Hazard Ratio),20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,LRV (Hazard Ratio),Red (%),37.306,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,LRV (Hazard Ratio),Value,1.337,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,TV (Hazard Ratio),Amber (%),58.892,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,TV (Hazard Ratio),Green (%),16.108,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,TV (Hazard Ratio),Green or Amber (%),75,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,TV (Hazard Ratio),Parameter,TV (Hazard Ratio),20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,TV (Hazard Ratio),Red (%),25,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,TV (Hazard Ratio),Value,1.238,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,UIV (Hazard Ratio),Amber (%),57.832,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,UIV (Hazard Ratio),Green (%),28.568,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,UIV (Hazard Ratio),Green or Amber (%),86.4,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,UIV (Hazard Ratio),Parameter,UIV (Hazard Ratio),20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,UIV (Hazard Ratio),Red (%),13.6,20260902T155125_713505,,
Interim Analysis Risk Evaluation #1,UIV (Hazard Ratio),Value,1.128,20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,LRV (Hazard Ratio),Green Interim and Green Final (%),5.374,20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,LRV (Hazard Ratio),Green Interim and Red Final (%),0.055,20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,LRV (Hazard Ratio),Parameter,LRV (Hazard Ratio),20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,LRV (Hazard Ratio),Red Interim and Green Final (%),0.174,20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,LRV (Hazard Ratio),Red Interim and Red Final (%),36.734,20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,LRV (Hazard Ratio),Value,1.337,20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,TV (Hazard Ratio),Green Interim and Green Final (%),10.075,20260902T155125_713505,,
Interim Analysis Risk Evaluation #2,TV (Hazard Ratio),Green Interim and Red Final (%),0.043,20260902T155125_713505,,
