ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
obj_Username,Page,label,Username,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
btn_Password,ProjectsPage,role,button,New Project,,FALSE,button from codegen,FALSE
txt_Project_Name,ProjectsPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectsPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Study_Objective,ProjectsPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Agent_Type,ProjectsPage,css,#agentType-0,,,FALSE,native <select> from codegen,FALSE
ddl_Phase,ProjectsPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Target_Population,ProjectsPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
ddl_Unit,ProjectsPage,label,Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
obj_Priority,ProjectsPage,label,Priority,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Endpoint_Name,ProjectsPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
obj_Endpoint_Type,ProjectsPage,label,Endpoint Type,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
obj_Binary_Binary,ProjectsPage,label,BinaryBinary,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
obj_Outcome,ProjectsPage,label,Outcome,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
obj_Dose_Name,ProjectsPage,label,Dose Name,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Dose_Name,ProjectsPage,label,Dose Name,,,FALSE,textbox (alias for obj_Dose_Name),FALSE
txt_Dose_Name_mg,ProjectsPage,css,#doseName-0,,,FALSE,textbox from codegen,FALSE
txt_Dose_Level_mg,ProjectsPage,css,#doseLevel-0,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_1,ProjectsPage,css,#doseName-1,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_1,ProjectsPage,css,#doseLevel-1,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_2,ProjectsPage,css,#doseName-2,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_2,ProjectsPage,css,#doseLevel-2,,,FALSE,textbox from codegen,FALSE
btn_Add_Dose,ProjectsPage,role,button,Add Dose,,FALSE,button from codegen,FALSE
txt_dose_Name_3,ProjectsPage,css,#doseName-3,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_3,ProjectsPage,css,#doseLevel-3,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_4,ProjectsPage,css,#doseName-4,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_4,ProjectsPage,css,#doseLevel-4,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_5,ProjectsPage,css,#doseName-5,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_5,ProjectsPage,css,#doseLevel-5,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_6,ProjectsPage,css,#doseName-6,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_6,ProjectsPage,css,#doseLevel-6,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_7,ProjectsPage,css,#doseName-7,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_7,ProjectsPage,css,#doseLevel-7,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_8,ProjectsPage,css,#doseName-8,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_8,ProjectsPage,css,#doseLevel-8,,,FALSE,textbox from codegen,FALSE
txt_dose_Name_9,ProjectsPage,css,#doseName-9,,,FALSE,textbox from codegen,FALSE
txt_dose_Level_9,ProjectsPage,css,#doseLevel-9,,,FALSE,textbox from codegen,FALSE
btn_Create_Project,ProjectsPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectsPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_Name_Input_Set,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
btn_Design_Compute_or_simulate_a,DesignPage,role,button,Design Compute or simulate a,,FALSE,button from codegen,FALSE
ddl_Select_Test,ResultsPage,label,Select Test,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,ResultsPage,role,button,Continue,,FALSE,button from codegen,FALSE
txt_Max_Sample_Size,ResultsPage,css,#maxSampleSize,,,FALSE,textbox from codegen,FALSE
obj_Cohort_Size,DesignPage,label,Cohort Size,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
ddl_Variant,DesignPage,css,#variant3p3,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
obj_Target_Probability_of,DesignPage,label,Target Probability of,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
chk_Start_With_Accelerated,ResultsPage,testid,startWithAccTitration,,,FALSE,button from codegen,FALSE
btn_Response,ResultsPage,role,button,Response,,FALSE,button from codegen,FALSE
ddl_Starting_Dose,ResultsPage,css,#startingDose,,,FALSE,native <select> from codegen,FALSE
obj_Curve_Family,DesignPage,label,Curve Family,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_de_Chart_Table_0_dose1,ResultsPage,css,"input[name=""deChartTable.0.dose1""]",,,FALSE,textbox from codegen,FALSE
txt_de_Chart_Table_0_dose2,ResultsPage,css,"input[name=""deChartTable.0.dose2""]",,,FALSE,textbox from codegen,FALSE
txt_de_Chart_Table_0_dose3,ResultsPage,css,"input[name=""deChartTable.0.dose3""]",,,FALSE,textbox from codegen,FALSE
