TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Cohort-wise Summary,1,%,0,20260810T201114_d496a2,,
Cohort-wise Summary,1,Cohort ID,1,20260810T201114_d496a2,,
Cohort-wise Summary,1,Count,0,20260810T201114_d496a2,,
Cohort-wise Summary,1,Cumulative Sample Size,3,20260810T201114_d496a2,,
Cohort-wise Summary,2,%,3,20260810T201114_d496a2,,
Cohort-wise Summary,2,Cohort ID,2,20260810T201114_d496a2,,
Cohort-wise Summary,2,Count,3,20260810T201114_d496a2,,
Cohort-wise Summary,2,Cumulative Sample Size,6,20260810T201114_d496a2,,
Cohort-wise Summary,3,%,16,20260810T201114_d496a2,,
Cohort-wise Summary,3,Cohort ID,3,20260810T201114_d496a2,,
Cohort-wise Summary,3,Count,16,20260810T201114_d496a2,,
Cohort-wise Summary,3,Cumulative Sample Size,9,20260810T201114_d496a2,,
Cohort-wise Summary,4,%,47,20260810T201114_d496a2,,
Cohort-wise Summary,4,Cohort ID,4,20260810T201114_d496a2,,
Cohort-wise Summary,4,Count,47,20260810T201114_d496a2,,
Cohort-wise Summary,4,Cumulative Sample Size,12,20260810T201114_d496a2,,
Cohort-wise Summary,5,%,17,20260810T201114_d496a2,,
Cohort-wise Summary,5,Cohort ID,5,20260810T201114_d496a2,,
Cohort-wise Summary,5,Count,17,20260810T201114_d496a2,,
Cohort-wise Summary,5,Cumulative Sample Size,15,20260810T201114_d496a2,,
Cohort-wise Summary,6,%,14,20260810T201114_d496a2,,
Cohort-wise Summary,6,Cohort ID,6,20260810T201114_d496a2,,
Cohort-wise Summary,6,Count,14,20260810T201114_d496a2,,
Cohort-wise Summary,6,Cumulative Sample Size,18,20260810T201114_d496a2,,
Cohort-wise Summary,7,%,2,20260810T201114_d496a2,,
Cohort-wise Summary,7,Cohort ID,7,20260810T201114_d496a2,,
Cohort-wise Summary,7,Count,2,20260810T201114_d496a2,,
Cohort-wise Summary,7,Cumulative Sample Size,21,20260810T201114_d496a2,,
Cohort-wise Summary,8,%,1,20260810T201114_d496a2,,
Cohort-wise Summary,8,Cohort ID,8,20260810T201114_d496a2,,
Cohort-wise Summary,8,Count,1,20260810T201114_d496a2,,
Cohort-wise Summary,8,Cumulative Sample Size,24,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 1,Average of Isotonic Estimates,0.32,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 1,Dose,Dose 1,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 1,Dose Level (mcg),5,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 1,Standard Error of Isotonic Estimates,0.042,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 1,True Probability of Toxicity,0.221867,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 2,Average of Isotonic Estimates,0.32,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 2,Dose,Dose 2,20260810T201114_d496a2,,
Dose-Wise Estimates,Dose 2,Dose Level (mcg),6,20260810T201114_d496a2,,
