Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description
1,10,Login,-,callReusable,,flows/login.csv,,,,,300000,FALSE,0,always,,"Log in via the shared login flow. Recorded identity-provider steps are intentionally not imported - login is shared, not per-feature"
2,30,OpenProject,ProjectsPage,navigate,,/landingpage/projects,,,,domcontentloaded,60000,FALSE,0,always,,Navigate to app page
3,40,OpenProject,ProjectsPage,waitForSelector,btn_New_Project,,,,,visible,220000,FALSE,0,always,,Wait for the landing page to finish loading. Polls instead of sleeping; the app cold-starts slowly and never goes network-idle
4,50,ConfigureDesign,ProjectsPage,click,btn_Password,,,,,,10000,FALSE,0,never,,click Password
5,60,ConfigureDesign,ProjectsPage,fill,txt_Project_Name,${data.project.Project Name}_${runId}_${iterationId},,,,,90000,FALSE,0,never,,fill Project Name (made unique per run with runId)
6,70,ConfigureDesign,ProjectsPage,select,ddl_Time_Unit,${data.project.Time Unit},,,,,15000,FALSE,0,always,,Select Time Unit. select opens the menu and commits the option itself - works for native and custom dropdowns
7,80,ConfigureDesign,ProjectsPage,select,ddl_Study_Objective,${data.project.Study Objective},,,,,15000,FALSE,0,always,,Select Study Objective. select opens the menu and commits the option itself - works for native and custom dropdowns
8,90,ConfigureDesign,ProjectsPage,select,ddl_Agent_Type,${data.project.Agent Type},,,,,10000,FALSE,0,always,,Select Agent Type. Native <select> - select matches by visible label first
9,100,ConfigureDesign,ProjectsPage,select,ddl_Phase,${data.project.Phase},,,,,15000,FALSE,0,always,,Select Phase. select opens the menu and commits the option itself - works for native and custom dropdowns
10,110,ConfigureDesign,ProjectsPage,fill,txt_Target_Population,${data.project.Target Population},,,,,10000,FALSE,0,never,,fill Target Population
11,120,ConfigureDesign,ProjectsPage,select,ddl_Unit,${data.project.Unit},,,,,15000,FALSE,0,always,,Select Unit. select opens the menu and commits the option itself - works for native and custom dropdowns
12,130,ConfigureDesign,ProjectsPage,fill,txt_Endpoint_Name,${data.project.Endpoint Name},,,,,10000,FALSE,0,never,,fill Endpoint Name
