ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
txt_Project_Name,ProjectPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Study_Objective,ProjectPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Phase,ProjectPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Target_Population,ProjectPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Arm,ProjectPage,css,#treatmentArm-0,,,FALSE,textbox from codegen,FALSE
obj_Priority,ProjectPage,label,Priority,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Endpoint_Name,ProjectPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
ddl_Endpoint_Type,ProjectPage,role,button,Time to Event,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Create_Project,ProjectPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_collection_Name,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
btn_Design_Compute_or_simulate_a,DesignPage,role,button,Design Compute or simulate a,,FALSE,button from codegen,FALSE
ddl_Select_Test,ResultsPage,label,Select Test,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,ResultsPage,role,button,Continue,,FALSE,button from codegen,FALSE
txt_Type_1_Error,ResultsPage,css,#type1Error,,,FALSE,textbox from codegen,FALSE
txt_btn_delete,ResultsPage,css,#btn-delete,,,FALSE,textbox from codegen,FALSE
txt_sample_Size_Interim_Table_0_sample_Size,ResultsPage,css,"[id=""sampleSizeInterimTable.0.sampleSize""]",,,FALSE,textbox from codegen,FALSE
txt_sample_Size_Interim_Table_1_sample_Size,ResultsPage,css,"[id=""sampleSizeInterimTable.1.sampleSize""]",,,FALSE,textbox from codegen,FALSE
btn_Add_Interim,ResultsPage,role,button,Add Interim,,FALSE,button from codegen,FALSE
txt_sample_Size_Interim_Table_2_sample_Size,ResultsPage,css,"[id=""sampleSizeInterimTable.2.sampleSize""]",,,FALSE,textbox from codegen,FALSE
txt_sample_Size_Interim_Table_3_sample_Size,ResultsPage,css,"[id=""sampleSizeInterimTable.3.sampleSize""]",,,FALSE,textbox from codegen,FALSE
txt_sample_Size_Interim_Table_4_sample_Size,ResultsPage,css,"[id=""sampleSizeInterimTable.4.sampleSize""]",,,FALSE,textbox from codegen,FALSE
txt_sample_Size_Interim_Table_5_sample_Size,ResultsPage,css,"[id=""sampleSizeInterimTable.5.sampleSize""]",,,FALSE,textbox from codegen,FALSE
btn_Response,ResultsPage,role,button,Response,,FALSE,button from codegen,FALSE
txt_Pr_CR,ResultsPage,css,"input[name=""pr1_H0""]",,,FALSE,textbox from codegen,FALSE
txt_Pr_PR,ResultsPage,css,"input[name=""pr2_H0""]",,,FALSE,textbox from codegen,FALSE
txt_pr1_H1,ResultsPage,css,"input[name=""pr1_H1""]",,,FALSE,textbox from codegen,FALSE
txt_pr2_H1,ResultsPage,css,"input[name=""pr2_H1""]",,,FALSE,textbox from codegen,FALSE
txt_other_Scenarios_Table_0_pr1_other,ResultsPage,css,"input[name=""otherScenariosTable.0.pr1_other""]",,,FALSE,textbox from codegen,FALSE
txt_other_Scenarios_Table_0_pr2_other,ResultsPage,css,"input[name=""otherScenariosTable.0.pr2_other""]",,,FALSE,textbox from codegen,FALSE
btn_Add_Scenario,ResultsPage,role,button,Add Scenario,,FALSE,button from codegen,FALSE
txt_other_Scenarios_Table_1_pr1_other,ResultsPage,css,"input[name=""otherScenariosTable.1.pr1_other""]",,,FALSE,textbox from codegen,FALSE
txt_other_Scenarios_Table_1_pr2_other,ResultsPage,css,"input[name=""otherScenariosTable.1.pr2_other""]",,,FALSE,textbox from codegen,FALSE
txt_other_Scenarios_Table_2_pr1_other,ResultsPage,css,"input[name=""otherScenariosTable.2.pr1_other""]",,,FALSE,textbox from codegen,FALSE
txt_other_Scenarios_Table_2_pr2_other,ResultsPage,css,"input[name=""otherScenariosTable.2.pr2_other""]",,,FALSE,textbox from codegen,FALSE
txt_other_Scenarios_Table_3_pr1_other,ResultsPage,css,"input[name=""otherScenariosTable.3.pr1_other""]",,,FALSE,textbox from codegen,FALSE
txt_other_Scenarios_Table_3_pr2_other,ResultsPage,css,"input[name=""otherScenariosTable.3.pr2_other""]",,,FALSE,textbox from codegen,FALSE
btn_Simulation_Setup,ResultsPage,role,button,Simulation Setup,,FALSE,button from codegen,FALSE
txt_Number_of_Simulations_Run,DesignPage,css,#numOfSimRun,,,FALSE,custom,FALSE
ddl_Random_Number_Seed,ResultsPage,css,#randomNumberSeed,,,FALSE,native <select> from codegen,FALSE
txt_Fixed_Seed,ResultsPage,css,#fixedSeed,,,FALSE,textbox from codegen,FALSE
btn_Save_Simulate,ResultsPage,role,button,Save & Simulate,,FALSE,button from codegen,FALSE
txt_ResultName,ResultsPage,css,#inputId,,,FALSE,textbox from codegen,FALSE
txt_credit_alert_primary,ResultsPage,css,#credit-alert-primary,,,FALSE,textbox from codegen,FALSE
txt_ag_icon_ag_icon_tree_closed,ResultsPage,css,.ag-icon.ag-icon-tree-closed,,,FALSE,textbox from codegen,FALSE
lnk_ResultName,ResultsPage,role,link,{0},,TRUE,result link from codegen,FALSE
txt_close_tab_0,ResultsPage,css,#close-tab-0,,,FALSE,textbox from codegen,FALSE
lbl_RunStatus,ResultsPage,css,div[role=gridcell][col-id=simStatus],,,FALSE,Run status cell. VERIFY col-id against your app and adjust,FALSE
