TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set2-1 | Early Stopping Boundaries,16,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,16,Boundary,CR ≤ 0 and CR/PR ≤ 1,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,16,Sample Size,16,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,26,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,26,Boundary,CR ≤ 1 and CR/PR ≤ 3,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,26,Sample Size,26,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,36,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,36,Boundary,CR ≤ 2 and CR/PR ≤ 5,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,36,Sample Size,36,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,46,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,46,Boundary,CR ≤ 2 and CR/PR ≤ 7,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,46,Sample Size,46,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,56,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,56,Boundary,CR ≤ 3 and CR/PR ≤ 9,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,56,Sample Size,56,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,66,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,66,Boundary,CR ≤ 4 and CR/PR ≤ 10,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,66,Sample Size,66,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,76,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,76,Boundary,CR ≤ 5 and CR/PR ≤ 12,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,76,Sample Size,76,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,86,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,86,Boundary,CR ≤ 6 and CR/PR ≤ 14,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,86,Sample Size,86,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,96,Action,Early Stopping for Low Efficacy,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,96,Boundary,CR ≤ 6 and CR/PR ≤ 16,20260922T144516_faf7c0,,
Result - set2-1 | Early Stopping Boundaries,96,Sample Size,96,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,16,Cumulative Early Stop,0.171,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,16,Early Stop,0.171,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,16,Sample Size,16,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,26,Cumulative Early Stop,0.358,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,26,Early Stop,0.187,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,26,Sample Size,26,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,36,Cumulative Early Stop,0.48,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,36,Early Stop,0.122,20260922T144516_faf7c0,,
Result - set2-1 | Frequency of Early Stopping,36,Sample Size,36,20260922T144516_faf7c0,,
