TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set1-1 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,15,Boundary,ORR ≤ 3,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,25,Boundary,ORR ≤ 6,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,35,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,35,Boundary,ORR ≤ 9,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,45,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,45,Boundary,ORR ≤ 12,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,55,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,55,Boundary,ORR ≤ 15,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,65,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,65,Boundary,ORR ≤ 18,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,95,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,95,Boundary,ORR ≤ 31,20260807T105557_a0be45,,
Result - set1-1 | Early Stopping Boundaries,95,Sample Size,95,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,15,Cumulative Early Stop,0.481,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,15,Early Stop,0.481,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,25,Cumulative Early Stop,0.631,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,25,Early Stop,0.15,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,35,Cumulative Early Stop,0.72,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,35,Early Stop,0.089,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,45,Cumulative Early Stop,0.789,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,45,Early Stop,0.069,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,55,Cumulative Early Stop,0.829,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,55,Early Stop,0.04,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,65,Cumulative Early Stop,0.87,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,65,Early Stop,0.041,20260807T105557_a0be45,,
Result - set1-1 | Frequency of Early Stopping,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-1 | Operating Characteristics,0.028,Average Sample Size,34.461,20260807T105557_a0be45,,
