TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set1-1 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,15,Boundary,ORR ≤ 3,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,15,Sample Size,15,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,25,Boundary,ORR ≤ 6,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,25,Sample Size,25,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,35,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,35,Boundary,ORR ≤ 9,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,35,Sample Size,35,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,45,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,45,Boundary,ORR ≤ 12,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,45,Sample Size,45,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,55,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,55,Boundary,ORR ≤ 15,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,55,Sample Size,55,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,65,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,65,Boundary,ORR ≤ 18,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,65,Sample Size,65,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,75,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,75,Boundary,ORR ≤ 21,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,75,Sample Size,75,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,85,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,85,Boundary,ORR ≤ 25,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,85,Sample Size,85,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,95,Action,Early Stopping for Low Efficacy,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,95,Boundary,ORR ≤ 29,20260807T012013_79cde4,,
Result - set1-1 | Early Stopping Boundaries,95,Sample Size,95,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,15,Cumulative Early Stop,0.488,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,15,Early Stop,0.488,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,15,Sample Size,15,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,25,Cumulative Early Stop,0.634,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,25,Early Stop,0.146,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,25,Sample Size,25,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,35,Cumulative Early Stop,0.748,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,35,Early Stop,0.114,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,35,Sample Size,35,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,45,Cumulative Early Stop,0.821,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,45,Early Stop,0.073,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,45,Sample Size,45,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,55,Cumulative Early Stop,0.845,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,55,Early Stop,0.024,20260807T012013_79cde4,,
Result - set1-1 | Frequency of Early Stopping,55,Sample Size,55,20260807T012013_79cde4,,
