TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Critical Points,Critical Point,Parameter,Critical Point,20260918T002118_f656a0,,
Critical Points,Critical Point,Value,-2.036,20260918T002118_f656a0,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260918T002118_f656a0,,
Design Summary #1,Hypothesis,Value,Noninferiority,20260918T002118_f656a0,,
Design Summary #1,Power,Parameter,Power,20260918T002118_f656a0,,
Design Summary #1,Power,Value,0.891,20260918T002118_f656a0,,
Design Summary #1,Sample Size (n),Parameter,Sample Size (n),20260918T002118_f656a0,,
Design Summary #1,Sample Size (n),Value,25,20260918T002118_f656a0,,
Design Summary #1,Test Name,Parameter,Test Name,20260918T002118_f656a0,,
Design Summary #1,Test Name,Value,Difference of Means (Crossover Design),20260918T002118_f656a0,,
Design Summary #1,Test Type,Parameter,Test Type,20260918T002118_f656a0,,
Design Summary #1,Test Type,Value,1-Sided,20260918T002118_f656a0,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260918T002118_f656a0,,
Design Summary #1,Type 1 Error (α),Value,0.027,20260918T002118_f656a0,,
Design Summary #2,Allocation Ratio (ntc/nct),Parameter,Allocation Ratio (ntc/nct),20260918T002118_f656a0,,
Design Summary #2,Allocation Ratio (ntc/nct),Value,1.2,20260918T002118_f656a0,,
Design Summary #2,Difference of Means (δ1 = μt - μc),Parameter,Difference of Means (δ1 = μt - μc),20260918T002118_f656a0,,
Design Summary #2,Difference of Means (δ1 = μt - μc),Value,0.77,20260918T002118_f656a0,,
Design Summary #2,Input Method,Parameter,Input Method,20260918T002118_f656a0,,
Design Summary #2,Input Method,Value,Difference of Means,20260918T002118_f656a0,,
Design Summary #2,Noninferiority Margin (δ0),Parameter,Noninferiority Margin (δ0),20260918T002118_f656a0,,
Design Summary #2,Noninferiority Margin (δ0),Value,1.8,20260918T002118_f656a0,,
Design Summary #2,Sqrt(MSE),Parameter,Sqrt(MSE),20260918T002118_f656a0,,
Design Summary #2,Sqrt(MSE),Value,1.1,20260918T002118_f656a0,,
Design Summary #2,Test Statistic,Parameter,Test Statistic,20260918T002118_f656a0,,
Design Summary #2,Test Statistic,Value,t,20260918T002118_f656a0,,
Design Summary #2,Under H0,Parameter,Under H0,20260918T002118_f656a0,,
Design Summary #2,Under H0,Value,1.8,20260918T002118_f656a0,,
Design Summary #2,Under H1,Parameter,Under H1,20260918T002118_f656a0,,
Design Summary #2,Under H1,Value,0.77,20260918T002118_f656a0,,
Design Summary #2,δ = μt - μc,Parameter,δ = μt - μc,20260918T002118_f656a0,,
Design Summary #2,δ = μt - μc,Value,,20260918T002118_f656a0,,
Plan #1,Control Arm,Parameter,Control Arm,20260918T002118_f656a0,,
Plan #1,Control Arm,Value,Ctrl,20260918T002118_f656a0,,
Plan #1,Phase,Parameter,Phase,20260918T002118_f656a0,,
Plan #1,Phase,Value,3,20260918T002118_f656a0,,
Plan #1,Study Objective,Parameter,Study Objective,20260918T002118_f656a0,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260918T002118_f656a0,,
Plan #1,Target Population,Parameter,Target Population,20260918T002118_f656a0,,
Plan #1,Target Population,Value,Adult,20260918T002118_f656a0,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260918T002118_f656a0,,
Plan #1,Treatment Arm,Value,EXP,20260918T002118_f656a0,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260918T002118_f656a0,,
Plan #2,Endpoint Name,Value,EPCont,20260918T002118_f656a0,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260918T002118_f656a0,,
Plan #2,Endpoint Type,Value,Continuous,20260918T002118_f656a0,,
Plan #2,Follow-up Time (Month),Parameter,Follow-up Time (Month),20260918T002118_f656a0,,
Plan #2,Follow-up Time (Month),Value,1,20260918T002118_f656a0,,
Plan #2,Priority,Parameter,Priority,20260918T002118_f656a0,,
Plan #2,Priority,Value,Primary,20260918T002118_f656a0,,
Sample Size Information,Control (n_c),Parameter,Control (n_c),20260918T002118_f656a0,,
Sample Size Information,Control (n_c),Value,11,20260918T002118_f656a0,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260918T002118_f656a0,,
Sample Size Information,Sample Size (n),Value,25,20260918T002118_f656a0,,
Sample Size Information,Treatment (n_t),Parameter,Treatment (n_t),20260918T002118_f656a0,,
Sample Size Information,Treatment (n_t),Value,14,20260918T002118_f656a0,,
Summary,Narrative,Text,"The study will require a total of 25 subjects to establish Noninferiority of the treatment group to the control group with desired power of 89.144%. This test is based on a 1-Sided difference of means test for a 2x2 crossover design for continuous response data with significance level 0.027. The difference in means between treatment and control groups under the alternative hypothesis is 0.77. This test assumes a Noninferiority margin of 1.8 and root mean square of 1.1. The allocation ratio is 1.2, and therefore of the 25 subjects, 11 are allocated to the control-treatment sequence and 14 subjects are allocated to the treatment-control sequence.",20260918T002118_f656a0,,
