TC_ID,IterationID,hypothesis,allocationRatio,Computed Parameter,sampleSize,power,testtype,type1Error,upperType1Error,lowerType1Error,inputMethod,meanControl,meanTreatment,differenceInMeans,standardizedDifference,supsup_meanControl,supsup_margin,supsup_nhMeanTreatment,supsup_differenceInMeans,supsup_ahMeanTreatment,nonInf_meanControl,nonInf_margin,nonInf_nhMeanTreatment,nonInf_differenceInMeans,nonInf_ahMeanTreatment,testStatistic,variance,standardDeviation,sdControl,sdTreatment,followUpTime,probabilityOfDropout,includeAssurance,distributionMethod,assuranceInputMethod,eDelta,sdDelta,percDelta1stOperator,percDelta1stPercentileVal,percDelta1stPercentileProb,percDelta2ndOperator,percDelta2ndPercentileVal,percDelta2ndPercentileProb,percDeltaBySigma1stOperator,percDeltaBySigma1stPercentileVal,percDeltaBySigma1stPercentileProb,percDeltaBySigma2ndOperator,percDeltaBySigma2ndPercentileVal,percDeltaBySigma2ndPercentileProb,uniformMin,uniformMax,effBoundaryFam,effSpendFunc,effParam,effParamRho,effParamGamma,fix,shapeParamDelta,upperSpendFunc,upperParam,upperParamRho,upperParamGamma,lowerSpendFunc,lowerParam,lowerParamRho,lowerParamGamma,futBoundaryFam,futSpendFunc,futParam,futBoundary,futParamRho,futParamGamma,computeCP,shapeParamDeltaTwo,boundaryScale,IncludeEnrollment,avgSubjectsEnrolled
TC_03,ITER_01,Superiority,1.23,Sample Size,Computed,0.923,2-Sided,0.0562,,,Individual Means,0.123,0.4125,N/A,N/A,,,,,,,,,,,1,,1.77,,,3,0.063,TRUE,Normal,3,,,,,,,,,1,-0.93526,0.06,2,0.93526,0.07,N/A,N/A,Spending Functions,Lan-DeMets,1,,,,,,,,,,,,,Spending Functions,Rho Family,,1,4.55,,,,Score Scale,check,10.5
TC_03,ITER_02,Superiority,1.355,Power,550,Computed,2-Sided (Asymmetric),,0.03256,0.02588,Difference of Means,,,0.4562,,,,,,,,,,,,,,1.956,,,4.23,0.1065,TRUE,Normal,2,,,1,-1.93256,0.123,2,1.94523,0.111,,,,,,,,,Spending Functions,,,,,,,Interpolated,,,,Interpolated,,,,,,,,,,,,Z Scale,check,16.88
TC_03,ITER_03,Noninferiority,1.2,Type 1 Error,480,0.8856,,Computed,,,Individual Means,,,,,,,,,,0.55,0.4,,0.35,,2,,0.94,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uncheck,
TC_03,ITER_04,Noninferiority,1.222,Difference in Means,555,0.777,,0.092,,,Computed,,,,,,,,,,,0.444,,,,1,,0.8564,,,3.2365,0.0652,TRUE,Uniform,,,,,,,,,,,,,,,,1.235,2.2565,,,,,,,,,,,,,,,,,,,,,,,,,check,12
TC_03,ITER_05,Superiority,0.99,Sample Size,Computed,0.72,1-Sided,0.07564,,,Standardized Diff. of Means,,,,0.4885,,,,,,,,,,,,,,,,5.56,0.0888,TRUE,Normal,1,0.558,1.6856,,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,,1,,,,,,,,,,Conditional Power,,,,,,1,,,check,9.9998
TC_03,ITER_06,Noninferiority,1.3652,Power,777,Computed,,0.08321,,,Individual Means,,,,,,,,,,0.6166,0.4123,,0.3333,,1,,1.6856,,,4.444,0.1111,TRUE,Normal,3,,,,,,,,,1,-0.88888,0.111,2,0.77777,0.121,,,Wang-Tsiatis,,,,,,0.215,,,,,,,,,Pampallona-Tsiatis,,,2,,,,0.321,cp_deltahat Scale,check,11.111
TC_03,ITER_07,Super Superiority,1.222,Sample Size,Computed,0.923,1-Sided,0.092,,,Difference of Means,,,,,,0.35,,0.44,,,,,,,2,,1.8888,,,5.6,0.0556,,,,,,,,,,,,,,,,,,,,Spending Functions,Gamma Family,,,-5.2365,,,,,,,,,,,p-value,,,,,,,,p-value Scale,check,14.85
TC_03,ITER_08,Superiority,1.2,Difference in Means,480,0.8658,2-Sided,0.09325,,,Computed,,,Computed,,,,,,,,,,,,2,2,,15.65,20.62,5.9654,0.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,20
TC_03,ITER_09,Super Superiority,2.22,Sample Size,Computed,0.9235,1-Sided,0.04485,,,Individual Means,,,,,0.25,0.333,,0.45,,,,,,,2,,2.321,,,6.6,0.1321,,,,,,,,,,,,,,,,,,,,Spending Functions,Interpolated,,,,,,,,,,,,,,5,,,,,,,,4,check,12.222
TC_03,ITER_10,Superiority,2.1112,Power,625,Computed,2-Sided,0.05523,,,Standardized Diff. of Means,,,,0.4568,,,,,,,,,,,,,,,,3.332,0.0448,TRUE,Uniform,,,,,,,,,,,,,,,,1.6321,2.223,Haybittle Peto (p-value),,,,,2,,,,,,,,,,,,,,,,,,,check,15
