TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Expected H0,Accrual Duration (Month),933.802,20260813T075348_2529ee,,
Accrual and Study Duration,Expected H0,Parameter,Expected H0,20260813T075348_2529ee,,
Accrual and Study Duration,Expected H0,Study Duration (Month),939.402,20260813T075348_2529ee,,
Accrual and Study Duration,Expected H1,Accrual Duration (Month),792.4,20260813T075348_2529ee,,
Accrual and Study Duration,Expected H1,Parameter,Expected H1,20260813T075348_2529ee,,
Accrual and Study Duration,Expected H1,Study Duration (Month),798,20260813T075348_2529ee,,
Accrual and Study Duration,Maximum,Accrual Duration (Month),966.532,20260813T075348_2529ee,,
Accrual and Study Duration,Maximum,Parameter,Maximum,20260813T075348_2529ee,,
Accrual and Study Duration,Maximum,Study Duration (Month),972.132,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis #,1,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis Spacing (%) Info,65.998,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis Time (Month),643.512,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Completers (s),8946,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Dropouts (d),527,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Efficacy,0.015,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Efficacy,0.53,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Futility,0.084,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Futility,0,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Pipeline (n-s-d),84,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Sample Size (n),9557,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Analysis #,2,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Analysis Spacing (%) Info,100,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Analysis Time (Month),972.132,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Completers (s),13555,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Dropouts (d),798,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Efficacy,0.077,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Efficacy,0.393,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Futility,0.824,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Futility,0.077,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Pipeline (n-s-d),0,20260813T075348_2529ee,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Sample Size (n),14353,20260813T075348_2529ee,,
Design Summary #1,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260813T075348_2529ee,,
Design Summary #1,Attained Type 1 Error (α),Value,0.092,20260813T075348_2529ee,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260813T075348_2529ee,,
Design Summary #1,Hypothesis,Value,Super Superiority,20260813T075348_2529ee,,
Design Summary #1,Number of Interims,Parameter,Number of Interims,20260813T075348_2529ee,,
Design Summary #1,Number of Interims,Value,1,20260813T075348_2529ee,,
Design Summary #1,Power,Parameter,Power,20260813T075348_2529ee,,
Design Summary #1,Power,Value,0.923,20260813T075348_2529ee,,
Design Summary #1,Test Name,Parameter,Test Name,20260813T075348_2529ee,,
Design Summary #1,Test Name,Value,Difference of Means (Parallel Design),20260813T075348_2529ee,,
Design Summary #1,Test Type,Parameter,Test Type,20260813T075348_2529ee,,
Design Summary #1,Test Type,Value,1-Sided,20260813T075348_2529ee,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260813T075348_2529ee,,
Design Summary #1,Type 1 Error (α),Value,0.092,20260813T075348_2529ee,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260813T075348_2529ee,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.222,20260813T075348_2529ee,,
Design Summary #2,Follow-up Time (Month),Parameter,Follow-up Time (Month),20260813T075348_2529ee,,
Design Summary #2,Follow-up Time (Month),Value,5.6,20260813T075348_2529ee,,
