TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
"Average Sample Size, Dropouts and Analysis Times",%,Analysis #,%,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Analysis Time (Month),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Completers (s),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Dropouts (d),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Pipeline (n-s-d),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Sample Size (n),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Lower Efficacy (%),9,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Upper Efficacy (%),33,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Analysis #,1,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Analysis Time (Month),20.695,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Completers (s),237,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Dropouts (d),65.39,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Pipeline (n-s-d),111.87,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Sample Size (n),414.26,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Lower Efficacy (%),7,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Upper Efficacy (%),20,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Analysis #,2,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Analysis Time (Month),31.215,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Completers (s),406,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Dropouts (d),110.677,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Pipeline (n-s-d),107.339,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Sample Size (n),624.016,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Lower Efficacy (%),1,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Upper Efficacy (%),3,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Analysis #,3,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Analysis Time (Month),39.071,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Completers (s),524.132,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Dropouts (d),145.774,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Pipeline (n-s-d),7.094,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Sample Size (n),677,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Lower Efficacy (%),1,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",3,Upper Efficacy (%),10,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Analysis #,Average,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Analysis Time (Month),31.501,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Completers (s),404.39,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Dropouts (d),112.31,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Pipeline (n-s-d),55.37,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Sample Size (n),572.07,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Lower Efficacy (%),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Upper Efficacy (%),—,20260813T162120_3e171d,,
Enrollment #1,1,Enrollment Rate (per Month),18,20260813T162120_3e171d,,
Enrollment #1,1,Period,1,20260813T162120_3e171d,,
Enrollment #1,1,Starting At Time (Month),0,20260813T162120_3e171d,,
Enrollment #1,2,Enrollment Rate (per Month),19,20260813T162120_3e171d,,
Enrollment #1,2,Period,2,20260813T162120_3e171d,,
Enrollment #1,2,Starting At Time (Month),0.5,20260813T162120_3e171d,,
Enrollment #1,3,Enrollment Rate (per Month),20,20260813T162120_3e171d,,
Enrollment #1,3,Period,3,20260813T162120_3e171d,,
Enrollment #1,3,Starting At Time (Month),1.5,20260813T162120_3e171d,,
Enrollment #2,Distribution,Parameter,Distribution,20260813T162120_3e171d,,
Enrollment #2,Distribution,Value,Uniform,20260813T162120_3e171d,,
Enrollment #2,Total Accrual Duration (Month),Parameter,Total Accrual Duration (Month),20260813T162120_3e171d,,
Enrollment #2,Total Accrual Duration (Month),Value,33.95,20260813T162120_3e171d,,
Plan #1,Control Arm,Parameter,Control Arm,20260813T162120_3e171d,,
Plan #1,Control Arm,Value,Control,20260813T162120_3e171d,,
Plan #1,Phase,Parameter,Phase,20260813T162120_3e171d,,
Plan #1,Phase,Value,3,20260813T162120_3e171d,,
Plan #1,Study Objective,Parameter,Study Objective,20260813T162120_3e171d,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260813T162120_3e171d,,
Plan #1,Target Population,Parameter,Target Population,20260813T162120_3e171d,,
Plan #1,Target Population,Value,Adult,20260813T162120_3e171d,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260813T162120_3e171d,,
