TC_ID,IterationID,Run,ProjectName,TimeUnit,StartDate,StudyObjective,Phase,TargetPopulation,Control Arm,TreatmentArm,Priority,EndpointName,EndpointType,BetterResponse
TC_22,ITER_01,TRUE,AutoProj_DOP,Week,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_02,TRUE,AutoProj_DOP,Month,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_03,TRUE,AutoProj_DOP,Year,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_04,TRUE,AutoProj_DOP,Day,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Smaller Value
TC_22,ITER_05,TRUE,AutoProj_DOP,Week,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_06,TRUE,AutoProj_DOP,Week,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_07,TRUE,AutoProj_DOP,Month,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_08,TRUE,AutoProj_DOP,Week,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_09,TRUE,AutoProj_DOP,Day,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_10,TRUE,AutoProj_DOP,Year,2026-08-10,Two Arm Confirmatory,3,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
TC_22,ITER_11,TRUE,AutoProj_DOP,Year,2026-08-11,Two Arm Confirmatory,2,Adult,Ctrl,EXP,Primary,EPBin,Binary,Larger Value
