TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Expected H0,accrDuration,38.686,20260822T132209_3c8bfd,,
Accrual and Study Duration,Expected H0,params,Expected H0,20260822T132209_3c8bfd,,
Accrual and Study Duration,Expected H0,studyDuration,47.574,20260822T132209_3c8bfd,,
Accrual and Study Duration,Expected H1,accrDuration,43.038,20260822T132209_3c8bfd,,
Accrual and Study Duration,Expected H1,params,Expected H1,20260822T132209_3c8bfd,,
Accrual and Study Duration,Expected H1,studyDuration,51.926,20260822T132209_3c8bfd,,
Accrual and Study Duration,Maximum,accrDuration,69.931,20260822T132209_3c8bfd,,
Accrual and Study Duration,Maximum,params,Maximum,20260822T132209_3c8bfd,,
Accrual and Study Duration,Maximum,studyDuration,78.819,20260822T132209_3c8bfd,,
Accrual and Study Duration,row_0,accrDuration,Accrual Duration (Week),20260822T132209_3c8bfd,,
Accrual and Study Duration,row_0,params,,20260822T132209_3c8bfd,,
Accrual and Study Duration,row_0,studyDuration,Study Duration (Week),20260822T132209_3c8bfd,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis #,1,20260822T132209_3c8bfd,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis Spacing (%) Info,50,20260822T132209_3c8bfd,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis Time (Week),43.899,20260822T132209_3c8bfd,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Completers (s),302,20260822T132209_3c8bfd,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Dropouts (d),87,20260822T132209_3c8bfd,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Efficacy,0.034,20260822T132209_3c8bfd,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Efficacy,0.205,20260822T132209_3c8bfd,,
