TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
"Average Sample Size, Dropouts and Analysis Times",%,Analysis #,%,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Analysis Time (Month),—,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Completers (s),—,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Dropouts (d),—,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Pipeline (n-s-d),—,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Sample Size (n),—,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",%,Efficacy (%),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",%,Futility (%),100,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Analysis #,1,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Analysis Time (Month),99.526,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Completers (s),475,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Dropouts (d),67.06,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Pipeline (n-s-d),53.41,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Sample Size (n),595.47,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Efficacy (%),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",1,Futility (%),100,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Analysis #,2,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Analysis Time (Month),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Completers (s),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Dropouts (d),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Pipeline (n-s-d),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Sample Size (n),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Efficacy (%),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",2,Futility (%),0,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Analysis #,Average,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Analysis Time (Month),99.526,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Completers (s),475,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Dropouts (d),67.06,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Pipeline (n-s-d),53.41,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Sample Size (n),595.47,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Efficacy (%),—,20260822T132804_d50144,,
"Average Sample Size, Dropouts and Analysis Times",Average,Futility (%),—,20260822T132804_d50144,,
Enrollment #1,1,Enrollment Rate (per Month),8,20260822T132804_d50144,,
Enrollment #1,1,Period,1,20260822T132804_d50144,,
Enrollment #1,1,Starting At Time (Month),0,20260822T132804_d50144,,
Enrollment #1,2,Enrollment Rate (per Month),7,20260822T132804_d50144,,
Enrollment #1,2,Period,2,20260822T132804_d50144,,
Enrollment #1,2,Starting At Time (Month),0.1,20260822T132804_d50144,,
Enrollment #1,3,Enrollment Rate (per Month),6,20260822T132804_d50144,,
Enrollment #1,3,Period,3,20260822T132804_d50144,,
Enrollment #1,3,Starting At Time (Month),0.2,20260822T132804_d50144,,
Enrollment #2,Distribution,Parameter,Distribution,20260822T132804_d50144,,
Enrollment #2,Distribution,Value,Uniform,20260822T132804_d50144,,
Enrollment #2,Total Accrual Duration (Month),Parameter,Total Accrual Duration (Month),20260822T132804_d50144,,
Enrollment #2,Total Accrual Duration (Month),Value,136.95,20260822T132804_d50144,,
Plan #1,Control Arm,Parameter,Control Arm,20260822T132804_d50144,,
Plan #1,Control Arm,Value,Ctrl,20260822T132804_d50144,,
Plan #1,Phase,Parameter,Phase,20260822T132804_d50144,,
Plan #1,Phase,Value,3,20260822T132804_d50144,,
Plan #1,Study Objective,Parameter,Study Objective,20260822T132804_d50144,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260822T132804_d50144,,
Plan #1,Target Population,Parameter,Target Population,20260822T132804_d50144,,
Plan #1,Target Population,Value,Adult,20260822T132804_d50144,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260822T132804_d50144,,
Plan #1,Treatment Arm,Value,EXP,20260822T132804_d50144,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260822T132804_d50144,,
Plan #2,Endpoint Name,Value,EPBin,20260822T132804_d50144,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260822T132804_d50144,,
Plan #2,Endpoint Type,Value,Binary,20260822T132804_d50144,,
Plan #2,Priority,Parameter,Priority,20260822T132804_d50144,,
Plan #2,Priority,Value,Primary,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,%,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Analysis #,%,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Completers,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Count,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy,0,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy Z,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility,100,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility p-value,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,%,100,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Analysis #,1,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Completers,475,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Count,100,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy,0,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy Z,2.153,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility,100,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility p-value,0.919,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,%,0,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Analysis #,2,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Completers,720,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Count,0,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy,0,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy Z,1.319,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility,0,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility p-value,0.094,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,%,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Analysis #,Total,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Completers,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Count,100,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Efficacy,0,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Efficacy Z,—,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Futility,100,20260822T132804_d50144,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Futility p-value,—,20260822T132804_d50144,,
Simulation Summary #1,Allocation Ratio,Parameter,Allocation Ratio,20260822T132804_d50144,,
Simulation Summary #1,Allocation Ratio,Value,2,20260822T132804_d50144,,
Simulation Summary #1,Average Power at Final Analysis,Parameter,Average Power at Final Analysis,20260822T132804_d50144,,
Simulation Summary #1,Average Power at Final Analysis,Value,0,20260822T132804_d50144,,
