TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Accrual Duration (Week),Parameter,Accrual Duration (Week),20260729T092521_40baf2,,
Accrual and Study Duration,Accrual Duration (Week),Value,598.75,20260729T092521_40baf2,,
Accrual and Study Duration,Study Duration (Week),Parameter,Study Duration (Week),20260729T092521_40baf2,,
Accrual and Study Duration,Study Duration (Week),Value,600.75,20260729T092521_40baf2,,
Design Summary #1,Power,Parameter,Power,20260729T092521_40baf2,,
Design Summary #1,Power,Value,0.87,20260729T092521_40baf2,,
Design Summary #1,Test Name,Parameter,Test Name,20260729T092521_40baf2,,
Design Summary #1,Test Name,Value,Fisher's Exact (Parallel Design),20260729T092521_40baf2,,
Design Summary #1,Test Type,Parameter,Test Type,20260729T092521_40baf2,,
Design Summary #1,Test Type,Value,2-Sided,20260729T092521_40baf2,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260729T092521_40baf2,,
Design Summary #1,Type 1 Error (α),Value,0.0456,20260729T092521_40baf2,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260729T092521_40baf2,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1,20260729T092521_40baf2,,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260729T092521_40baf2,,
Design Summary #2,Follow-up Time (Week),Value,2,20260729T092521_40baf2,,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260729T092521_40baf2,,
Design Summary #2,Probability of Dropout,Value,0,20260729T092521_40baf2,,
Design Summary #2,Proportion Control (πc),Parameter,Proportion Control (πc),20260729T092521_40baf2,,
Design Summary #2,Proportion Control (πc),Value,0.06,20260729T092521_40baf2,,
Design Summary #2,Proportion Treatment (πt),Parameter,Proportion Treatment (πt),20260729T092521_40baf2,,
Design Summary #2,Proportion Treatment (πt),Value,0.04,20260729T092521_40baf2,,
Design Summary #3,Enrollment Rate (per Week),Parameter,Enrollment Rate (per Week),20260729T092521_40baf2,,
Design Summary #3,Enrollment Rate (per Week),Value,8,20260729T092521_40baf2,,
Plan #1,Phase,Parameter,Phase,20260729T092521_40baf2,,
Plan #1,Phase,Value,3,20260729T092521_40baf2,,
Plan #1,Study Objective,Parameter,Study Objective,20260729T092521_40baf2,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260729T092521_40baf2,,
Plan #1,Target Population,Parameter,Target Population,20260729T092521_40baf2,,
Plan #1,Target Population,Value,Adult,20260729T092521_40baf2,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260729T092521_40baf2,,
Plan #1,Treatment Arm,Value,EXP,20260729T092521_40baf2,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260729T092521_40baf2,,
Plan #2,Endpoint Name,Value,EP1,20260729T092521_40baf2,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260729T092521_40baf2,,
Plan #2,Endpoint Type,Value,Binary,20260729T092521_40baf2,,
Plan #2,Priority,Parameter,Priority,20260729T092521_40baf2,,
Plan #2,Priority,Value,Primary,20260729T092521_40baf2,,
Sample Size Information,Completers (s),Parameter,Completers (s),20260729T092521_40baf2,,
Sample Size Information,Completers (s),Value,4790,20260729T092521_40baf2,,
Sample Size Information,Control (n_c),Parameter,Control (n_c),20260729T092521_40baf2,,
Sample Size Information,Control (n_c),Value,2395,20260729T092521_40baf2,,
Sample Size Information,Control (s_c),Parameter,Control (s_c),20260729T092521_40baf2,,
Sample Size Information,Control (s_c),Value,2395,20260729T092521_40baf2,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260729T092521_40baf2,,
Sample Size Information,Sample Size (n),Value,4790,20260729T092521_40baf2,,
Sample Size Information,Treatment (n_t),Parameter,Treatment (n_t),20260729T092521_40baf2,,
Sample Size Information,Treatment (n_t),Value,2395,20260729T092521_40baf2,,
Sample Size Information,Treatment (s_t),Parameter,Treatment (s_t),20260729T092521_40baf2,,
Sample Size Information,Treatment (s_t),Value,2395,20260729T092521_40baf2,,
Summary,Narrative,Text,"A total sample size of 4790 is required to detect a difference in response proportions between the treatment and control groups based on a two-sided Fisher’s exact test with desired power 87%. The significance level is 0.0456, the proportion of responses in the control group and treatment groups are 0.06 and 0.04 respectively. Since the allocation ratio is 1, of the 4790 subjects, 2395 are allocated to the control arm and 2395 are allocated to the treatment arm.",20260729T092521_40baf2,,
