TC_ID,IterationID,Run,react select input container,Hypothesis,Test Type,Type 1 Error,Upper Type 1 Error,Lower Type 1 Error,Number of Events,Allocation Ratio,inputMethod,Starting At Time,inputMethodTable.0.hazardRateControl,inputMethodTable.0.hazardRateTrmt_Null_SS,inputMethodTable.0.hazardRateTrmt_Alt_SPSS,inputMethodTable.1.hazardRateControl,inputMethodTable.2.hazardRateControl,inputMethodTable.2.startingAtTime,inputMethodTable.1.startingAtTime,Input Method,hazardRatioInputMethod,hazardRatio_Null_SS,hazardRatio_Alt_SS,Log Hazard Ratio,Hazard Ratio,inputMethodTable.0.byTime,inputMethodTable.0.cumPercSurvivalControl,Cumulative % Survival (Treatment: Null),inputMethodTable.3.byTime,inputMethodTable.3.cumPercSurvivalControl,Ratio of % Survivals Null,Ratio of % Survivals at Period # 1,inputMethodTable.0.medianSurvivalTimeControl,inputMethodTable.0.medianSurvivalTimeTrmt_Null_SS,inputMethodTable.0.medianSurvivalTimeTrmt_Alt_SPSS,Ratio of Medians,inputMethodTable.0.cumPercSurvivalTrmt_Alt_SPSS,inputMethodTable.1.cumPercSurvivalControl,inputMethodTable.2.cumPercSurvivalControl,inputMethodTable.1.byTime,inputMethodTable.2.byTime,Median Survival Time (Treatment: Alternative) (mt),inputMethodTable.0.hazardRateTrmt_Null_NI,inputMethodTable.0.hazardRateTrmt_Alt_NI,inputMethodTable.0.medianSurvivalTimeTrmt_Null_NI,inputMethodTable.0.medianSurvivalTimeTrmt_Alt_NI,inputMethodTable.0.cumPercSurvivalTrmt_Null_NI,inputMethodTable.0.cumPercSurvivalTrmt_Alt_NI,Variance of Log Hazard Ratio,variable,Follow-up Time,dropoutTable.0.dropoutHazardRateControl,dropoutTable.0.dropoutHazardRateTreatment,dropoutTable.1.dropoutStartingAtTime,dropoutTable.1.dropoutHazardRateControl,dropoutTable.1.dropoutHazardRateTreatment,includeAssurance,priorDistributionFor,distributionMethod,minHR,maxHR,assuranceInputMethod,percHR1stOperator,percHR1stPercentileVal,percHR1stPercentileProb,percHR2ndOperator,percHR2ndPercentileVal,percHR2ndPercentileProb,E,SD,minDelta,maxDelta,percDelta1stOperator,percDelta1stPercentileVal,percDelta1stPercentileProb,percDelta2ndOperator,percDelta2ndPercentileVal,percDelta2ndPercentileProb,eDelta,sdDelta,percSCHR1stOperator,percSCHR1stPercentileVal,percSCHR1stPercentileProb,percSCHR2ndOperator,percSCHR2ndPercentileVal,percSCHR2ndPercentileProb,percSC1stOperator,percSC1stPercentileVal,percSC1stPercentileProb,percSC2ndOperator,percSC2ndPercentileVal,percSC2ndPercentileProb,sc a,sc b,st a,st b,percST1stOperator,percST1stPercentileVal,percST1stPercentileProb,percST2ndOperator,percST2ndPercentileVal,percST2ndPercentileProb,percSTHR1stOperator,percSTHR1stPercentileVal,percSTHR1stPercentileProb,percSTHR2ndOperator,percSTHR2ndPercentileVal,percSTHR2ndPercentileProb,input name eHR,input name sdHR,minLambdaC,maxLambdaC,percLambdaC1stOperator,percLambdaC1stPercentileVal,percLambdaC1stPercentileProb,percLambdaC2ndOperator,percLambdaC2ndPercentileVal,percLambdaC2ndPercentileProb,lambda c a,lambda c b,percLambdaCHR1stOperator,percLambdaCHR1stPercentileVal,percLambdaCHR1stPercentileProb,percLambdaCHR2ndOperator,percLambdaCHR2ndPercentileVal,percLambdaCHR2ndPercentileProb,percLambdaT1stOperator,percLambdaT1stPercentileVal,percLambdaT1stPercentileProb,percLambdaT2ndOperator,percLambdaT2ndPercentileVal,percLambdaT2ndPercentileProb,lambda t a,lambda t b,percLambdaTHR1stOperator,percLambdaTHR1stPercentileVal,percLambdaTHR1stPercentileProb,percLambdaTHR2ndOperator,percLambdaTHR2ndPercentileVal,percLambdaTHR2ndPercentileProb,minLambdaT,maxLambdaT,percMC1stOperator,percMC1stPercentileVal,percMC1stPercentileProb,percMC2ndOperator,percMC2ndPercentileVal,percMC2ndPercentileProb,input name eMC,input name sdMC,percMCHR1stOperator,percMCHR1stPercentileVal,percMCHR1stPercentileProb,percMCHR2ndOperator,percMCHR2ndPercentileVal,percMCHR2ndPercentileProb,percMT1stOperator,percMT1stPercentileVal,percMT1stPercentileProb,percMT2ndOperator,percMT2ndPercentileVal,percMT2ndPercentileProb,input name eMT,input name sdMT,percMTHR1stOperator,percMTHR1stPercentileVal,percMTHR1stPercentileProb,percMTHR2ndOperator,percMTHR2ndPercentileVal,percMTHR2ndPercentileProb,effBoundaryFam,effSpendFunc,effParamGamma,effParamRho,effParam,futBoundaryFam,futSpendFunc,futParamGamma,futParamRho,futBoundaryType,futParam,fix,boundary.0.analysisSpacingInfo,boundary.0.efficacyPValue,boundary.1.efficacyPValue,boundary.1.analysisSpacingInfo,boundary.2.analysisSpacingInfo,boundary.2.efficacyPValue,boundary.0.futilityPValue,computeCP,boundaryScale,boundary.0.futilityCP,boundary.0.futilityHR,boundary.1.futilityHR,boundary.2.futilityHR,shapeParamDelta,shapeParamDeltaTwo,boundary.3.analysisSpacingInfo,boundary.1.futilityCheck,boundary.0.efficacyCheck,boundary.0.cumAlphaSpent,boundary.0.cumBetaSpent,boundary.1.cumAlphaSpent,boundary.2.cumAlphaSpent,boundary.1.cumBetaSpent,enrollmentTable.0.avgSubjectsEnrolled,inputParameter,committedDuration,committedSubjects,enrollmentTable.1.avgSubjectsEnrolled,enrollmentTable.1.startingAtTime,Result Name
TC_12,ITER_01,TRUE,N/A,Superiority,1-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,0.01733,N/A,N/A,N/A,N/A,Hazard Rates,N/A,Computed,Computed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Null,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spending Functions,Lan-DeMets,N/A,N/A,O'Brien-Fleming,HR,N/A,N/A,N/A,Non-Binding,N/A,N/A,25,N/A,N/A,50,75,N/A,N/A,N/A,Z Scale,N/A,1.779667,0.909914,0.736138,N/A,N/A,N/A,check,check,N/A,N/A,N/A,N/A,N/A,8,Duration,56.5,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_02,TRUE,N/A,Superiority,1-Sided,0.025,N/A,N/A,N/A,1,Cumulative % Survival,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cumulative % Survival,5,N/A,N/A,N/A,N/A,1,96.593378,N/A,N/A,N/A,N/A,1.017481,N/A,N/A,N/A,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alternative,N/A,10,0.5,0.8,2,0.6,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wang-Tsiatis,N/A,N/A,-0.121,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,50,75,N/A,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Duration,458.820329,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_03,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,Computed,0.03,0.025,2,1,Hazard Rates,2,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Null,N/A,3,0.1,0.25,2,0.2,0.3,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spending Functions,Lan-DeMets,N/A,N/A,O'Brien-Fleming,Spending Functions,Lan-DeMets,N/A,N/A,Non-Binding,Pocock,N/A,25,N/A,N/A,50,75,N/A,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,check,N/A,N/A,N/A,N/A,N/A,8,Duration,271,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_04,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Cumulative % Survival,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,Cumulative % Survival,5,N/A,N/A,N/A,N/A,1,96,N/A,N/A,N/A,N/A,1.017481,N/A,N/A,N/A,N/A,Computed,94,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alternative,N/A,10,0.5,0.8,N/A,N/A,N/A,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spending Functions,Gamma Family,N/A,N/A,-4,Spending Functions,Rho Family,N/A,N/A,Binding,3,N/A,16.666667,N/A,N/A,33.333333,50,N/A,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,66.666667,check,check,-999998,0.000463,0.001303,N/A,-999998,8,Duration,1085,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_05,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,Computed,0.03,0.025,2,1,Hazard Rates,2,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Null,N/A,3,0.1,0.25,2,0.2,0.3,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wang-Tsiatis,N/A,N/A,-0.121,N/A,Pampallona-Tsiatis,N/A,N/A,-0.121,Non-Binding,N/A,N/A,25,N/A,N/A,50,75,N/A,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,check,N/A,N/A,N/A,N/A,N/A,8,Duration,232.222222,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_06,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,Computed,0.03,0.025,2,1,Hazard Rates,2,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Null,N/A,3,0.1,0.25,2,0.2,0.3,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haybittle Peto,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,Last Look p-value,25,0.0001,0.0001,50,75,0.0001,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,N/A,N/A,N/A,N/A,N/A,8,Duration,460.777778,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_07,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,Computed,0.03,0.025,2,1,Hazard Rates,2,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alternative,N/A,3,0.1,0.25,2,0.3,0.3,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haybittle Peto,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,Total Type I Error,25,0.0001,0.0001,50,75,0.0001,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,N/A,N/A,N/A,N/A,N/A,8,Duration,460.777778,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_08,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,Computed,0.03,0.025,2,1,Hazard Rates,2,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Null,N/A,3,0.1,0.25,2,0.2,0.3,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spending Functions,Lan-DeMets,N/A,N/A,O'Brien-Fleming,Spending Functions,Lan-DeMets,N/A,N/A,Non-Binding,Pocock,N/A,25,N/A,N/A,50,75,N/A,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,check,N/A,N/A,N/A,N/A,N/A,8,Duration,271.333333,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_09,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,Computed,0.03,0.025,2,1,Hazard Rates,2,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Null,N/A,3,0.1,0.25,2,0.2,0.3,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wang-Tsiatis,N/A,N/A,-0.121,N/A,Pampallona-Tsiatis,N/A,N/A,-0.121,Non-Binding,N/A,N/A,25,N/A,N/A,50,75,N/A,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,check,N/A,N/A,N/A,N/A,N/A,8,Duration,232.444444,N/A,N/A,N/A,Result - Input Set 1
TC_12,ITER_10,FALSE,N/A,Superiority,2-Sided,0.025,N/A,N/A,N/A,1,Hazard Rates,N/A,0.03466,N/A,Computed,0.03,0.025,2,1,Hazard Rates,2,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Null,N/A,3,0.1,0.25,2,0.2,0.3,N/A,Log Hazard Ratio,Uniform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haybittle Peto,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,Last Look p-value,25,0.0001,0.0001,50,75,0.0001,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,N/A,N/A,N/A,N/A,N/A,8,Duration,460.777778,N/A,N/A,N/A,Result - Input Set 1
