TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,efficacyPValue,futilityPValue,futilityCP,futilityHR,futilityCheck,efficacyCheck,cumAlphaSpent,cumBetaSpent
TC_12,ITER_01,0,25,N/A,N/A,N/A,1.779667,,check,N/A,N/A
TC_12,ITER_01,1,50,N/A,,,0.909914,check,,N/A,N/A
TC_12,ITER_01,2,75,N/A,,,0.736138,,,N/A,
TC_12,ITER_02,0,25,N/A,N/A,N/A,N/A,,N/A,N/A,N/A
TC_12,ITER_02,1,50,N/A,,,N/A,N/A,,N/A,N/A
TC_12,ITER_02,2,75,N/A,,,N/A,,,N/A,
TC_12,ITER_03,0,25,N/A,N/A,N/A,N/A,,N/A,N/A,N/A
TC_12,ITER_03,1,50,N/A,,,N/A,N/A,,N/A,N/A
TC_12,ITER_03,2,75,N/A,,,N/A,,,N/A,
TC_12,ITER_04,0,25,N/A,N/A,N/A,1.50448,,uncheck,N/A,N/A
TC_12,ITER_04,1,50,N/A,,,N/A,uncheck,,0.0125,N/A
TC_12,ITER_04,2,75,N/A,,,1.13252,,,0.01875,
TC_12,ITER_05,0,25,0.0001,N/A,N/A,1.055991,,check,N/A,N/A
TC_12,ITER_05,1,50,0.0002,,,0.711373,check,,N/A,N/A
TC_12,ITER_05,2,75,0.0003,,,0.627912,,,N/A,
TC_12,ITER_06,0,65,N/A,N/A,N/A,N/A,,N/A,N/A,N/A
TC_12,ITER_07,0,25,N/A,N/A,N/A,N/A,,check,N/A,N/A
TC_12,ITER_07,1,50,N/A,,,N/A,check,,N/A,N/A
TC_12,ITER_07,2,75,N/A,,,N/A,,,N/A,
