TC_ID,IterationID,PeriodIndex,dropoutHazardRateControl,dropoutHazardRateTreatment,dropoutByTime,probOfdropoutControl,probOfdropoutTreatment,dropoutStartingAtTime
TC_12,ITER_02,0,0.5,0.8,N/A,N/A,N/A,
TC_12,ITER_02,1,0.6,0.9,N/A,N/A,N/A,2
TC_12,ITER_03,0,0.693147,0.693147,N/A,N/A,N/A,
TC_12,ITER_04,0,0.5,0.8,N/A,N/A,N/A,
TC_12,ITER_04,1,0.6,0.9,N/A,N/A,N/A,2
TC_12,ITER_05,0,0.5,0.5,N/A,N/A,N/A,
TC_12,ITER_06,0,N/A,N/A,1,0.056,0.088,
TC_12,ITER_06,1,N/A,N/A,1.55,0.0952,0.111,N/A
TC_12,ITER_07,0,0.1,0.25,N/A,N/A,N/A,
TC_12,ITER_07,1,0.2,0.3,N/A,N/A,N/A,2
