TC_ID,IterationID,PeriodIndex,hazardRateControl,hazardRateTrmt_Null_SS,hazardRateTrmt_Alt_SPSS,startingAtTime,byTime,cumPercSurvivalControl,medianSurvivalTimeControl,medianSurvivalTimeTrmt_Null_SS,medianSurvivalTimeTrmt_Alt_SPSS,cumPercSurvivalTrmt_Alt_SPSS,hazardRateTrmt_Null_NI,hazardRateTrmt_Alt_NI,medianSurvivalTimeTrmt_Null_NI,medianSurvivalTimeTrmt_Alt_NI,cumPercSurvivalTrmt_Null_NI,cumPercSurvivalTrmt_Alt_NI
TC_12,ITER_01,0,0.03466,N/A,0.01733,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_12,ITER_02,0,N/A,N/A,N/A,,1,96.593378,N/A,N/A,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A
TC_12,ITER_03,0,N/A,N/A,N/A,,1,96.593378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Computed,Computed
TC_12,ITER_03,1,N/A,,,N/A,2,95,,,,,,,,,,
TC_12,ITER_03,2,N/A,,,N/A,3,94,,,,,,,,,,
TC_12,ITER_04,0,0.03466,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Computed,Computed,N/A,N/A,N/A,N/A
TC_12,ITER_04,1,0.03,,,1,N/A,N/A,,,,,,,,,,
TC_12,ITER_04,2,0.025,,,2,N/A,N/A,,,,,,,,,,
TC_12,ITER_05,0,N/A,N/A,N/A,,N/A,N/A,19.998476,Computed,Computed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_12,ITER_06,0,N/A,N/A,N/A,,1,93.706746,N/A,N/A,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A
TC_12,ITER_07,0,0.03466,N/A,Computed,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_12,ITER_07,1,0.03,,,1,N/A,N/A,,,,,,,,,,
TC_12,ITER_07,2,0.025,,,2,N/A,N/A,,,,,,,,,,
