TC_ID,IterationID,collectionName,SelectTask,SelectTest
TC_11,ITER_01,Set 1,,
TC_11,ITER_02,Set 2,,
TC_11,ITER_03,Set 3,,
TC_11,ITER_04,Set 4,,
TC_11,ITER_05,Set 5,,
TC_11,ITER_06,Set 6,,
TC_11,ITER_07,Set 7,,
TC_11,ITER_08,Set 8,,
TC_11,ITER_09,Set 9,,
TC_11,ITER_10,Set 10,,
TC_11,ITER_11,Set 11,,
TC_11,ITER_12,Set 12,,
TC_11,ITER_13,Set 13,,
TC_11,ITER_14,Set 14,,
TC_11,ITER_15,Set 15,,
TC_11,ITER_16,Set 16,,
TC_11,ITER_17,Set 17,,
TC_11,ITER_18,Set 18,,
TC_11,ITER_19,Set 19,,
TC_11,ITER_20,Set 20,,
TC_11,ITER_21,Set 21,,
TC_11,ITER_22,Set 22,,
TC_11,ITER_23,Set 23,,
TC_11,ITER_24,Set 24,,
TC_11,ITER_25,Set 25,,
TC_11,ITER_26,Set 26,,
TC_11,ITER_27,Set 27,,
TC_11,ITER_28,Set 28,,
TC_11,ITER_29,Set 29,,
TC_11,ITER_30,Set 30,,
TC_11,ITER_31,Set 31,,
TC_11,ITER_32,Set 32,,
TC_11,ITER_33,Set 33,,
TC_11,ITER_34,Set 34,,
TC_11,ITER_35,Set 35,,
