TC_ID,IterationID,Run,Project Name,Time Unit,Start Date,Study Objective,Phase,TargetPopulation,Treatment Arm,Control Arm,Priority,Endpoint Name,Endpoint Type,Better Response,Variable,followUpTime,Longer Duration
TC_11,ITER_01,TRUE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_02,TRUE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_03,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_04,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_05,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_06,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_07,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_08,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_09,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_10,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_11,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_12,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_13,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_14,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_15,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
