TC_ID,IterationID,PeriodIndex,medianSurvivalTimeControl,hazardRateControl,hazardRatio,startingAtTime,byTime,cumPercSurvivalControl
TC_12,ITER_01,0,N/A,0.0562,0.56,,N/A,N/A
TC_12,ITER_01,1,,0.0635,0.66,1.2,N/A,N/A
TC_12,ITER_02,0,N/A,N/A,0.6632,,1.2,96.888
TC_12,ITER_02,1,,N/A,0.823,N/A,2,93.652
TC_12,ITER_03,0,N/A,N/A,0.62,,1.1,96.8
TC_12,ITER_03,1,,N/A,0.66,N/A,2.2,95.25
TC_12,ITER_03,2,,N/A,0.71,N/A,3.3,92.123
TC_12,ITER_04,0,N/A,0.0562,1.325,,N/A,N/A
TC_12,ITER_04,1,,0.06523,1.666672,2.3,N/A,N/A
TC_12,ITER_04,2,,0.07565,2.211111,3.65,N/A,N/A
TC_12,ITER_05,0,22.6565,N/A,0.752132,,N/A,N/A
TC_12,ITER_06,0,15.625235,N/A,0.9125,,N/A,N/A
