Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,
1,10,Simulate,DesignPage,click,btn_Simulate,,,,,,10000,FALSE,0,never,,click Simulate,
2,20,ConfigureDesign,Page,fill,txt_ResultName,${data.simulation.CreateInputSet},,,,,10000,FALSE,0,never,,fill Simulation Input set name,
3,30,ConfigureDesign,Page,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit alert primary,
4,40,ConfigureDesign,Page,click,txt_left_Panel_designs,,,,,,10000,FALSE,0,never,,click leftPanel.designs,
5,50,ConfigureDesign,Page,fill,txt_Sample_Size,${data.simulation.sampleSize},,,,,10000,FALSE,0,never,,fill Sample Size,
6,60,ConfigureDesign,Page,select,ddl_Fix_at_Each_Analysis,${data.simulation.fixAtEachAnalysis},,,,,10000,FALSE,0,always,,Select Fix at Each Analysis. Native <select> - select matches by visible label first,
7,70,ConfigureDesign,Page,fill,txt_study_Duration,${data.simulation.studyDuration},,,,,10000,FALSE,0,never,,fill studyDuration,
9,90,ConfigureDesign,Page,fill,txt_number_Of_Events,${data.simulation.numberOfEvents},,,,,10000,FALSE,0,never,,fill numberOfEvents,
10,100,ConfigureDesign,Page,click,txt_Randomization_Method,,,,,,10000,FALSE,0,never,${data.simulation.randomizationMethodSelect}==N/A,focus Randomization Method only when the sim overrides it (inherited from the design otherwise),
11,110,ConfigureDesign,Page,select,ddl_randomization_Method_Select,${data.simulation.randomizationMethodSelect},,,,,10000,FALSE,0,always,,Select randomizationMethodSelect. Native <select> - select matches by visible label first,
12,120,ConfigureDesign,Page,fill,txt_Allocation_Ratio_nt_nc,${data.simulation.allocationRatio},,,,,10000,FALSE,0,never,,fill Allocation Ratio,
13,130,ConfigureDesign,Page,select,ddl_Test_Statistic,${data.simulation.testStatistic},,,,,10000,FALSE,0,always,,Select Test Statistic. Native <select> - select matches by visible label first,
14,140,ConfigureDesign,Page,fill,txt_harrington_Flem_P,${data.simulation.harringtonFlemP},,,,,10000,FALSE,0,never,,fill harringtonFlemP,
15,150,ConfigureDesign,Page,fill,txt_harrington_Flem_Q,${data.simulation.harringtonFlemQ},,,,,10000,FALSE,0,never,,fill harringtonFlemQ,
25,250,ConfigureDesign,Page,select,ddl_Adaptation_Method,${data.simulation.adaptationMethod},,,,,10000,FALSE,0,always,,Select Adaptation Method. Native <select> - select matches by visible label first,
26,260,ConfigureDesign,Page,select,ddl_Adapt_At,${data.simulation.Adapt At},,,,,10000,FALSE,0,always,,Select Adapt At. Native <select> - select matches by visible label first,
27,270,ConfigureDesign,Page,fill,txt_adapt_At_Input,${data.simulation.adaptAtInput},,,,,10000,FALSE,0,never,,fill adaptAtInput,
28,280,ConfigureDesign,Page,select,ddl_adapt_At_Select,${data.simulation.adaptAtSelect},,,,,10000,FALSE,0,always,,Select adaptAtSelect. Native <select> - select matches by visible label first,
29,290,ConfigureDesign,Page,select,ddl_adapt_At_Number_Of_Interims,${data.simulation.adaptAtNumberOfInterims},,,,,10000,FALSE,0,always,,Select adaptAtNumberOfInterims. Native <select> - select matches by visible label first,
30,300,ConfigureDesign,Page,fill,txt_Upper_Limit_on_Study_Duration,${data.simulation.Upper Limit on Study Duration},,,,,10000,FALSE,0,never,,fill Upper Limit on Study Duration,
31,310,ConfigureDesign,Page,select,ddl_Enrollment_Rate_After,${data.simulation.Enrollment Rate After},,,,,10000,FALSE,0,always,,Select Enrollment Rate After. Native <select> - select matches by visible label first,
32,320,ConfigureDesign,Page,fill,txt_multiplier_Enroll_Rate,${data.simulation.multiplierEnrollRate},,,,,10000,FALSE,0,never,,fill multiplierEnrollRate,
33,330,ConfigureDesign,Page,select,ddl_enroll_Rate_After_Adapt,${data.simulation.enrollRateAfterAdapt},,,,,10000,FALSE,0,always,,Select enrollRateAfterAdapt. Native <select> - select matches by visible label first,
34,340,ConfigureDesign,Page,fill,txt_Fixed_Enrollment_Rate_After,${data.simulation.Fixed Enrollment Rate After},,,,,10000,FALSE,0,never,,fill Fixed Enrollment Rate After,
35,350,ConfigureDesign,Page,fill,txt_Reference_HR_for_CP_Chart,${data.simulation.Reference HR for CP Chart},,,,,10000,FALSE,0,never,,fill Reference HR for CP Chart,
36,360,ConfigureDesign,Page,select,ddl_Scale,${data.simulation.scale},,,,,10000,FALSE,0,always,,Select Scale. Native <select> - select matches by visible label first,
37,370,ConfigureDesign,Page,fill,txt_Min_Test_Statistic,${data.simulation.minTestStatistic},,,,,10000,FALSE,0,never,,fill Min. Test Statistic,
38,380,ConfigureDesign,Page,fill,txt_Max_Test_Statistic,${data.simulation.maxTestStatistic},,,,,10000,FALSE,0,never,,fill Max. Test Statistic,
39,390,ConfigureDesign,Page,select,ddl_scale,${data.simulation.scale},,,,,10000,FALSE,0,always,,Select scale. Native <select> - select matches by visible label first,
40,400,ConfigureDesign,Page,fill,txt_Min_CP,${data.simulation.minCp},,,,,10000,FALSE,0,never,,fill Min. CP,
41,410,ConfigureDesign,Page,fill,txt_Max_CP,${data.simulation.maxCp},,,,,10000,FALSE,0,never,,fill Max. CP,
42,420,ConfigureDesign,Page,fill,txt_Min_HR,${data.simulation.minHr},,,,,10000,FALSE,0,never,,fill Min. HR,
43,430,ConfigureDesign,Page,fill,txt_Max_HR,${data.simulation.maxHr},,,,,10000,FALSE,0,never,,fill Max. HR,
44,440,ConfigureDesign,Page,fill,txt_Target_CP_for_Re_Estimating,${data.simulation.targetCpForReEstimatingNumberOfEvents},,,,,10000,FALSE,0,never,,fill Target CP for Re-Estimating,
45,450,ConfigureDesign,Page,select,ddl_CP_Computation_Based_On,${data.simulation.cpComputationBasedOn},,,,,10000,FALSE,0,always,,Select CP Computation Based On. Native <select> - select matches by visible label first,
46,460,ConfigureDesign,Page,fill,txt_Multiplier,${data.simulation.multiplierEnrollRate},,,,,10000,FALSE,0,never,,fill Multiplier,
47,470,ConfigureDesign,Page,click,btn_Response,,,,,,10000,FALSE,0,never,,click Response,
47,475,ConfigureDesign,Page,waitForNetworkIdle,,,,,,,15000,FALSE,0,never,,let the Response tab render after clicking Response before touching its controls,
47,476,ConfigureDesign,Page,sleep,,1500,,,,,5000,FALSE,0,never,,human-like pause so the Response tab inputs (distribution / input-method / hazard-rate table) are present before the automation fills them,
48,480,ConfigureDesign,Page,select,ddl_Distribution,${data.simulation.distributionSelect},,,,,10000,TRUE,0,always,,Distribution is inherited from the design (already set, e.g. Exponential) and is not a native <select> on this tab — Optional so an inherited value doesn't fail the sim
