TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Expected H0,(Week),3982.238,20260803T151353_648510,,
Accrual and Study Duration,Expected H0,(Week),3982.238,20260803T151353_648510,,
Accrual and Study Duration,Expected H0,params,Expected H0,20260803T151353_648510,,
Accrual and Study Duration,Expected H1,(Week),3365.631,20260803T151353_648510,,
Accrual and Study Duration,Expected H1,(Week),3365.936,20260803T151353_648510,,
Accrual and Study Duration,Expected H1,params,Expected H1,20260803T151353_648510,,
Accrual and Study Duration,Maximum,(Week),4482.677,20260803T151353_648510,,
Accrual and Study Duration,Maximum,(Week),4483.677,20260803T151353_648510,,
Accrual and Study Duration,Maximum,params,Maximum,20260803T151353_648510,,
Accrual and Study Duration,row_0,(Week),Accrual Duration (Week),20260803T151353_648510,,
Accrual and Study Duration,row_0,(Week),Study Duration (Week),20260803T151353_648510,,
Accrual and Study Duration,row_0,params,,20260803T151353_648510,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260803T151353_648510,,
Design Summary #1,Hypothesis,Value,Noninferiority,20260803T151353_648510,,
Design Summary #1,Number of Interims,Parameter,Number of Interims,20260803T151353_648510,,
Design Summary #1,Number of Interims,Value,3,20260803T151353_648510,,
Design Summary #1,Power,Parameter,Power,20260803T151353_648510,,
Design Summary #1,Power,Value,0.9,20260803T151353_648510,,
Design Summary #1,Test Name,Parameter,Test Name,20260803T151353_648510,,
Design Summary #1,Test Name,Value,Logrank Test Given Accrual Duration and Accrual Rates (Parallel Design),20260803T151353_648510,,
Design Summary #1,Test Type,Parameter,Test Type,20260803T151353_648510,,
Design Summary #1,Test Type,Value,1-Sided,20260803T151353_648510,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260803T151353_648510,,
Design Summary #1,Type 1 Error (α),Value,0.023,20260803T151353_648510,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260803T151353_648510,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1,20260803T151353_648510,,
Design Summary #2,Dropout,Parameter,Dropout,20260803T151353_648510,,
Design Summary #2,Dropout,Value,Yes,20260803T151353_648510,,
Design Summary #2,Dropout Hazard Rate (Control),Parameter,Dropout Hazard Rate (Control),20260803T151353_648510,,
Design Summary #2,Dropout Hazard Rate (Control),Value,0.693147,20260803T151353_648510,,
Design Summary #2,Dropout Hazard Rate (Treatment),Parameter,Dropout Hazard Rate (Treatment),20260803T151353_648510,,
Design Summary #2,Dropout Hazard Rate (Treatment),Value,0.693147,20260803T151353_648510,,
Design Summary #2,Dropout Input Method,Parameter,Dropout Input Method,20260803T151353_648510,,
Design Summary #2,Dropout Input Method,Value,Hazard Rates,20260803T151353_648510,,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260803T151353_648510,,
Design Summary #2,Follow-up Time (Week),Value,1,20260803T151353_648510,,
Design Summary #2,HR = λt/λc,Parameter,HR = λt/λc,20260803T151353_648510,,
Design Summary #2,HR = λt/λc,Value,,20260803T151353_648510,,
Design Summary #2,Under H0,Parameter,Under H0,20260803T151353_648510,,
Design Summary #2,Under H0,Value,1.249838,20260803T151353_648510,,
Design Summary #2,Under H1,Parameter,Under H1,20260803T151353_648510,,
Design Summary #2,Under H1,Value,1,20260803T151353_648510,,
Design Summary #2,Variance of Log Hazard Ratio,Parameter,Variance of Log Hazard Ratio,20260803T151353_648510,,
Design Summary #2,Variance of Log Hazard Ratio,Value,Alternative,20260803T151353_648510,,
Design Summary #3,Enrollment Rate (per Week),Parameter,Enrollment Rate (per Week),20260803T151353_648510,,
Design Summary #3,Enrollment Rate (per Week),Value,8,20260803T151353_648510,,
Design Summary #4,Efficacy Boundary,Parameter,Efficacy Boundary,20260803T151353_648510,,
Design Summary #4,Efficacy Boundary,Value,Wang-Tsiatis (0.012),20260803T151353_648510,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis #,1,20260803T151353_648510,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis Spacing (%) Info,25.028,20260803T151353_648510,,
