TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Expected H0,(Week),290.273,20260803T121416_62c4d6,,
Accrual and Study Duration,Expected H0,(Week),290.273,20260803T121416_62c4d6,,
Accrual and Study Duration,Expected H0,params,Expected H0,20260803T121416_62c4d6,,
Accrual and Study Duration,Expected H1,(Week),281.05,20260803T121416_62c4d6,,
Accrual and Study Duration,Expected H1,(Week),281.05,20260803T121416_62c4d6,,
Accrual and Study Duration,Expected H1,params,Expected H1,20260803T121416_62c4d6,,
Accrual and Study Duration,Maximum,(Week),458.82,20260803T121416_62c4d6,,
Accrual and Study Duration,Maximum,(Week),361.483,20260803T121416_62c4d6,,
Accrual and Study Duration,Maximum,params,Maximum,20260803T121416_62c4d6,,
Accrual and Study Duration,row_0,(Week),Accrual Duration (Week),20260803T121416_62c4d6,,
Accrual and Study Duration,row_0,(Week),Study Duration (Week),20260803T121416_62c4d6,,
Accrual and Study Duration,row_0,params,,20260803T121416_62c4d6,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260803T121416_62c4d6,,
Design Summary #1,Hypothesis,Value,Superiority,20260803T121416_62c4d6,,
Design Summary #1,Number of Interims,Parameter,Number of Interims,20260803T121416_62c4d6,,
Design Summary #1,Number of Interims,Value,3,20260803T121416_62c4d6,,
Design Summary #1,Power,Parameter,Power,20260803T121416_62c4d6,,
Design Summary #1,Power,Value,0.902,20260803T121416_62c4d6,,
Design Summary #1,Test Name,Parameter,Test Name,20260803T121416_62c4d6,,
Design Summary #1,Test Name,Value,Logrank Test Given Accrual Duration and Accrual Rates (Parallel Design),20260803T121416_62c4d6,,
Design Summary #1,Test Type,Parameter,Test Type,20260803T121416_62c4d6,,
Design Summary #1,Test Type,Value,1-Sided,20260803T121416_62c4d6,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260803T121416_62c4d6,,
Design Summary #1,Type 1 Error (α),Value,0.025,20260803T121416_62c4d6,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260803T121416_62c4d6,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1,20260803T121416_62c4d6,,
Design Summary #2,Cumulative % Survival (Control) (Sc),Parameter,Cumulative % Survival (Control) (Sc),20260803T121416_62c4d6,,
Design Summary #2,Cumulative % Survival (Control) (Sc),Value,96.593378,20260803T121416_62c4d6,,
Design Summary #2,Cumulative % Survival (Treatment: Alternative) (St),Parameter,Cumulative % Survival (Treatment: Alternative) (St),20260803T121416_62c4d6,,
Design Summary #2,Cumulative % Survival (Treatment: Alternative) (St),Value,98.281927,20260803T121416_62c4d6,,
Design Summary #2,Cumulative % Survival By Time (Week),Parameter,Cumulative % Survival By Time (Week),20260803T121416_62c4d6,,
Design Summary #2,Cumulative % Survival By Time (Week),Value,1,20260803T121416_62c4d6,,
Design Summary #2,Dropout,Parameter,Dropout,20260803T121416_62c4d6,,
Design Summary #2,Dropout,Value,Yes,20260803T121416_62c4d6,,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260803T121416_62c4d6,,
Design Summary #2,Follow-up Time (Week),Value,10,20260803T121416_62c4d6,,
Design Summary #2,HR = λt/λc,Parameter,HR = λt/λc,20260803T121416_62c4d6,,
Design Summary #2,HR = λt/λc,Value,,20260803T121416_62c4d6,,
Design Summary #2,Survival Input Method,Parameter,Survival Input Method,20260803T121416_62c4d6,,
Design Summary #2,Survival Input Method,Value,Cumulative % Survival,20260803T121416_62c4d6,,
Design Summary #2,Under H0,Parameter,Under H0,20260803T121416_62c4d6,,
Design Summary #2,Under H0,Value,1,20260803T121416_62c4d6,,
Design Summary #2,Under H1,Parameter,Under H1,20260803T121416_62c4d6,,
Design Summary #2,Under H1,Value,0.500001,20260803T121416_62c4d6,,
Design Summary #2,Variance of Log Hazard Ratio,Parameter,Variance of Log Hazard Ratio,20260803T121416_62c4d6,,
Design Summary #2,Variance of Log Hazard Ratio,Value,Alternative,20260803T121416_62c4d6,,
Design Summary #3,Enrollment Rate (per Week),Parameter,Enrollment Rate (per Week),20260803T121416_62c4d6,,
Design Summary #3,Enrollment Rate (per Week),Value,8,20260803T121416_62c4d6,,
Design Summary #4,Efficacy Boundary,Parameter,Efficacy Boundary,20260803T121416_62c4d6,,
Design Summary #4,Efficacy Boundary,Value,Wang-Tsiatis (-0.121),20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,1,Control,0.5,20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,1,Period #,1,20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,1,Starting At Time (Week),0,20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,1,Treatment,0.8,20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,2,Control,0.6,20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,2,Period #,2,20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,2,Starting At Time (Week),2,20260803T121416_62c4d6,,
Dropout Information : Hazard Rates,2,Treatment,0.9,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis #,1,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis Spacing (%) Info,25.424,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis Time (Week),75.052,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Dropouts (d),559,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Efficacy,0,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Events (s),30,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Pipeline (n-s-d),12,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Sample Size (n),601,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Analysis #,2,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Analysis Spacing (%) Info,50,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Analysis Time (Week),146.208,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Dropouts (d),1098,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Efficacy,0.001,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Events (s),59,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Pipeline (n-s-d),13,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Sample Size (n),1170,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Analysis #,3,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Analysis Spacing (%) Info,75.424,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Analysis Time (Week),219.818,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Dropouts (d),1656,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Efficacy,0.008,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Events (s),89,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Pipeline (n-s-d),14,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Sample Size (n),1759,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Analysis #,4,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Analysis Spacing (%) Info,100,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Analysis Time (Week),290.974,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Dropouts (d),2196,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Efficacy,0.016,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Events (s),118,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Pipeline (n-s-d),14,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Sample Size (n),2328,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Analysis #,1,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Analysis Spacing (%) Info,25.424,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Analysis Time (Week),93.038,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Dropouts (d),702,20260803T121416_62c4d6,,
"Events, Sample Size, Dropouts, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Efficacy,0.001,20260803T121416_62c4d6,,
