TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Average Sample Size and Analysis Times,1,Analysis #,1,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,1,Average Analysis Time (Week),31.031,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,1,Average Follow Up (Week),12.075,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,1,Average Sample Size (n),469.98,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,1,Control,62.44,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,1,Treatment,83.56,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,2,Analysis #,2,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,2,Average Analysis Time (Week),47.657,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,2,Average Follow Up (Week),15.904,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,2,Average Sample Size (n),720.667,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,2,Control,124.729,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,2,Treatment,168.271,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,3,Analysis #,3,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,3,Average Analysis Time (Week),64.463,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,3,Average Follow Up (Week),17.819,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,3,Average Sample Size (n),977.933,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,3,Control,189.733,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,3,Treatment,249.267,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,4,Analysis #,4,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,4,Average Analysis Time (Week),81.666,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,4,Average Follow Up (Week),19.034,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,4,Average Sample Size (n),1214.333,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,4,Control,255.667,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,4,Treatment,329.333,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,Average,Analysis #,Average,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,Average,Average Analysis Time (Week),52.429,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,Average,Average Follow Up (Week),16.337,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,Average,Average Sample Size (n),793.81,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,Average,Control,141.63,20260810T132141_a90bb2,,
Average Sample Size and Analysis Times,Average,Treatment,193.67,20260810T132141_a90bb2,,
Enrollment #1,1,Enrollment Rate (per Week),15.1515,20260810T132141_a90bb2,,
Enrollment #1,1,Period,1,20260810T132141_a90bb2,,
Enrollment #1,1,Starting At Time (Week),0,20260810T132141_a90bb2,,
Enrollment #2,Accrual Model,Parameter,Accrual Model,20260810T132141_a90bb2,,
Enrollment #2,Accrual Model,Value,Uniform,20260810T132141_a90bb2,,
Enrollment #2,Total Accrual Duration (Week),Parameter,Total Accrual Duration (Week),20260810T132141_a90bb2,,
Enrollment #2,Total Accrual Duration (Week),Value,462.33,20260810T132141_a90bb2,,
Plan #1,Control Arm,Parameter,Control Arm,20260810T132141_a90bb2,,
Plan #1,Control Arm,Value,Control,20260810T132141_a90bb2,,
Plan #1,Phase,Parameter,Phase,20260810T132141_a90bb2,,
Plan #1,Phase,Value,3,20260810T132141_a90bb2,,
Plan #1,Study Objective,Parameter,Study Objective,20260810T132141_a90bb2,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260810T132141_a90bb2,,
Plan #1,Target Population,Parameter,Target Population,20260810T132141_a90bb2,,
Plan #1,Target Population,Value,Full Population,20260810T132141_a90bb2,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260810T132141_a90bb2,,
Plan #1,Treatment Arm,Value,Experimental,20260810T132141_a90bb2,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260810T132141_a90bb2,,
Plan #2,Endpoint Name,Value,Endpoint 1,20260810T132141_a90bb2,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260810T132141_a90bb2,,
Plan #2,Endpoint Type,Value,Time to Event,20260810T132141_a90bb2,,
Plan #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260810T132141_a90bb2,,
Plan #2,Follow-up Time (Week),Value,10,20260810T132141_a90bb2,,
Plan #2,Priority,Parameter,Priority,20260810T132141_a90bb2,,
Plan #2,Priority,Value,Primary,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,%,—,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Analysis #,%,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Count,—,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy,0,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy p-value,—,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility,100,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility HR,—,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Number of Events,—,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,%,4,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Analysis #,1,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Count,4,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy,0,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy p-value,0,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility,4,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility HR,1.056,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Number of Events,146,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,%,66,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Analysis #,2,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Count,66,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy,0,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy p-value,0,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility,66,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility HR,0.711,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Number of Events,293,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,%,27,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Analysis #,3,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Count,27,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Efficacy,0,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Efficacy p-value,0,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Futility,27,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Futility HR,0.628,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Number of Events,439,20260810T132141_a90bb2,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,%,3,20260810T132141_a90bb2,,
