TC_ID,IterationID,Run,Hypothesis,Power,Test Type,Type 1 Error,Upper Type 1 Error,Lower Type 1 Error,Allocation Ratio,inputMethod,hazardRatioInputMethod,Hazard Ratio (Alternative),Ratio of Perc Survivals at Period1 (Alternative),Log Hazard Ratio (Alternative),varianceOfLogHR,Variable,Follow-up Time,inputMethodTable.0.startingAtTime,inputMethodTable.0.hazardRateControl,inputMethodTable.0.hazardRateAlternative,inputMethodTable.1.startingAtTime,inputMethodTable.1.hazardRateControl,inputMethodTable.1.hazardRateAlternative,inputMethodTable.2.startingAtTime,inputMethodTable.2.hazardRateControl,inputMethodTable.2.hazardRateAlternative,inputMethodTable.0.byTime,inputMethodTable.0.cumPercSurvivalControl,inputMethodTable.0.cumPercSurvivalAlternative,inputMethodTable.1.byTime,inputMethodTable.1.cumPercSurvivalControl,inputMethodTable.1.cumPercSurvivalAlternative,inputMethodTable.2.byTime,inputMethodTable.2.cumPercSurvivalControl,inputMethodTable.2.cumPercSurvivalAlternative,inputMethodTable.0.medianControl,inputMethodTable.0.medianAlternative,piecewiseInputMethod,dropoutTable.0.byTime,dropoutTable.0.dropoutControl,dropoutTable.0.dropoutAlternative,dropoutTable.1.byTime,dropoutTable.1.dropoutControl,dropoutTable.1.dropoutAlternative,dropoutTable.0.startingAtTime,dropoutTable.0.hazardRateControl,dropoutTable.0.hazardRateAlternative,includeAssurance,priorDistributionFor,distributionMethod,assuranceInputMethod,effBoundaryFam,efficacySpendingFunction,efficacyParameter,efficacyFix,futBoundaryFam,futilityBoundary,boundaryScale,boundary.0.analysisSpacingInfo,boundary.1.analysisSpacingInfo,boundary.2.analysisSpacingInfo
TC_GADAR,ITER_01,TRUE,Superiority,0.9,1-Sided,0.025,N/A,N/A,1,Hazard Rates,Hazard Ratio (λt/λc),0.5,Computed,Computed,Null,uncheck,1,0,0.03466,0.01733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,Log Hazard Ratio (δ),Normal,E(δ) and SD(δ),None,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
TC_GADAR,ITER_02,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Hazard Rates,Hazard Ratio (λt/λc),0.5,Computed,Computed,Null,uncheck,1,0,0.03466,0.01733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,Hazard Ratio (HR),Log Normal,Percentiles of Hazard Ratio(HR),Spending Functions,Lan-DeMets,O'Brien-Fleming,N/A,Spending Functions,Non-Binding,Z Scale,25,50,75
TC_GADAR,ITER_03,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Hazard Rates,Log Hazard Ratio,Computed,Computed,-0.693147,Alternative,check,1,0,0.03466,0.03,1,0.03,0.025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Probability of Dropout,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,on,λc,Beta,Percentiles of λc,Spending Functions,Gamma Family,N/A,N/A,None,N/A,Z Scale,25,50,75
TC_GADAR,ITER_04,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Hazard Rates,Hazard Ratio (λt/λc),0.5,Computed,Computed,Null,uncheck,1,0,0.03466,0.01733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,λt,Beta,Percentiles of λt,Haybittle Peto (p-value),N/A,N/A,Total Type 1 Error (α),HR,Non-Binding,HR Scale,25,50,75
TC_GADAR,ITER_05,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Hazard Rates,Hazard Ratio (λt/λc),0.5,Computed,Computed,Alternative,uncheck,1,0,0.03466,0.03,1,0.03,0.025,3,0.025,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hazard Rates,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,on,λc and λt,Beta,Percentiles of λc and λt,Spending Functions,Rho Family,N/A,N/A,Spending Functions,Binding,Z Scale,25,50,75
TC_GADAR,ITER_06,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Median Survival Times,Ratio of Medians,Computed,Computed,Computed,Alternative,uncheck,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.998476,Computed,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,m_c,Beta,Percentiles of m_c,Spending Functions,Interpolated,N/A,N/A,Conditional Power,Non-Binding,Z Scale,16.666667,33.333333,50
TC_GADAR,ITER_07,TRUE,Super Superiority,0.9,1-Sided,0.025,N/A,N/A,1,Median Survival Times,Hazard Ratio (λt/λc),0.5,Computed,Computed,Alternative,uncheck,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.998476,Computed,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,m_t,Beta,Percentiles of m_t,Haybittle Peto (p-value),N/A,N/A,Last Look p-value,HR,Non-Binding,HR Scale,25,50,75
TC_GADAR,ITER_08,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Median Survival Times,Ratio of Medians,Computed,Computed,Computed,Alternative,uncheck,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.998476,Computed,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,m_c and m_t,Uniform,Percentiles of m_c and m_t,Wang-Tsiatis,N/A,N/A,N/A,p-value,Non-Binding,HR Scale,25,50,75
TC_GADAR,ITER_09,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Cumulative % Survival,Ratio of % Survivals at Period #1,Computed,1.017481,Computed,Alternative,check,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,96.593378,98.28193,2,95,94,N/A,N/A,N/A,N/A,N/A,Probability of Dropout,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,on,s_c/100,Beta,Percentiles of s_c/100,Spending Functions,Lan-DeMets,Pocock,N/A,Conditional Power,Non-Binding,Z Scale,25,50,75
TC_GADAR,ITER_10,TRUE,Noninferiority,0.9,1-Sided,0.023,N/A,N/A,1,Cumulative % Survival,Ratio of % Survivals at Period #1,Computed,0.991378,Computed,Alternative,uncheck,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,96.593378,98.28193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,s_t/100,Beta,Percentiles of s_t/100,None,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
TC_GADAR,ITER_11,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Cumulative % Survival,None,N/A,N/A,N/A,Alternative,uncheck,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,96.593378,98.28193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,on,s_c/100 and s_t/100,Uniform,Percentiles of s_c/100 and s_t/100,Haybittle Peto (p-value),N/A,N/A,Total Type 1 Error (α),HR,Non-Binding,HR Scale,25,50,75
TC_GADAR,ITER_12,TRUE,Superiority,0.9,2-Sided (Asymmetric),N/A,0.0125,0.0125,1,Hazard Rates,Hazard Ratio (λt/λc),0.5,Computed,Computed,Null,uncheck,1,0,0.03466,0.01733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,off,N/A,N/A,N/A,Wang-Tsiatis,N/A,N/A,N/A,p-value,Non-Binding,HR Scale,25,50,75
TC_GADAR,ITER_13,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Hazard Rates,Hazard Ratio (λt/λc),0.5,Computed,Computed,Null,uncheck,1,0,0.03466,0.01733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,off,N/A,N/A,N/A,Spending Functions,Lan-DeMets,O'Brien-Fleming,N/A,Conditional Power,Non-Binding,Z Scale,25,50,75
TC_GADAR,ITER_14,TRUE,Superiority,0.9,2-Sided,0.025,N/A,N/A,1,Hazard Rates,Hazard Ratio (λt/λc),0.5,Computed,Computed,Null,uncheck,1,0,0.03466,0.01733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,off,N/A,N/A,N/A,Spending Functions,Gamma Family,N/A,N/A,Spending Functions,Binding,Z Scale,25,50,75
