TestCaseNo,Feature_Name,boundary_interimSpacing,effBoundaryFam,boundary_efficacy_fix,boundary_efficacy_function,boundary_efficacy_givenProportions,boundary_efficacy_pValue,boundary_efficacy_parameter,boundary_efficacy_shapeParam,boundary_efficacy_bdryExists,boundary_efficacy_cumulAlphaSpent,futBoundaryFam,boundary_futility_function,boundary_futility_givenProportions,boundary_futility_pValue,boundary_futility_parameter,boundary_futility_shapeParam,boundary_efficacy_efficacyLwr_function,boundary_efficacy_efficacyLwr_pValue,boundary_efficacy_efficacyLwr_parameter,boundary_efficacy_efficacyUpr_cumulAlphaSpent,boundary_efficacy_efficacyUpr_function,boundary_efficacy_efficacyUpr_givenProportions,boundary_efficacy_efficacyUpr_pValue,boundary_efficacy_efficacyUpr_parameter,boundary_futility_bdryExists,boundary_futility_boundaryType,boundary_futility_cumulBetaSpent,boundary_futility_delta,piecewiseInputMethod,hazardRatioInputMethod,varianceOfLogHR,inputMethod,allocationRatio,type1Error,lowerType1Error,upperType1Error,testtype,power,hypothesis,variable,followUpTime,dropoutByTime,dropoutControl,dropoutTreatment,startingAtTime(Month),hazardRateControl,hazardRateTrmt_Alt_SPSS,hazardRateTrmt_Null_SS,assuranceFile,includeAssurance,startingAtTime,avgSubjectsEnrolled,maxSubjects,committedSubjects,minSubjects,maxDuration,committedDuration,minDuration,inputParameter,hazardRatio_Alt_SP,hazardRatio_Null_SS,logHazardRatio_Alt_SP,logHazardRatio_Null_SS,priorDistributionFor,distributionMethod,assuranceInputMethod,percLambdaC1stPercentileProb,percLambdaC2ndPercentileProb,percLambdaC1stPercentileVal,percLambdaC2ndPercentileVal,percLambdaC1stOperator,percLambdaC2ndOperator,maxLambdaC,minLambdaC,maxLambdaT,minLambdaT,maxHR,minHR,a,b,percST1stPercentileProb,percST2ndPercentileProb,percST1stPercentileVal,percST2ndPercentileVal,percST1stOperator,percST2ndOperator,sdHR,eHR,percMT1stPercentileProb,percMT2ndPercentileProb,percMT1stPercentileVal,percMT2ndPercentileVal,percMT1stOperator,percMT2ndOperator,sdMT,eMT,sdMC,eMC,max,min
TC_01,GADAR,"25, 50, 75",Spending Functions,,Lan-DeMets,,,OF,,"True, True, True",,HRBoundary,,,,,,,,,,,,,,"True, True, True",Non-Binding,,"1.77966668828943, 0.909914262248534, 0.736137690041295, 0.661103154338397",,None,Null,Hazard Rates,1,0.025,,,1-Sided,0.9,Superiority,,,,,,0,0.03466,0.017329951,,,,,,280,,95,35,23.5,11.875,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_03,GADAR,"25, 50, 75",Wang-Tsiatis,,,,,,-0.121,,,None,,,,,,,,,,,,,,,,,,Prob of Dropout,Ratio of Perc Survivals,Alternative,Cum Perc Survival,1,0.025,,,1-Sided,0.9,Superiority,,,"1.0, 2.0","0.5, 0.6","0.8, 0.9",1,96.59337779,,,,,"0.0, 1.0",,3829.569254,,3817.37008,450.5963828,458.8203294,449.1611858,3,1.017481036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_04,GADAR,"25, 50, 75",Spending Functions,,Lan-DeMets,,,OF,,"True, True, True",,Spending Functions,Lan-DeMets,,,PK,,,,,,,,,,"True, True, True",Non-Binding,,,Hazard Rates,Hazard Ratio,Null,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.2, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,2441,,2432,271.4444444,271,270.4444444,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_05,GADAR,"16.6666666666667, 33.3333333333333, 50, 66.6666666666667, 83.3333333333333",Spending Functions,,Gamma Family,,,-4,,"False, True, True, True, True","-999998, 0.00130306171619525, 0.00298007305055294, 0.00624644511371594, 0.0126084691718885, 0.025",Spending Functions,Rho Family,,,3,,,,,,,,,,"True, False, True, True, True",Binding,"0.000462962962962966, -999998, 0.0125, 0.0296296296296297, 0.0578703703703703, 0.100000021980314",,Prob of Dropout,Ratio of Perc Survivals,Alternative,Cum Perc Survival,1,0.025,,,2-Sided,0.9,Superiority,,,1,0.5,0.8,"1, 2","96, 94",,,,,,,8527.581,,8522.43215,1065.947625,1085,1065.304019,3,1.017481036,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_07,GADAR,"25, 50, 75",Wang-Tsiatis,,,,,,-0.121,"True, True, True",,Pampallona-Tsiatis,,,,,-0.121,,,,,,,,,"True, True, True",Non-Binding,,,Hazard Rates,Hazard Ratio,Null,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.2, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,2092,,2083,232.6666667,232.2222222,231.6666667,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_08,GADAR,"25, 50, 75",Haybittle Peto,Last Look p-value,,,"0.0001, 0.0001, 0.0001, 0.0001",,,,,None,,,,,,,,,,,,,,,,,,Hazard Rates,Hazard Ratio,Null,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.2, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,4149,,4140,461.2222222,460.7777778,460.2222222,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_09,GADAR,"25, 50, 75",Haybittle Peto,Total Type I Error,,,"0.0001, 0.0001, 0.0001",,,,,None,,,,,,,,,,,,,,,,,,Hazard Rates,Hazard Ratio,Alternative,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.3, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,4149,,4140,461.2222222,460.7777778,460.2222222,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_10,GADAR,"25, 50, 75",Spending Functions,,Lan-DeMets,,,OF,,"True, True, True",,Spending Functions,Lan-DeMets,,,PK,,,,,,,,,,"True, True, True",Non-Binding,,,Hazard Rates,Hazard Ratio,Null,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.2, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,2441,,2432,271.4444444,271.3333333,270.4444444,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_11,GADAR,"25, 50, 75",Wang-Tsiatis,,,,,,-0.121,"True, True, True",,Pampallona-Tsiatis,,,,,-0.121,,,,,,,,,"True, True, True",Non-Binding,,,Hazard Rates,Hazard Ratio,Null,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.2, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,2092,,2083,232.6666667,232.4444444,231.6666667,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_12,GADAR,"25, 50, 75",Haybittle Peto,Last Look p-value,,,"0.0001, 0.0001, 0.0001, 0.0001",,,,,None,,,,,,,,,,,,,,,,,,Hazard Rates,Hazard Ratio,Null,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.2, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,4140,,4140,461.2222222,460.7777778,460.2222222,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
