ScenarioName,TestCaseNo,Feature_Name,effBoundaryFam,futBoundaryFam,piecewiseInputMethod,hazardRatioInputMethod,varianceOfLogHR,inputMethod,allocationRatio,type1Error,lowerType1Error,upperType1Error,testtype,power,hypothesis,variable,followUpTime,dropoutByTime,dropoutControl,dropoutTreatment,startingAtTime(Month),hazardRateControl,hazardRateTrmt_Alt_SPSS,hazardRateTrmt_Null_SS,assuranceFile,includeAssurance,startingAtTime,avgSubjectsEnrolled,maxSubjects,committedSubjects,minSubjects,maxDuration,committedDuration,minDuration,inputParameter,hazardRatio_Alt_SP,hazardRatio_Null_SS,logHazardRatio_Alt_SP,logHazardRatio_Null_SS,priorDistributionFor,distributionMethod,assuranceInputMethod,percLambdaC1stPercentileProb,percLambdaC2ndPercentileProb,percLambdaC1stPercentileVal,percLambdaC2ndPercentileVal,percLambdaC1stOperator,percLambdaC2ndOperator,maxLambdaC,minLambdaC,maxLambdaT,minLambdaT,maxHR,minHR,a,b,percST1stPercentileProb,percST2ndPercentileProb,percST1stPercentileVal,percST2ndPercentileVal,percST1stOperator,percST2ndOperator,sdHR,eHR,percMT1stPercentileProb,percMT2ndPercentileProb,percMT1stPercentileVal,percMT2ndPercentileVal,percMT1stOperator,percMT2ndOperator,sdMT,eMT,sdMC,eMC,max,min,Sim_CreateCollection,simInp_sampleSize,simInp_fixAtEachAnalysis,simInp_randomizationMethodSelect,simInp_allocationRatio,simInp_criticalPoint,simInp_lowerCriticalPoint,simInp_upperCriticalPoint,simInp_testStatistic,simInp_numberOfEvents,simInp_studyDuration,simInp_harringtonFlemP,simInp_harringtonFlemQ,simInp_margin,simInp_dropoutDistributionSelect,simInp_piecewiseInputMethod,simInp_dropoutByTime,simInp_dropoutControl,simInp_dropoutTreatment,simInp_variable,simInp_followUpTime,simInp_distributionSelect,simInp_inputMethod,simInp_hazardRatioModifierSelect,simInp_startingAtTime,simInp_hazardRateTrmt,simInp_hazardRateControl,simInp_hazardRatio,simInp_enrollType,simInp_accrualModelSelect,simInp_accrualInfoInputMethod,simInp_startingAtTime,simInp_avgSubjectsEnrolled,simInp_accrualDuration,simInp_byTime,simInp_accrualPercentage,simInp_numOfSimRun,simInp_randomNumberSeed,simInp_fixedSeed,simInp_saveSummaryStats,simInp_saveSubjectLevelData,simInp_subLevelDataSimRuns
GADAR_Sim_40,TC_96,GADAR_Sim,1,1,,,Alternative,Cum Perc Survival,0.98,0.025,0,0,1-Sided,0.98,Superiority,TRUE,0,0,0,0,1.2,95.55864913,97.6871657,0,,TRUE,0,9,378.110778,329.04,146.4190467,42.01230867,36.56,16.26878297,3,0,0,0,0,Log Hazard Ratio,Normal,Percentiles of Param,0.05,0.08,-1.65,1.72,Less Equal,Greater Equal,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Sim_CreateCollection_01.json,3019,Total No. of Events,1,1.98978,-1.959963986,0,0,Logrank,76,0,0,0,0,1,1,0,0,0,FALSE,13.8675,1,Cum Perc Survival,1,"1, 2, 3, 4, 5",0,"23.0, 22.0, 21.56, 21.45, 20.31",0.1234,1,1,Accrual Rates,"0, 1, 4","8, 4, 5",0,0,0,100,2,100,FALSE,FALSE,0
GADAR_Sim_41,TC_97,GADAR_Sim,1,1,Hazard Rates,Hazard Ratio,Null,Cum Perc Survival,1,0.02,0,0,1-Sided,0.93,Superiority,FALSE,0.9,"0.0, 0.3, 0.6","1, 2, 3","0.2, 0.3, 0.4","0.01, 0.02, 0.04, 0.06, 0.08","90, 89, 88, 87, 86","94.27049886, 93.68248533, 93.09155748, 92.49766753, 91.9007663",0,,TRUE,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8","8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9.0, 9.1, 9.2, 9.3, 9.4, 9.5",504,504,503,53.27368421,53.27368421,53.16842105,3,0.56,0,0,0,Log Hazard Ratio,Uniform,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,Sim_CreateCollection_01.json,2278,Total No. of Events,1,0,-1.959963986,0,0,Wilcoxon-Gehan,108,0,0,0,0,2,Prob of Dropout,"1, 3","0.3, 0.5","0.1, 0.2",TRUE,0,1,Cum Perc Survival,1,"1.1, 2.1, 3.8, 4.32, 5.0, 6.423",0,"96.59337779, 95.0, 90.0, 89.0, 83.0, 67.4375",0.45,1,1,Accrual Rates,"0, 1, 2, 3","99.0, 98.0, 97.656, 96.4343",0,0,0,200,2,10,FALSE,FALSE,0
GADAR_Sim_42,TC_98,GADAR_Sim,1,1,Hazard Rates,,Null,Cum Perc Survival,1.35,0.038,0,0,2-Sided,0.97,Superiority,FALSE,3.2,"0.0, 1.4","2.2, 2.4","3.2, 3.3",0.6,79.13618159,88.42636626,0,,TRUE,0,9.05,1572,1572,1571,173.7016575,173.7016575,173.5911602,3,0,0,0,0,ParamC,Beta,Percentiles of HR,0.05,0.06,0.8,0.4,Greater Equal,Less Equal,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Sim_CreateCollection_01.json,4598,Total No. of Events,1,2.43432,0,-2.074854736,2.074854736,Harrington-Fleming,190,0,0.9876675,0.45232,0,2,Hazard Rates,"0.0, 0.2, 0.4","0.94324, 0.783123, 0.67","0.76, 0.56, 0.45",FALSE,78.5435,1,Cum Perc Survival,1,10,0,45.232,0.060387752,1,1,Accrual Rates,0,10,0,0,0,300,2,10,FALSE,FALSE,0
GADAR_Sim_43,TC_99,GADAR_Sim,1,1,Prob of Dropout,Hazard Ratio,Null,Cum Perc Survival,1,0.0445,0,0,2-Sided,0.63,Superiority,FALSE,1.25,0.4,0.22,0.21,"0.02, 0.05","92.12, 90.45","92.13, 91.23",0,,TRUE,0,11.24,177,758,174,15.74733096,67.43772242,15.48042705,3,0.55,0,0,0,Hazard Ratio,Log Normal,Percentiles of HR,0.06,0.05,5,0.045,Greater Equal,Less Equal,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Sim_CreateCollection_01.json,890,Look Time,1,0,0,-2.009350273,2.009350273,Logrank,0,50,0,0,0,2,Hazard Rates,0,0.06,0.09,TRUE,0,1,Cum Perc Survival,1,12,0,75.3232,0.942168123,1,1,Cum. Accrual Perc,0,0,67.45,67.45,100,400,2,10,FALSE,FALSE,0
GADAR_Sim_44,TC_100,GADAR_Sim,1,1,Prob of Dropout,,Alternative,Cum Perc Survival,0.92,0,0.0123,0.0123,2-Sided (Asymmetric),0.95,Superiority,FALSE,1.52,"1, 2, 3, 4, 5","0.022, 0.024, 0.026, 0.028, 0.03","0.2, 0.3, 0.4, 0.5, 0.6",1,79.5,64.5,0,,TRUE,0,7.45,421,420,418,56.51006711,56.37583893,56.10738255,3,0,0,0,0,Log Hazard Ratio,Uniform,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.2,Sim_CreateCollection_01.json,1256,Look Time,1,10.4324,0,-2.247626758,2.247626758,Wilcoxon-Gehan,0,57.02478642,0,0,0,2,Prob of Dropout,"2.45, 4.67, 8.655, 10.244","0.1, 0.2, 0.3, 0.4","0.02, 0.04, 0.06, 0.08",FALSE,104.435,1,Cum Perc Survival,1,"2.5464, 13.0, 14.656","98.432, 97.12, 90.4567","89.322, 78.1234, 65.0985",0,1,1,Cum. Accrual Perc,0,0,56.37583893,"1.0, 2.435, 3.345, 56.37583893","20.43, 29.656, 31.6564, 100.0",500,2,100,FALSE,FALSE,0
GADAR_Sim_45,TC_101,GADAR_Sim,1,1,,Ratio of Perc Survivals,Alternative,Cum Perc Survival,0.99,0,0.0345,0.0123,2-Sided (Asymmetric),0.87,Superiority,TRUE,0,0,0,0,1,93.70674634,94.414347,0,,TRUE,"0.0, 0.4, 0.8, 1.2, 1.6, 2.0, 2.4","9.7, 9.5, 9.3, 9.1, 8.9, 8.7, 8.5",2431,2362,2293,285.8023529,277.6847059,269.5670588,3,0,0,1.00755123,0,ParamT,Beta,Beta Parameters (a and b),0,0,0,0,,,,,,,,,1,0.8,,,,,,,,,,,,,,,,,,,0,0,Sim_CreateCollection_01.json,540,Look Time,1,0,0,-1.818419764,1.818419764,Harrington-Fleming,0,102,0.2345,0.84578,0,2,Hazard Rates,"0.0, 0.8","0.43, 0.76","0.56, 0.89",TRUE,0,1,Cum Perc Survival,1,"12.445, 22.545, 36.6444, 42.5454","75.2131, 70.232, 65.3231, 10.2323","39.2342, 35.0, 30.1323, 10.4324",0,1,1,Cum. Accrual Perc,0,0,277.6847059,"0.78, 1.43, 2.567, 3.456, 277.684705882353","10.3454, 11.545, 12.5454, 18.6564, 100.0",70,2,10,FALSE,FALSE,0
GADAR_Sim_46,TC_102,GADAR_Sim,1,1,,Ratio of Perc Survivals,Alternative,Cum Perc Survival,0.99,0,0.0345,0.0123,2-Sided (Asymmetric),0.87,Superiority,TRUE,0,0,0,0,1,93.70674634,94.414347,0,,TRUE,"0.0, 0.4, 0.8, 1.2, 1.6, 2.0, 2.4","9.7, 9.5, 9.3, 9.1, 8.9, 8.7, 8.5",-999998,-999998,-999998,-999998,277.6847059,-999998,3,0,0,1.00755123,0,ParamT,Beta,Beta Parameters (a and b),0,0,0,0,,,,,,,,,1,0.8,,,,,,,,,,,,,,,,,,,0,0,Sim_CreateCollection_01.json,540,Look Time,1,0,0,-1.818419764,1.818419764,Harrington-Fleming,0,102,0.2345,0.84578,0,2,Hazard Rates,"0.0, 0.8","0.43, 0.76","0.56, 0.89",TRUE,0,1,Cum Perc Survival,1,"12.445, 22.545, 36.6444, 42.5454","75.2131, 70.232, 65.3231, 10.2323","39.2342, 35.0, 30.1323, 10.4324",0,1,1,Cum. Accrual Perc,0,0,277.6847059,"0.78, 1.43, 2.567, 3.456, 277.684705882353","10.3454, 11.545, 12.5454, 18.6564, 100.0",70,2,10,FALSE,FALSE,0
GADAR_Sim_47,TC_104,GADAR_Sim,1,1,,,Null,Median Survival Times,1,0.01,0,0,1-Sided,0.9,Superiority,TRUE,0,0,0,0,0,0.03466,0.01733,0,,TRUE,0,8,111,800,109,13.875,100,13.625,3,0,0,0,0,Log Hazard Ratio,Normal,E and SD of Param,0,0,0,0,,,,,,,,,,,,,,,,,1.2,0.1,,,,,,,,,,,0,0,Sim_CreateCollection_01.json,3019,Total No. of Events,1,1.98978,-1.959963986,0,0,Logrank,76,0,0,0,0,1,1,0,0,0,FALSE,13.8675,1,Median Survival Times,1,0,0,0.234,1.902439024,1,1,Accrual Rates,"0, 1, 4","8, 4, 5",0,0,0,100,2,10,FALSE,FALSE,0
GADAR_Sim_48,TC_105,GADAR_Sim,1,1,,,Alternative,Median Survival Times,1,0.1,0,0,1-Sided,0.67,Superiority,FALSE,0.5,0,0,0,0,20,35,0,,TRUE,"0.0, 0.02, 0.03","7.0, 8.2, 9.4",5875,5874,5874,625.006383,624.9,624.9,3,0,0,0,0,Hazard Ratio,Log Normal,E and SD of Param,0,0,0,0,,,,,,,,,,,,,,,,,2.161,1.649,,,,,,,,,,,0,0,Sim_CreateCollection_01.json,2278,Total No. of Events,1,0,-1.959963986,0,0,Wilcoxon-Gehan,108,0,0,0,0,2,Prob of Dropout,"1, 3","0.3, 0.5","0.1, 0.2",TRUE,0,1,Median Survival Times,1,0,0,20,0.571428571,1,1,Accrual Rates,"0, 1, 2, 3","99.0, 98.0, 97.656, 96.4343",0,0,0,200,2,10,FALSE,FALSE,0
GADAR_Sim_49,TC_106,GADAR_Sim,1,1,Hazard Rates,,Null,Median Survival Times,1.35,0.038,0,0,2-Sided,0.97,Superiority,TRUE,0,"0.0, 1.4, 2.4, 3.4, 4.4","0.5, 1.0, 1.5, 2.0, 2.5","1, 2, 3, 4, 5",0,0.234,0.123,0,,TRUE,0,9.05,210,183,155,23.20441989,20.22099448,17.12707182,3,0,0,0,0,ParamCAndT,Log Normal,E and SD of Param,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.161,1.649,2.234,1.72,0,0,Sim_CreateCollection_01.json,890,Look Time,1,0,0,-2.009350273,2.009350273,Logrank,0,50,0,0,0,2,Hazard Rates,0,0.06,0.09,TRUE,0,1,Median Survival Times,1,0,0,75.3232,612.3837398,1,1,Cum. Accrual Perc,0,0,67.45,67.45,100,400,2,10,FALSE,FALSE,0
