TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Expected H0,(Week),28.88,20260810T113029_20ba2f,,
Accrual and Study Duration,Expected H0,(Week),28.88,20260810T113029_20ba2f,,
Accrual and Study Duration,Expected H0,params,Expected H0,20260810T113029_20ba2f,,
Accrual and Study Duration,Expected H1,(Week),42.844,20260810T113029_20ba2f,,
Accrual and Study Duration,Expected H1,(Week),43.037,20260810T113029_20ba2f,,
Accrual and Study Duration,Expected H1,params,Expected H1,20260810T113029_20ba2f,,
Accrual and Study Duration,Maximum,(Week),56.5,20260810T113029_20ba2f,,
Accrual and Study Duration,Maximum,(Week),57.344,20260810T113029_20ba2f,,
Accrual and Study Duration,Maximum,params,Maximum,20260810T113029_20ba2f,,
Accrual and Study Duration,row_0,(Week),Accrual Duration (Week),20260810T113029_20ba2f,,
Accrual and Study Duration,row_0,(Week),Study Duration (Week),20260810T113029_20ba2f,,
Accrual and Study Duration,row_0,params,,20260810T113029_20ba2f,,
Design Summary #1,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260810T113029_20ba2f,,
Design Summary #1,Attained Type 1 Error (α),Value,0.023,20260810T113029_20ba2f,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260810T113029_20ba2f,,
Design Summary #1,Hypothesis,Value,Superiority,20260810T113029_20ba2f,,
Design Summary #1,Number of Interims,Parameter,Number of Interims,20260810T113029_20ba2f,,
Design Summary #1,Number of Interims,Value,3,20260810T113029_20ba2f,,
Design Summary #1,Power,Parameter,Power,20260810T113029_20ba2f,,
Design Summary #1,Power,Value,0.901,20260810T113029_20ba2f,,
Design Summary #1,Test Name,Parameter,Test Name,20260810T113029_20ba2f,,
Design Summary #1,Test Name,Value,Logrank Test Given Accrual Duration and Accrual Rates (Parallel Design),20260810T113029_20ba2f,,
Design Summary #1,Test Type,Parameter,Test Type,20260810T113029_20ba2f,,
Design Summary #1,Test Type,Value,1-Sided,20260810T113029_20ba2f,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260810T113029_20ba2f,,
Design Summary #1,Type 1 Error (α),Value,0.025,20260810T113029_20ba2f,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260810T113029_20ba2f,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1,20260810T113029_20ba2f,,
Design Summary #2,Dropout,Parameter,Dropout,20260810T113029_20ba2f,,
Design Summary #2,Dropout,Value,No,20260810T113029_20ba2f,,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260810T113029_20ba2f,,
Design Summary #2,Follow-up Time (Week),Value,10,20260810T113029_20ba2f,,
Design Summary #2,Hazard Rate (Control) (λc),Parameter,Hazard Rate (Control) (λc),20260810T113029_20ba2f,,
Design Summary #2,Hazard Rate (Control) (λc),Value,0.03466,20260810T113029_20ba2f,,
Design Summary #2,Hazard Rate (Treatment: Alternative) (λt),Parameter,Hazard Rate (Treatment: Alternative) (λt),20260810T113029_20ba2f,,
Design Summary #2,Hazard Rate (Treatment: Alternative) (λt),Value,0.01733,20260810T113029_20ba2f,,
Design Summary #2,HR = λt/λc,Parameter,HR = λt/λc,20260810T113029_20ba2f,,
Design Summary #2,HR = λt/λc,Value,,20260810T113029_20ba2f,,
Design Summary #2,Survival Input Method,Parameter,Survival Input Method,20260810T113029_20ba2f,,
Design Summary #2,Survival Input Method,Value,Hazard Rates,20260810T113029_20ba2f,,
Design Summary #2,Under H0,Parameter,Under H0,20260810T113029_20ba2f,,
Design Summary #2,Under H0,Value,1,20260810T113029_20ba2f,,
Design Summary #2,Under H1,Parameter,Under H1,20260810T113029_20ba2f,,
Design Summary #2,Under H1,Value,0.5,20260810T113029_20ba2f,,
Design Summary #2,Variance of Log Hazard Ratio,Parameter,Variance of Log Hazard Ratio,20260810T113029_20ba2f,,
Design Summary #2,Variance of Log Hazard Ratio,Value,Null,20260810T113029_20ba2f,,
Design Summary #2,δ = ln(HR),Parameter,δ = ln(HR),20260810T113029_20ba2f,,
Design Summary #2,δ = ln(HR),Value,-0.693,20260810T113029_20ba2f,,
Design Summary #3,Enrollment Rate (per Week),Parameter,Enrollment Rate (per Week),20260810T113029_20ba2f,,
Design Summary #3,Enrollment Rate (per Week),Value,8,20260810T113029_20ba2f,,
Design Summary #4,Efficacy Boundary,Parameter,Efficacy Boundary,20260810T113029_20ba2f,,
Design Summary #4,Efficacy Boundary,Value,Lan-DeMets (OF),20260810T113029_20ba2f,,
Design Summary #4,Futility Boundary,Parameter,Futility Boundary,20260810T113029_20ba2f,,
Design Summary #4,Futility Boundary,Value,HR (Non-Binding),20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis #,1,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis Spacing (%) Info,25.263,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Analysis Time (Week),14.954,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Efficacy,0,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Events (s),24,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Futility,0.079,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Pipeline (n-s),96,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",1,Sample Size (n),120,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Analysis #,2,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Analysis Spacing (%) Info,50.526,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Analysis Time (Week),25.196,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Efficacy,0.002,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Events (s),48,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Futility,0.55,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Pipeline (n-s),154,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",2,Sample Size (n),202,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Analysis #,3,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Analysis Spacing (%) Info,74.737,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Analysis Time (Week),35.011,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Efficacy,0.008,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Events (s),71,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Futility,0.276,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Pipeline (n-s),210,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",3,Sample Size (n),281,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Analysis #,4,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Analysis Spacing (%) Info,100,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Analysis Time (Week),45.253,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Efficacy,0.013,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Events (s),95,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Futility,0.072,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Pipeline (n-s),268,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H0)",4,Sample Size (n),363,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Analysis #,1,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Analysis Spacing (%) Info,25.263,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Analysis Time (Week),18.036,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Efficacy,0.005,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Events (s),24,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Futility,0.001,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Pipeline (n-s),121,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",1,Sample Size (n),145,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Analysis #,2,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Analysis Spacing (%) Info,50.526,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Analysis Time (Week),31.31,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Efficacy,0.289,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Events (s),48,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Futility,0.018,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Pipeline (n-s),203,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",2,Sample Size (n),251,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Analysis #,3,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Analysis Spacing (%) Info,74.737,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Analysis Time (Week),44.03,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Efficacy,0.42,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Events (s),71,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Futility,0.038,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Pipeline (n-s),282,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",3,Sample Size (n),353,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Analysis #,4,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Analysis Spacing (%) Info,100,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Analysis Time (Week),57.344,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Efficacy,0.187,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Events (s),95,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Futility,0.042,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Pipeline (n-s),357,20260810T113029_20ba2f,,
"Events, Sample Size, Pipeline and Analysis Times : Per Analysis (Under H1)",4,Sample Size (n),452,20260810T113029_20ba2f,,
Plan #1,Control Arm,Parameter,Control Arm,20260810T113029_20ba2f,,
Plan #1,Control Arm,Value,Control,20260810T113029_20ba2f,,
Plan #1,Phase,Parameter,Phase,20260810T113029_20ba2f,,
Plan #1,Phase,Value,3,20260810T113029_20ba2f,,
Plan #1,Study Objective,Parameter,Study Objective,20260810T113029_20ba2f,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260810T113029_20ba2f,,
Plan #1,Target Population,Parameter,Target Population,20260810T113029_20ba2f,,
Plan #1,Target Population,Value,Full Population,20260810T113029_20ba2f,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260810T113029_20ba2f,,
Plan #1,Treatment Arm,Value,Experimental,20260810T113029_20ba2f,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260810T113029_20ba2f,,
Plan #2,Endpoint Name,Value,Endpoint 1,20260810T113029_20ba2f,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260810T113029_20ba2f,,
Plan #2,Endpoint Type,Value,Time to Event,20260810T113029_20ba2f,,
Plan #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260810T113029_20ba2f,,
Plan #2,Follow-up Time (Week),Value,10,20260810T113029_20ba2f,,
Plan #2,Priority,Parameter,Priority,20260810T113029_20ba2f,,
Plan #2,Priority,Value,Primary,20260810T113029_20ba2f,,
Sample Size Information,Events (s),Control Arm,,20260810T113029_20ba2f,,
Sample Size Information,Events (s),Parameter,Events (s),20260810T113029_20ba2f,,
Sample Size Information,Events (s),Total,,20260810T113029_20ba2f,,
Sample Size Information,Events (s),Treatment Arm,,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Control Arm,115.519,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Control Arm,28.316,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Parameter,Expected H0,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Parameter,Expected H0,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Total,231.037,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Total,56.633,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Treatment Arm,115.519,20260810T113029_20ba2f,,
Sample Size Information,Expected H0,Treatment Arm,28.316,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Control Arm,171.374,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Control Arm,44.904,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Parameter,Expected H1,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Parameter,Expected H1,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Total,342.748,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Total,69.188,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Treatment Arm,171.374,20260810T113029_20ba2f,,
Sample Size Information,Expected H1,Treatment Arm,24.301,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Control Arm,225,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Control Arm,61,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Parameter,Maximum,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Parameter,Maximum,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Total,452,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Total,95,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Treatment Arm,227,20260810T113029_20ba2f,,
Sample Size Information,Maximum,Treatment Arm,34,20260810T113029_20ba2f,,
Sample Size Information,Maximum Information (I),Control Arm,,20260810T113029_20ba2f,,
Sample Size Information,Maximum Information (I),Parameter,Maximum Information (I),20260810T113029_20ba2f,,
Sample Size Information,Maximum Information (I),Total,23.75,20260810T113029_20ba2f,,
Sample Size Information,Maximum Information (I),Treatment Arm,,20260810T113029_20ba2f,,
Sample Size Information,Sample Size (n),Control Arm,,20260810T113029_20ba2f,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260810T113029_20ba2f,,
Sample Size Information,Sample Size (n),Total,,20260810T113029_20ba2f,,
Sample Size Information,Sample Size (n),Treatment Arm,,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),1,Analysis #,1,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),1,Analysis Spacing (%) Info,25.263,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),1,Cumulative α Spent,0,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),1,Cumulative β Spent,0.001,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),1,Efficacy Z,-4.308,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),1,Events (s),24,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),1,Futility HR,1.78,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),2,Analysis #,2,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),2,Analysis Spacing (%) Info,50.526,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),2,Cumulative α Spent,0.002,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),2,Cumulative β Spent,0.019,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),2,Efficacy Z,-2.946,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),2,Events (s),48,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),2,Futility HR,0.91,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),3,Analysis #,3,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),3,Analysis Spacing (%) Info,74.737,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),3,Cumulative α Spent,0.01,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),3,Cumulative β Spent,0.057,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),3,Efficacy Z,-2.365,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),3,Events (s),71,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),3,Futility HR,0.736,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),4,Analysis #,4,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),4,Analysis Spacing (%) Info,100,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),4,Cumulative α Spent,0.025,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),4,Cumulative β Spent,0.099,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),4,Efficacy Z,-2.014,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),4,Events (s),95,20260810T113029_20ba2f,,
Stopping Boundaries (Per Analysis),4,Futility HR,0.662,20260810T113029_20ba2f,,
