TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,futilityCheck,efficacyCheck,efficacyPValue,futilityPValue,futilityCP,futilityHR,cumAlphaSpent,cumBetaSpent
TC_17,ITER_01,0,45,check,uncheck,N/A,0.9215,N/A,N/A,N/A,N/A
TC_17,ITER_01,1,65,uncheck,check,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_01,2,80,check,check,N/A,0.885,N/A,N/A,N/A,N/A
TC_17,ITER_02,0,25,N/A,uncheck,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_02,1,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_02,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_03,0,30,uncheck,check,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_03,1,60,check,uncheck,0.0001,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_03,2,80,N/A,check,0.0002,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_03,3,N/A,N/A,N/A,0.0005,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_04,0,25,N/A,check,N/A,N/A,0.0788,N/A,0.01652,N/A
TC_17,ITER_04,1,50,check,N/A,N/A,N/A,0.0852,N/A,0.0225,N/A
TC_17,ITER_04,2,75,N/A,N/A,N/A,N/A,0.0888,N/A,0.03875,N/A
TC_17,ITER_05,0,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_05,1,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_05,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_06,0,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_07,0,25,N/A,check,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_07,1,50,check,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_07,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
