TC_ID,IterationID,PeriodIndex,hazardRateControl,hazardRateTrmt_Null_SS,hazardRateTrmt_Alt_SPSS,startingAtTime,byTime,cumPercSurvivalControl,medianSurvivalTimeControl,medianSurvivalTimeTrmt_Null_SS,medianSurvivalTimeTrmt_Alt_SPSS,cumPercSurvivalTrmt_Alt_SPSS,hazardRateTrmt_Null_NI,hazardRateTrmt_Alt_NI,medianSurvivalTimeTrmt_Null_NI,medianSurvivalTimeTrmt_Alt_NI,cumPercSurvivalTrmt_Null_NI,cumPercSurvivalTrmt_Alt_NI
TC_17,ITER_01,0,0.03466,N/A,0.01733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_02,0,N/A,N/A,N/A,N/A,1,95.856,N/A,N/A,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_02,1,N/A,N/A,N/A,N/A,2.2,92.6858,N/A,N/A,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_02,2,N/A,N/A,N/A,N/A,3.25,90.55,N/A,N/A,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_03,0,N/A,N/A,N/A,N/A,1.1,96.62563,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Computed,Computed
TC_17,ITER_03,1,N/A,N/A,N/A,N/A,2.2,94.635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_03,2,N/A,N/A,N/A,N/A,3.1,92.658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_04,0,N/A,N/A,N/A,N/A,N/A,N/A,19.9984,N/A,N/A,N/A,N/A,N/A,Computed,Computed,N/A,N/A
TC_17,ITER_05,0,N/A,N/A,N/A,N/A,1.5,95.856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_05,1,N/A,N/A,N/A,N/A,4.56,91.632,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_06,0,N/A,N/A,N/A,N/A,1,93.706746,N/A,N/A,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_07,0,0.03466,N/A,Computed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_07,1,0.03,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_17,ITER_07,2,0.025,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
