ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
txt_Project_Name,ProjectPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Study_Objective,ProjectPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Phase,ProjectPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Target_Population,ProjectPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
txt_Control_Arm,ProjectPage,css,#controlArm-0,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Arm,ProjectPage,css,#treatmentArm-0,,,FALSE,textbox from codegen,FALSE
obj_Priority,ProjectPage,label,Priority,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Endpoint_Name,ProjectPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
ddl_Endpoint_Type,ProjectPage,role,button,Time to Event,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Better_Response,ProjectPage,role,button,Longer Duration,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
chk_Variable,ProjectPage,role,checkbox,Variable,,FALSE,checkbox from codegen,FALSE
txt_Follow_up_Time_Month,ProjectPage,css,#followUpTime-0_0,,,FALSE,textbox from codegen,FALSE
btn_Create_Project,ProjectPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_collection_Name,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
btn_Design_Compute_or_simulate_a,DesignPage,role,button,Design Compute or simulate a,,FALSE,button from codegen,FALSE
ddl_react_select_input_container,ResultsPage,css,.react-select__input-container,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,ResultsPage,role,button,Continue,,FALSE,button from codegen,FALSE
ddl_Hypothesis,ResultsPage,css,#hypothesis,,,FALSE,native <select> from codegen,FALSE
ddl_Computed_Parameters,ResultsPage,css,#computedParameters,,,FALSE,native <select> from codegen,FALSE
txt_Number_of_Events,ResultsPage,css,#numberOfEvents,,,FALSE,textbox from codegen,FALSE
txt_Sample_Size,ResultsPage,css,#sampleSize,,,FALSE,textbox from codegen,FALSE
txt_Power,ResultsPage,css,#power,,,FALSE,textbox from codegen,FALSE
ddl_Test_Type,ResultsPage,css,#testtype,,,FALSE,native <select> from codegen,FALSE
txt_Type_1_Error,ResultsPage,css,#type1Error,,,FALSE,textbox from codegen,FALSE
txt_Allocation_Ratio_nt_nc,ResultsPage,css,#allocationRatio,,,FALSE,textbox from codegen,FALSE
ddl_testtype,ResultsPage,css,#testtype,,,FALSE,native <select> from codegen,FALSE
txt_Upper_Type_1_Error,ResultsPage,css,#upperType1Error,,,FALSE,textbox from codegen,FALSE
txt_Lower_Type_1_Error,ResultsPage,css,#lowerType1Error,,,FALSE,textbox from codegen,FALSE
ddl_Input_Method,ResultsPage,css,#inputMethod,,,FALSE,native <select> from codegen,FALSE
txt_input_Method_Table_0_median_Survival_Time_Control,ResultsPage,css,"[id=""inputMethodTable.0.medianSurvivalTimeControl""]",,,FALSE,textbox from codegen,FALSE
txt_input_Method_Table_0_median_Survival_Time_Trmt_Alt_SPSS,ResultsPage,css,"[id=""inputMethodTable.0.medianSurvivalTimeTrmt_Alt_SPSS""]",,,FALSE,textbox from codegen,FALSE
ddl_hazard_Ratio_Input_Method,ResultsPage,css,#hazardRatioInputMethod,,,FALSE,native <select> from codegen,FALSE
txt_Hazard_Ratio_Alternative,ResultsPage,css,#hazardRatio_Alt_SP,,,FALSE,textbox from codegen,FALSE
txt_ratio_Of_Medians_Alt_SP,ResultsPage,css,#ratioOfMedians_Alt_SP,,,FALSE,textbox from codegen,FALSE
txt_input_Method_Table_0_hazard_Rate_Control,ResultsPage,css,"[id=""inputMethodTable.0.hazardRateControl""]",,,FALSE,textbox from codegen,FALSE
txt_input_Method_Table_0_hazard_Rate_Trmt_Alt_SPSS,ResultsPage,css,"[id=""inputMethodTable.0.hazardRateTrmt_Alt_SPSS""]",,,FALSE,textbox from codegen,FALSE
btn_Add_Period,ResultsPage,role,button,Add Period,,FALSE,button from codegen,FALSE
txt_input_Method_Table_1_starting_At_Time,ResultsPage,css,"[id=""inputMethodTable.1.startingAtTime""]",,,FALSE,textbox from codegen,FALSE
txt_input_Method_Table_1_hazard_Rate_Control,ResultsPage,css,"[id=""inputMethodTable.1.hazardRateControl""]",,,FALSE,textbox from codegen,FALSE
txt_log_Hazard_Ratio_Null_SS,ResultsPage,css,#logHazardRatio_Null_SS,,,FALSE,textbox from codegen,FALSE
txt_log_Hazard_Ratio_Alt_SS,ResultsPage,css,#logHazardRatio_Alt_SS,,,FALSE,textbox from codegen,FALSE
txt_hazard_Ratio_Null_SS,ResultsPage,css,#hazardRatio_Null_SS,,,FALSE,textbox from codegen,FALSE
txt_hazard_Ratio_Alt_SS,ResultsPage,css,#hazardRatio_Alt_SS,,,FALSE,textbox from codegen,FALSE
txt_ratio_Of_Perc_Surv_Null_SS,ResultsPage,css,#ratioOfPercSurv_Null_SS,,,FALSE,textbox from codegen,FALSE
txt_ratio_Of_Perc_Surv_Alt_SS,ResultsPage,css,#ratioOfPercSurv_Alt_SS,,,FALSE,textbox from codegen,FALSE
txt_hazard_Ratio_Null_NI,ResultsPage,css,#hazardRatio_Null_NI,,,FALSE,textbox from codegen,FALSE
txt_hazard_Ratio_Alt_NI,ResultsPage,css,#hazardRatio_Alt_NI,,,FALSE,textbox from codegen,FALSE
txt_ratio_Of_Perc_Surv_Null_NI,ResultsPage,css,#ratioOfPercSurv_Null_NI,,,FALSE,textbox from codegen,FALSE
txt_ratio_Of_Perc_Surv_Alt_NI,ResultsPage,css,#ratioOfPercSurv_Alt_NI,,,FALSE,textbox from codegen,FALSE
