TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Expected H0,(Week),20.596,20260812T112154_72c719,,
Accrual and Study Duration,Expected H0,(Week),20.641,20260812T112154_72c719,,
Accrual and Study Duration,Expected H0,params,Expected H0,20260812T112154_72c719,,
Accrual and Study Duration,Expected H1,(Week),15.798,20260812T112154_72c719,,
Accrual and Study Duration,Expected H1,(Week),15.915,20260812T112154_72c719,,
Accrual and Study Duration,Expected H1,params,Expected H1,20260812T112154_72c719,,
Accrual and Study Duration,Maximum,(Week),24,20260812T112154_72c719,,
Accrual and Study Duration,Maximum,(Week),29.937,20260812T112154_72c719,,
Accrual and Study Duration,Maximum,params,Maximum,20260812T112154_72c719,,
Accrual and Study Duration,row_0,(Week),Accrual Duration (Week),20260812T112154_72c719,,
Accrual and Study Duration,row_0,(Week),Study Duration (Week),20260812T112154_72c719,,
Accrual and Study Duration,row_0,params,,20260812T112154_72c719,,
Design Summary #1,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260812T112154_72c719,,
Design Summary #1,Attained Type 1 Error (α),Value,0.035,20260812T112154_72c719,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260812T112154_72c719,,
Design Summary #1,Hypothesis,Value,Superiority,20260812T112154_72c719,,
Design Summary #1,Number of Interims,Parameter,Number of Interims,20260812T112154_72c719,,
Design Summary #1,Number of Interims,Value,3,20260812T112154_72c719,,
Design Summary #1,Power,Parameter,Power,20260812T112154_72c719,,
Design Summary #1,Power,Value,0.999,20260812T112154_72c719,,
Design Summary #1,Probability of Success,Parameter,Probability of Success,20260812T112154_72c719,,
Design Summary #1,Probability of Success,Value,1,20260812T112154_72c719,,
Design Summary #1,Test Name,Parameter,Test Name,20260812T112154_72c719,,
Design Summary #1,Test Name,Value,Logrank Test Given Accrual Duration and Study Duration (Parallel Design),20260812T112154_72c719,,
Design Summary #1,Test Type,Parameter,Test Type,20260812T112154_72c719,,
Design Summary #1,Test Type,Value,1-Sided,20260812T112154_72c719,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260812T112154_72c719,,
Design Summary #1,Type 1 Error (α),Value,0.035,20260812T112154_72c719,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260812T112154_72c719,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.21,20260812T112154_72c719,,
Design Summary #2,Dropout,Parameter,Dropout,20260812T112154_72c719,,
Design Summary #2,Dropout,Value,Yes,20260812T112154_72c719,,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260812T112154_72c719,,
Design Summary #2,Follow-up Time (Week),Value,12.5,20260812T112154_72c719,,
Design Summary #2,Hazard Rate (Control) (λc),Parameter,Hazard Rate (Control) (λc),20260812T112154_72c719,,
Design Summary #2,Hazard Rate (Control) (λc),Value,0.03466,20260812T112154_72c719,,
Design Summary #2,Hazard Rate (Treatment: Alternative) (λt),Parameter,Hazard Rate (Treatment: Alternative) (λt),20260812T112154_72c719,,
Design Summary #2,Hazard Rate (Treatment: Alternative) (λt),Value,0.01733,20260812T112154_72c719,,
Design Summary #2,HR = λt/λc,Parameter,HR = λt/λc,20260812T112154_72c719,,
Design Summary #2,HR = λt/λc,Value,,20260812T112154_72c719,,
Design Summary #2,Survival Input Method,Parameter,Survival Input Method,20260812T112154_72c719,,
Design Summary #2,Survival Input Method,Value,Hazard Rates,20260812T112154_72c719,,
Design Summary #2,Under H0,Parameter,Under H0,20260812T112154_72c719,,
Design Summary #2,Under H0,Value,1,20260812T112154_72c719,,
Design Summary #2,Under H1,Parameter,Under H1,20260812T112154_72c719,,
Design Summary #2,Under H1,Value,0.5,20260812T112154_72c719,,
Design Summary #2,Variance of Log Hazard Ratio,Parameter,Variance of Log Hazard Ratio,20260812T112154_72c719,,
Design Summary #2,Variance of Log Hazard Ratio,Value,Null,20260812T112154_72c719,,
Design Summary #2,δ = ln(HR),Parameter,δ = ln(HR),20260812T112154_72c719,,
Design Summary #2,δ = ln(HR),Value,-0.693,20260812T112154_72c719,,
Design Summary #3,Accrual Duration (Week),Parameter,Accrual Duration (Week),20260812T112154_72c719,,
Design Summary #3,Accrual Duration (Week),Value,24,20260812T112154_72c719,,
Design Summary #3,Maximum Study Duration (Week),Parameter,Maximum Study Duration (Week),20260812T112154_72c719,,
Design Summary #3,Maximum Study Duration (Week),Value,30,20260812T112154_72c719,,
Design Summary #4,a,Parameter,a,20260812T112154_72c719,,
Design Summary #4,a,Value,2.3215,20260812T112154_72c719,,
Design Summary #4,b,Parameter,b,20260812T112154_72c719,,
Design Summary #4,b,Value,1.4256,20260812T112154_72c719,,
Design Summary #4,Distribution,Parameter,Distribution,20260812T112154_72c719,,
Design Summary #4,Distribution,Value,Inverse Gamma (IG),20260812T112154_72c719,,
Design Summary #4,Input Method,Parameter,Input Method,20260812T112154_72c719,,
Design Summary #4,Input Method,Value,IG Parameters (a and b),20260812T112154_72c719,,
Design Summary #4,Prior Distribution for,Parameter,Prior Distribution for,20260812T112154_72c719,,
Design Summary #4,Prior Distribution for,Value,λc,20260812T112154_72c719,,
