TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Critical Points,Lower Critical Point,Parameter,Lower Critical Point,20260728T133312_0f210a,,
Critical Points,Lower Critical Point,Value,0,20260728T133312_0f210a,,
Critical Points,Upper Critical Point,Parameter,Upper Critical Point,20260728T133312_0f210a,,
Critical Points,Upper Critical Point,Value,0,20260728T133312_0f210a,,
Design Summary #1,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260728T133312_0f210a,,
Design Summary #1,Attained Type 1 Error (α),Value,1,20260728T133312_0f210a,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260728T133312_0f210a,,
Design Summary #1,Hypothesis,Value,Superiority,20260728T133312_0f210a,,
Design Summary #1,Power,Parameter,Power,20260728T133312_0f210a,,
Design Summary #1,Power,Value,0.89898,20260728T133312_0f210a,,
Design Summary #1,Test Name,Parameter,Test Name,20260728T133312_0f210a,,
Design Summary #1,Test Name,Value,Logrank Exponential Distribution (One Arm Design),20260728T133312_0f210a,,
Design Summary #1,Test Type,Parameter,Test Type,20260728T133312_0f210a,,
Design Summary #1,Test Type,Value,2-Sided,20260728T133312_0f210a,,
Design Summary #2,Hazard Ratio (HR = (m0 / m1)k),Parameter,Hazard Ratio (HR = (m0 / m1)k),20260728T133312_0f210a,,
Design Summary #2,Hazard Ratio (HR = (m0 / m1)k),Value,1.035,20260728T133312_0f210a,,
Design Summary #2,Input Method,Parameter,Input Method,20260728T133312_0f210a,,
Design Summary #2,Input Method,Value,Median Survival Times,20260728T133312_0f210a,,
Design Summary #2,Median Survival Time under Alternative (m1),Parameter,Median Survival Time under Alternative (m1),20260728T133312_0f210a,,
Design Summary #2,Median Survival Time under Alternative (m1),Value,2.899034,20260728T133312_0f210a,,
Design Summary #2,Median Survival Time under Null (m0),Parameter,Median Survival Time under Null (m0),20260728T133312_0f210a,,
Design Summary #2,Median Survival Time under Null (m0),Value,3,20260728T133312_0f210a,,
Design Summary #3,Accrual Duration (Year),Parameter,Accrual Duration (Year),20260728T133312_0f210a,,
Design Summary #3,Accrual Duration (Year),Value,39,20260728T133312_0f210a,,
Design Summary #3,Study Duration (Year),Parameter,Study Duration (Year),20260728T133312_0f210a,,
Design Summary #3,Study Duration (Year),Value,55,20260728T133312_0f210a,,
Plan #1,Phase,Parameter,Phase,20260728T133312_0f210a,,
Plan #1,Phase,Value,3,20260728T133312_0f210a,,
Plan #1,Study Objective,Parameter,Study Objective,20260728T133312_0f210a,,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260728T133312_0f210a,,
Plan #1,Target Population,Parameter,Target Population,20260728T133312_0f210a,,
Plan #1,Target Population,Value,Adult,20260728T133312_0f210a,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260728T133312_0f210a,,
Plan #1,Treatment Arm,Value,EXP,20260728T133312_0f210a,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260728T133312_0f210a,,
Plan #2,Endpoint Name,Value,EPT,20260728T133312_0f210a,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260728T133312_0f210a,,
Plan #2,Endpoint Type,Value,Time to Event,20260728T133312_0f210a,,
Plan #2,Priority,Parameter,Priority,20260728T133312_0f210a,,
Plan #2,Priority,Value,Primary,20260728T133312_0f210a,,
Sample Size Information,Events,Parameter,Events,20260728T133312_0f210a,,
Sample Size Information,Events,Value,102,20260728T133312_0f210a,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260728T133312_0f210a,,
Sample Size Information,Sample Size (n),Value,102,20260728T133312_0f210a,,
