TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Critical Points,Critical Point,Parameter,Critical Point,20260728T133312_0f210a,
Critical Points,Critical Point,Value,-1.812,20260728T133312_0f210a,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260728T133312_0f210a,
Design Summary #1,Hypothesis,Value,Superiority,20260728T133312_0f210a,
Design Summary #1,Power,Parameter,Power,20260728T133312_0f210a,
Design Summary #1,Power,Value,0,20260728T133312_0f210a,
Design Summary #1,Test Name,Parameter,Test Name,20260728T133312_0f210a,
Design Summary #1,Test Name,Value,Logrank Exponential Distribution (One Arm Design),20260728T133312_0f210a,
Design Summary #1,Test Type,Parameter,Test Type,20260728T133312_0f210a,
Design Summary #1,Test Type,Value,1-Sided,20260728T133312_0f210a,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260728T133312_0f210a,
Design Summary #1,Type 1 Error (α),Value,0.035,20260728T133312_0f210a,
Design Summary #2,By Time (t) (Year),Parameter,By Time (t) (Year),20260728T133312_0f210a,
Design Summary #2,By Time (t) (Year),Value,5,20260728T133312_0f210a,
Design Summary #2,Cumulative % Survival under Alternative (s1),Parameter,Cumulative % Survival under Alternative (s1),20260728T133312_0f210a,
Design Summary #2,Cumulative % Survival under Alternative (s1),Value,98.314368,20260728T133312_0f210a,
Design Summary #2,Cumulative % Survival under Null (s0),Parameter,Cumulative % Survival under Null (s0),20260728T133312_0f210a,
Design Summary #2,Cumulative % Survival under Null (s0),Value,96.560542,20260728T133312_0f210a,
Design Summary #2,Hazard Ratio (HR = log(S1 / 100) / log(S0 / 100)),Parameter,Hazard Ratio (HR = log(S1 / 100) / log(S0 / 100)),20260728T133312_0f210a,
Design Summary #2,Hazard Ratio (HR = log(S1 / 100) / log(S0 / 100)),Value,0.486,20260728T133312_0f210a,
Design Summary #2,Input Method,Parameter,Input Method,20260728T133312_0f210a,
Design Summary #2,Input Method,Value,Cumulative % Survival,20260728T133312_0f210a,
Design Summary #3,Accrual Duration (Year),Parameter,Accrual Duration (Year),20260728T133312_0f210a,
Design Summary #3,Accrual Duration (Year),Value,39,20260728T133312_0f210a,
Design Summary #3,Study Duration (Year),Parameter,Study Duration (Year),20260728T133312_0f210a,
Design Summary #3,Study Duration (Year),Value,55,20260728T133312_0f210a,
Plan #1,Phase,Parameter,Phase,20260728T133312_0f210a,
Plan #1,Phase,Value,3,20260728T133312_0f210a,
Plan #1,Study Objective,Parameter,Study Objective,20260728T133312_0f210a,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260728T133312_0f210a,
Plan #1,Target Population,Parameter,Target Population,20260728T133312_0f210a,
Plan #1,Target Population,Value,Adult,20260728T133312_0f210a,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260728T133312_0f210a,
Plan #1,Treatment Arm,Value,EXP,20260728T133312_0f210a,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260728T133312_0f210a,
Plan #2,Endpoint Name,Value,EPT,20260728T133312_0f210a,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260728T133312_0f210a,
Plan #2,Endpoint Type,Value,Time to Event,20260728T133312_0f210a,
Plan #2,Priority,Parameter,Priority,20260728T133312_0f210a,
Plan #2,Priority,Value,Primary,20260728T133312_0f210a,
Sample Size Information,Events,Parameter,Events,20260728T133312_0f210a,
Sample Size Information,Events,Value,3867,20260728T133312_0f210a,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260728T133312_0f210a,
Sample Size Information,Sample Size (n),Value,100,20260728T133312_0f210a,
