ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
btn_Password,ProjectsPage,role,button,New Project,,FALSE,button from codegen,FALSE
txt_Project_Name,ProjectsPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectsPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Study_Objective,ProjectsPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Phase,ProjectsPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Target_Population,ProjectsPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Arm,ProjectsPage,css,#treatmentArm-0,,,FALSE,textbox from codegen,FALSE
txt_Endpoint_Name,ProjectsPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
ddl_Endpoint_Type,ProjectsPage,role,button,Time to Event,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Better_Response,ProjectsPage,role,button,Longer Duration,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Create_Project,ProjectsPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectsPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_Name_Input_Set,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
btn_Select_Task,InputSetPage,role,button,Design Compute or simulate a,,FALSE,button from codegen,FALSE
ddl_Select_Test,InputSetPage,label,Select Test,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,InputSetPage,role,button,Continue,,FALSE,button from codegen,FALSE
opt_Computed_Parameter,DesignPage,role,radio,{0},,TRUE,choice from codegen (substring - recorded name may be truncated; set Exact=TRUE if it matches the wrong option),FALSE
txt_Power,ResultsPage,css,#power,,,FALSE,textbox from codegen,FALSE
ddl_Test_Type,ResultsPage,css,#testtype,,,FALSE,native <select> from codegen,FALSE
txt_Type_1_Error,ResultsPage,css,#type1Error,,,FALSE,textbox from codegen,FALSE
ddl_Input_Method,ResultsPage,css,#inputMethod,,,FALSE,native <select> from codegen,FALSE
ddl_input_Method,ResultsPage,css,#inputMethod,,,FALSE,native <select> from codegen,FALSE
txt_Hazard_Rate_under_Null_0,ResultsPage,css,#hazardRateNull,,,FALSE,textbox from codegen,FALSE
txt_Hazard_Rate_under_Alternative,ResultsPage,css,#hazardRateAlter,,,FALSE,textbox from codegen,FALSE
txt_Weibull_Shape_Parameter_k,ResultsPage,css,#weibullShapeParam,,,FALSE,textbox from codegen,FALSE
txt_Median_Survival_Time_under_Null_m0,ResultsPage,css,#medianSurvivalTimeNull,,,FALSE,textbox from codegen,FALSE
txt_Median_Survival_Time_under_Alternative_m1,ResultsPage,css,#medianSurvivalTimeAlter,,,FALSE,textbox from codegen,FALSE
txt_By_Time_t_Week,ResultsPage,css,#byTime,,,FALSE,textbox from codegen,FALSE
txt_Cumulative_Survival_under_Null_s0,ResultsPage,css,#cumulativeSurvivalNull,,,FALSE,textbox from codegen,FALSE
txt_Cumulative_Survival_under_Alternative_s1,ResultsPage,css,#cumulativeSurvivalAlter,,,FALSE,textbox from codegen,FALSE
opt_Power,ResultsPage,role,radio,{0},,TRUE,choice from codegen (substring - recorded name may be truncated; set Exact=TRUE if it matches the wrong option),FALSE
txt_Sample_Size_n,ResultsPage,css,#sampleSize,,,FALSE,textbox from codegen,FALSE
btn_Hypothesis_Select_Superiority_Computed_Parameter_Sample_Size_n_Power_Type_1,DesignPage,role,button,Save,,FALSE,button from codegen,TRUE
opt_Hypothesis_Select_Superiority_Computed_Parameter_Sample_Size_n_Power_Type_1,ResultsPage,role,radio,{0},,TRUE,choice from codegen (substring - recorded name may be truncated; set Exact=TRUE if it matches the wrong option),FALSE
ddl_testtype,ResultsPage,css,#testtype,,,FALSE,native <select> from codegen,FALSE
btn_Enrollment,ResultsPage,role,button,Enrollment,,FALSE,button from codegen,FALSE
txt_Accrual_Duration_Week,ResultsPage,css,#accrualDuration,,,FALSE,textbox from codegen,FALSE
txt_Study_Duration_Week,ResultsPage,css,#studyDuration,,,FALSE,textbox from codegen,FALSE
btn_Save,ResultsPage,role,button,Save,,FALSE,button from codegen,TRUE
btn_Save_Compute,DesignPage,role,button,Save & Compute,,FALSE,button from codegen,FALSE
txt_ResultName,ResultsPage,css,#inputId,,,FALSE,textbox from codegen,FALSE
txt_credit_alert_primary,ResultsPage,css,#credit-alert-primary,,,FALSE,textbox from codegen,FALSE
lnk_ResultName,ResultsPage,role,link,{0},,TRUE,result link from codegen,FALSE
lbl_RunStatus,ResultsPage,css,div[role=gridcell][col-id=simStatus],,,FALSE,Run status cell. VERIFY col-id against your app and adjust,FALSE
radio_Power,ResultsPage,role,radio,Power,,FALSE,radio button from codegen,FALSE
radio_Type_1_Error,ResultsPage,role,radio,Type 1 Error (α),,FALSE,radio button from codegen,FALSE
radio_Hazard_Ratio_HR,ResultsPage,role,radio,Hazard Ratio (HR),,FALSE,radio button from codegen,FALSE
opt_Hazard_Ratio_HR,ResultsPage,role,radio,{0},,TRUE,choice from codegen (substring - recorded name may be truncated; set Exact=TRUE if it matches the wrong option),FALSE
