ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
txt_project_Name,ProjectPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_MM_dd_yyyy,ProjectPage,role,textbox,MM/dd/yyyy,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Study_Objective,ProjectPage,role,button,Select,,FALSE,button from codegen,FALSE
opt_Study_Objective,ProjectPage,role,link,{0},,TRUE,choice from codegen,TRUE
ddl_Phase,ProjectPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_population_Name_0,ProjectPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
txt_treatment_Arm_0,ProjectPage,css,#treatmentArm-0,,,FALSE,textbox from codegen,FALSE
txt_endpoint_Name_0,ProjectPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
btn_Endpoint_Type,ProjectPage,role,button,Time to Event,,FALSE,button from codegen,FALSE
opt_Endpoint_Type,ProjectPage,role,link,{0},,TRUE,choice from codegen,TRUE
btn_Better_Response,ProjectPage,role,button,Larger Value,,FALSE,button from codegen,FALSE
opt_Better_Response,ProjectPage,role,link,{0},,TRUE,choice from codegen,TRUE
btn_Create_Project,ProjectPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_collection_Name,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
btn_Design_Compute_or_simulate_a,DesignPage,role,button,Design Compute or simulate a,,FALSE,button from codegen,FALSE
ddl_Select_Test,ResultsPage,label,Select Test,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Mean_of_Paired_Ratios,ResultsPage,role,button,Continue,,FALSE,button from codegen,FALSE
opt_Computed_Parameter,ResultsPage,role,radio,{0},,TRUE,choice from codegen (substring - recorded name may be truncated; set Exact=TRUE if it matches the wrong option),FALSE
txt_power,ResultsPage,css,#power,,,FALSE,textbox from codegen,FALSE
txt_type1Error,ResultsPage,css,#type1Error,,,FALSE,textbox for Type 1 Error (recording mislabeled it as Test Type),FALSE
txt_mean_Control,ResultsPage,css,#meanControl,,,FALSE,textbox for Mean Control (codegen mislabeled it txt_Input_Method from a stray label),FALSE
txt_mean_Treatment,ResultsPage,css,#meanTreatment,,,FALSE,textbox from codegen,FALSE
txt_Test_Statistic,ResultsPage,css,#standardDeviation,,,FALSE,textbox from codegen,FALSE
btn_Save,ResultsPage,role,button,Save,,FALSE,button from codegen,TRUE
btn_Save_Compute,ResultsPage,role,button,Save & Compute,,FALSE,button from codegen,FALSE
txt_credit_alert_primary,ResultsPage,css,#credit-alert-primary,,,FALSE,textbox from codegen,FALSE
lbl_RunStatus,ResultsPage,css,div[role=gridcell][col-id=simStatus],,,FALSE,Run status cell. VERIFY col-id against your app and adjust,FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
ddl_Study_Objective,ProjectPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Endpoint_Type,ProjectPage,role,button,Time to Event,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Better_Response,ProjectPage,role,button,Larger Value,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,ResultsPage,role,button,Continue,,FALSE,button from codegen,FALSE
ddl_Hypothesis,ResultsPage,css,#hypothesis,,,FALSE,native <select> from codegen,FALSE
txt_sample_Size,ResultsPage,css,#sampleSize,,,FALSE,textbox from codegen,FALSE
txt_Power,ResultsPage,css,#power,,,FALSE,textbox for Power (added manually; recording captured Power as the computed field),FALSE
ddl_Test_Type,ResultsPage,css,#testtype,,,FALSE,native <select> for Test Type (added manually; recording only clicked the label),FALSE
ddl_Input_Method,ResultsPage,css,#inputMethod,,,FALSE,native <select> from codegen,FALSE
txt_non_Inf_margin,ResultsPage,css,#nonInf_margin,,,FALSE,textbox from codegen,FALSE
txt_ratio_Of_Means_NI,ResultsPage,css,#ratioOfMeans_NI,,,FALSE,textbox from codegen,FALSE
txt_ratio_Of_Means_SP,ResultsPage,css,#ratioOfMeans_SP,,,FALSE,textbox for Superiority ratio (added manually; NI variant is #ratioOfMeans_NI),FALSE
ddl_Test_Statistic,ResultsPage,css,#testStatistic,,,FALSE,native <select> from codegen,FALSE
txt_standard_Deviation,ResultsPage,css,#standardDeviation,,,FALSE,textbox from codegen,FALSE
txt_ResultName,ResultsPage,css,#inputId,,,FALSE,textbox from codegen,FALSE
lnk_ResultName,ResultsPage,role,link,{0},,TRUE,result link from codegen,FALSE
