TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Critical Points,Critical Point,Parameter,Critical Point,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Critical Points,Critical Point,Value,-2.268,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,Model,name,Model,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,Model,Parameter,Mean Treatment (μt),20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,Model,Value,3.2,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_1,name,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_1,Parameter,Input Method,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_1,Value,Individual Means,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_3,name,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_3,Parameter,Mean Control (μc),20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_3,Value,2.2,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_4,name,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_4,Parameter,ρ = μt / μc,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_4,Value,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_5,name,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_5,Parameter,Under H0,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_5,Value,2.2,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_6,name,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_6,Parameter,Under H1,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_6,Value,1.455,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_7,name,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_7,Parameter,Noninferiority Margin (ρ0),20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_7,Value,2.2,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_8,name,,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_8,Parameter,Standard Deviation of Log Ratio,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,row_8,Value,1.256,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,Test,name,Test,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,Test,Parameter,Test Statistic,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #1,Test,Value,t,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #2,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #2,Attained Type 1 Error (α),Value,0.013,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #2,Hypothesis,Parameter,Hypothesis,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #2,Hypothesis,Value,Noninferiority,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
Design Summary #2,Power,Parameter,Power,20260721T175044_d1ca22,2026-07-21T17:50:44.584+05:30,
