TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Critical Points,Critical Point,Parameter,Critical Point,20260721T234816_fe2fc8,
Critical Points,Critical Point,Value,-1.567,20260721T234816_fe2fc8,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260721T234816_fe2fc8,
Design Summary #1,Hypothesis,Value,Noninferiority,20260721T234816_fe2fc8,
Design Summary #1,Power,Parameter,Power,20260721T234816_fe2fc8,
Design Summary #1,Power,Value,1,20260721T234816_fe2fc8,
Design Summary #1,Test Name,Parameter,Test Name,20260721T234816_fe2fc8,
Design Summary #1,Test Name,Value,Mean of Paired Ratios (Paired Design),20260721T234816_fe2fc8,
Design Summary #1,Test Type,Parameter,Test Type,20260721T234816_fe2fc8,
Design Summary #1,Test Type,Value,1-Sided,20260721T234816_fe2fc8,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260721T234816_fe2fc8,
Design Summary #1,Type 1 Error (α),Value,0.0585,20260721T234816_fe2fc8,
Design Summary #2,Input Method,Parameter,Input Method,20260721T234816_fe2fc8,
Design Summary #2,Input Method,Value,Ratio of Means,20260721T234816_fe2fc8,
Design Summary #2,Noninferiority Margin (ρ0),Parameter,Noninferiority Margin (ρ0),20260721T234816_fe2fc8,
Design Summary #2,Noninferiority Margin (ρ0),Value,2.25,20260721T234816_fe2fc8,
Design Summary #2,Standard Deviation of Log Ratio,Parameter,Standard Deviation of Log Ratio,20260721T234816_fe2fc8,
Design Summary #2,Standard Deviation of Log Ratio,Value,1.35,20260721T234816_fe2fc8,
Design Summary #2,Test Statistic,Parameter,Test Statistic,20260721T234816_fe2fc8,
Design Summary #2,Test Statistic,Value,Z,20260721T234816_fe2fc8,
Design Summary #2,Under H0,Parameter,Under H0,20260721T234816_fe2fc8,
Design Summary #2,Under H0,Value,2.25,20260721T234816_fe2fc8,
Design Summary #2,Under H1,Parameter,Under H1,20260721T234816_fe2fc8,
Design Summary #2,Under H1,Value,1.235,20260721T234816_fe2fc8,
Design Summary #2,ρ = μt / μc,Parameter,ρ = μt / μc,20260721T234816_fe2fc8,
Design Summary #2,ρ = μt / μc,Value,,20260721T234816_fe2fc8,
Plan #1,Phase,Parameter,Phase,20260721T234816_fe2fc8,
Plan #1,Phase,Value,2,20260721T234816_fe2fc8,
Plan #1,Study Objective,Parameter,Study Objective,20260721T234816_fe2fc8,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260721T234816_fe2fc8,
Plan #1,Target Population,Parameter,Target Population,20260721T234816_fe2fc8,
Plan #1,Target Population,Value,Adult,20260721T234816_fe2fc8,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260721T234816_fe2fc8,
Plan #1,Treatment Arm,Value,EXP,20260721T234816_fe2fc8,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260721T234816_fe2fc8,
Plan #2,Endpoint Name,Value,EPC,20260721T234816_fe2fc8,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260721T234816_fe2fc8,
Plan #2,Endpoint Type,Value,Continuous,20260721T234816_fe2fc8,
Plan #2,Priority,Parameter,Priority,20260721T234816_fe2fc8,
Plan #2,Priority,Value,Primary,20260721T234816_fe2fc8,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260721T234816_fe2fc8,
Sample Size Information,Sample Size (n),Value,150,20260721T234816_fe2fc8,
Summary,Narrative,Text,The study will have 99.995% power to establish Noninferiority of the treatment group to the control group given a sample size of 150 pairs. This test is based on a 1-Sided ratio of means Z test for paired continuous response data with significance level 0.0585. The ratio of means between treatment and control groups under the alternative hypothesis is 1.235. This test assumes the Noninferiority margin of 2.25 and the standard deviation of the log ratio equal to 1.35.,20260721T234816_fe2fc8,
