TC_ID,IterationID,hypothesis,allocationRatio,Computed Parameter,sampleSize,power,testtype,type1Error,upperType1Error,lowerType1Error,proportionUnderControl_SP,proportionUnderTreatment_SP_AH,oddsRatioOfProportions_SP,proportionUnderControl_SS,proportionUnderTreatment_SS_NH,superSuperiorityMargin,proportionUnderTreatment_SS_AH,oddsRatioOfProportions_SS,proportionUnderControl_NI,proportionUnderTreatment_NI_NH,nonInferiorityMargin,proportionUnderTreatment_NI_AH,oddsRatioOfProportions_NI,includeExactComputation,followUpTime,probabilityOfDropout,includeAssurance,priorDistributionFor,distributionMethod,assuranceInputMethod,minPiC,maxPiC,pi_c_a,pi_c_b,percPiC1stOperator,percPiC1stPercentileVal,percPiC1stPercentileProb,percPiC2ndOperator,percPiC2ndPercentileVal,percPiC2ndPercentileProb,percPiCPsi1stOperator,percPiCPsi1stPercentileVal,percPiCPsi1stPercentileProb,percPiCPsi2ndOperator,percPiCPsi2ndPercentileVal,percPiCPsi2ndPercentileProb,minPiT,maxPiT,pi_t_a,pi_t_b,percPiT1stOperator,percPiT1stPercentileVal,percPiT1stPercentileProb,percPiT2ndOperator,percPiT2ndPercentileVal,percPiT2ndPercentileProb,percPiTPsi1stOperator,percPiTPsi1stPercentileVal,percPiTPsi1stPercentileProb,percPiTPsi2ndOperator,percPiTPsi2ndPercentileVal,percPiTPsi2ndPercentileProb,effBoundaryFam,effSpendFunc,effParam,effParamRho,effParamGamma,fix,shapeParamDelta,asymEffBoundaryFam,upperSpendFunc,upperParam,upperParamRho,upperParamGamma,lowerSpendFunc,lowerParam,lowerParamRho,lowerParamGamma,futBoundaryFam,futSpendFunc,futParam,futBoundary,futParamRho,futParamGamma,computeCP,shapeParamDeltaTwo,boundaryScale,IncludeEnrollment,enrollmentTable.0.avgSubjectsEnrolled,ResultName
TC_23,ITER_01,Superiority,1.23,Sample Size,Computed,0.923,2-Sided,0.0562,,,0.568,Computed,0.3545,,,,,,,,,,,,6.85,0.04996,TRUE,1,Beta,2,,,,,1,0.0856,0.111,2,0.9165,0.115,,,,,,,,,,,,,,,,,,,,,,,Spending Functions,Lan-DeMets,2,,,,,,,,,,,,,,Spending Functions,Rho Family,,2,4.55,,,,2,check,10.5,Result - Set1
TC_23,ITER_02,Superiority,1.355,Power,550,Computed,2-Sided (Asymmetric),,0.03256,0.02588,0.4123,Computed,0.4444,,,,,,,,,,,,5.89,0.0777,TRUE,2,Uniform,,,,,,,,,,,,,,,,,,0.123,0.7564,,,,,,,,,,,,,,,,,,,,,,Spending Functions,Interpolated,,,,Interpolated,,,,,,,,,,,,4,check,16.88,Result - Set2
TC_23,ITER_03,Noninferiority,1.2,Type 1 Error,480,0.8856,,Computed,,,,,,,,,,,0.652,Computed,0.222,Computed,1.222,,6.885,0.1132,TRUE,3,Beta,5,,,,,1,0.06856,0.123,2,0.8888,0.1333,,,,,,,,,,,1,0.08888,0.132,2,0.93215,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,6.7788,Result - Set3
TC_23,ITER_04,Noninferiority,1.222,Power,465,Computed,,0.092,,,,,,,,,,,0.7775,Computed,0.21163,Computed,0.3256,,0,,TRUE,1,Beta,3,,,,,,,,,,,1,0.3562,0.06856,2,0.8658,0.112,,,,,,,,,,,,,,,,,Spending Functions,Rho Family,,5.56,,,,,,,,,,,,,Spending Functions,Gamma Family,,1,,-6.321,,,6,check,12,Result - Set4
TC_23,ITER_05,Superiority,0.99,Sample Size,Computed,0.72,1-Sided,0.07564,,,0.4456,Computed,3.6586,,,,,,,,,,,,10.658,0.12333,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,,1,,,,,,,,,,,Conditional Power,,,,,,1,,,check,9.9998,Result - Set5
TC_23,ITER_06,Noninferiority,1.3652,Power,777,Computed,,0.08321,,,,,,,,,,,0.5556,Computed,4.235,Computed,1.365238,,8.8885,0.22215,TRUE,3,Uniform,,0.16355,0.8888,,,,,,,,,,,,,,,0.1111,0.796541,,,,,,,,,,,,,,,Wang-Tsiatis,,,,,,0.215,,,,,,,,,,Pampallona-Tsiatis,,,2,,,,0.321,5,check,11.111,Result - Set6
TC_23,ITER_07,Super Superiority,1.222,Sample Size,Computed,0.92385,1-Sided,0.09559,,,,,,0.3215,Computed,2.32156,Computed,3.32568,,,,,,,8.656,0.0896,TRUE,3,Beta,1,,,1.111,2.111,,,,,,,,,,,,,,,1.3214,2.333,,,,,,,,,,,,,Spending Functions,Gamma Family,,,-5.2365,,,,,,,,,,,,p-value,,,,,,,,3,check,14.85,Result - Set7
TC_23,ITER_08,Superiority,1.2,Type 1 Error,480,0.8658,2-Sided,Computed,,,0.2564,Computed,2.2222,,,,,,,,,,,,11.88,0.1685,TRUE,3,Uniform,,0.14456,0.888,,,,,,,,,,,,,,,0.2265,0.88899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,20,Result - Set8
TC_23,ITER_09,Super Superiority,2.22,Sample Size,Computed,0.8999,1-Sided,0.04485,,,,,,0.2265,Computed,1.65895,Computed,2.8888,,,,,,,2.3256,0.03333,TRUE,2,Beta,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.422,0.0856,2,0.6585,0.1125,Spending Functions,Interpolated,,,,,,,,,,,,,,,5,,,,,,,,1,check,12.222,Result - Set9
TC_23,ITER_10,Superiority,2.1112,Power,625,Computed,2-Sided,0.05523,,,0.333,Computed,1.99856,,,,,,,,,,,,8.995,0.1111,TRUE,1,Beta,1,,,1.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,,2,,,,,,,,,,,,,,,,,,,,check,15,Result - Set10
