TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,efficacyCheck,futilityCheck,cumAlphaSpent,efficacyBoundaryUpper,efficacyBoundaryLower,cumBetaSpent,efficacyPValue,futilityPValue,futilityPsi,futilityCP,upperAlpha,lowerAlpha,futilityBoundaryUpper,futilityBoundaryLower
TC_23,ITER_01,0,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_01,1,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_01,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_02,0,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02156,0.0185,N/A,N/A
TC_23,ITER_02,1,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02222,0.021111,N/A,N/A
TC_23,ITER_04,0,30,uncheck,check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_04,1,55,check,uncheck,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_04,2,65,check,check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_04,3,80,,check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_05,0,30,uncheck,check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.333,N/A,N/A,N/A,N/A
TC_23,ITER_05,1,65,check,uncheck,N/A,N/A,N/A,N/A,0.00025,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_05,2,85,N/A,check,N/A,N/A,N/A,N/A,0.000523,N/A,N/A,0.4522,N/A,N/A,N/A,N/A
TC_23,ITER_06,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_06,1,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_07,0,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9155,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_09,0,35,N/A,N/A,0.01856,N/A,N/A,N/A,N/A,N/A,0.0021,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_09,1,70,N/A,N/A,0.02856,N/A,N/A,N/A,N/A,N/A,0.0066,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,0,30,N/A,N/A,N/A,N/A,N/A,N/A,0.0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,1,40,N/A,N/A,N/A,N/A,N/A,N/A,0.0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,2,50,N/A,N/A,N/A,N/A,N/A,N/A,0.0003,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,3,60,N/A,N/A,N/A,N/A,N/A,N/A,0.0004,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,4,70,N/A,N/A,N/A,N/A,N/A,N/A,0.0005,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,5,80,N/A,N/A,N/A,N/A,N/A,N/A,0.0006,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,6,90,N/A,N/A,N/A,N/A,N/A,N/A,0.0007,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_10,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0008,N/A,N/A,N/A,N/A,N/A,N/A,N/A
