Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,DynamicArgs
1,10,Login,-,callReusable,,flows/login.csv,,,,,300000,FALSE,0,always,,"Log in via the shared login flow. Recorded identity-provider steps are intentionally not imported - login is shared, not per-feature",
2,20,OpenProject,ProjectsPage,navigate,,/landingpage/projects,,,,domcontentloaded,60000,FALSE,0,always,,Navigate to app page,
3,30,OpenProject,ProjectsPage,waitForSelector,btn_New_Project,,,,,visible,220000,FALSE,0,always,,Wait for the landing page to finish loading. Polls instead of sleeping; the app cold-starts slowly and never goes network-idle,
4,40,CreateProject,ProjectsPage,click,btn_New_Project,,,,,,10000,FALSE,0,never,,click New Project,
5,50,ConfigureDesign,ProjectPage,fill,txt_Project_Name,${data.project.ProjectName}_${runId}_${iterationId},,,,,10000,FALSE,0,never,,fill Project Name (made unique per run with runId),
6,60,ConfigureDesign,ProjectPage,select,ddl_Time_Unit,${data.project.TimeUnit},,,,,15000,FALSE,0,always,,Select Time Unit. select opens the menu and commits the option itself - works for native and custom dropdowns,
7,70,ConfigureDesign,ProjectPage,callCustom,,selectStartDate,,,,,15000,FALSE,0,always,,Pick the Start Date in the calendar (shared selectStartDate). REVIEW the Start Date value in testdata - dates cannot be inferred reliably from a recording,
8,80,ConfigureDesign,ProjectPage,select,ddl_Study_Objective,${data.project.StudyObjective},,,,,15000,FALSE,0,always,,Select Study Objective. select opens the menu and commits the option itself - works for native and custom dropdowns,
9,90,ConfigureDesign,ProjectPage,select,ddl_Phase,${data.project.Phase},,,,,15000,FALSE,0,always,,Select Phase. select opens the menu and commits the option itself - works for native and custom dropdowns,
10,100,ConfigureDesign,ProjectPage,fill,txt_Target_Population,${data.project.TargetPopulation},,,,,10000,FALSE,0,never,,fill Target Population,
11,110,ConfigureDesign,ProjectPage,fill,txt_Control_Arm,${data.project.Control Arm},,,,,10000,FALSE,0,never,,fill Control Arm,
12,120,ConfigureDesign,ProjectPage,fill,txt_Treatment_Arm,${data.project.TreatmentArm},,,,,10000,FALSE,0,never,,fill Treatment Arm,
13,130,ConfigureDesign,ProjectPage,assertValue,obj_Priority,,,,${data.project.Priority},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in project.csv; fix the selector and flip Optional=FALSE to enforce, or change the action",
14,140,ConfigureDesign,ProjectPage,fill,txt_Endpoint_Name,${data.project.EndpointName},,,,,10000,FALSE,0,never,,fill Endpoint Name,
15,150,ConfigureDesign,ProjectPage,select,ddl_Endpoint_Type,${data.project.EndpointType},,,,,15000,FALSE,0,always,,Select Endpoint Type. select opens the menu and commits the option itself - works for native and custom dropdowns,
16,160,ConfigureDesign,ProjectPage,select,ddl_Better_Response,${data.project.BetterResponse},,,,,15000,FALSE,0,always,,Select Better Response. select opens the menu and commits the option itself - works for native and custom dropdowns,
17,170,ConfigureDesign,ProjectPage,fill,txt_Follow_up_Time_Day,${data.design.followUpTime},,,,,10000,FALSE,0,never,,fill Follow-up Time,
18,180,ConfigureDesign,ProjectPage,click,btn_Create_Project,,,,,,10000,FALSE,0,never,,click Create Project,
19,190,ConfigureDesign,ProjectPage,click,btn_Inputs,,,,,,10000,FALSE,0,never,,click Inputs,
20,200,CreateInputSet,InputSetPage,click,btn_New_Input_Set,,,,,,10000,FALSE,0,never,,click New Input Set,
