Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,DynamicArgs
1,10,Simulate,DesignPage,click,btn_Simulate,,,,,,10000,FALSE,0,never,,click Simulate,
2,20,ConfigureDesign,Page,fill,txt_ResultName,${data.simulation.CreateInputSet},,,,,10000,FALSE,0,never,,fill Simulation Input set name,
3,30,ConfigureDesign,Page,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit-alert-primary,
4,40,ConfigureDesign,Page,click,txt_left_Panel_designs,,,,,,10000,FALSE,0,never,,click leftPanel.designs,
4.5,45,ConfigureDesign,Page,callCustom,,loadResponseTabIntoModel,,,,,15000,FALSE,0,always,,"Go to Response tab then back to Design before Recalculate (S2 prior-too-extreme fix; mirrors ROP(PD)/DOP(PD)) - custom/OROP(PD)/customSteps.ts",
5,50,ConfigureDesign,Page,fill,txt_Sample_Size_n,${data.simulation.sampleSize},,,,,10000,FALSE,0,never,,fill Sample Size,
6,60,ConfigureDesign,Page,select,ddl_Randomization_Method,${data.simulation.randomizationMethodSelect},,,,,10000,FALSE,0,always,,Select Randomization Method. Native <select> - select matches by visible label first,
7,70,ConfigureDesign,Page,fill,txt_Allocation_Ratio_nt_nc,${data.simulation.allocationRatio},,,,,10000,FALSE,0,never,,fill Allocation Ratio,
8,80,ConfigureDesign,Page,fill,txt_Critical_Point,${data.simulation.criticalPoint},,,,,10000,FALSE,0,never,,fill Critical Point,
9,90,ConfigureDesign,Page,fill,txt_Noninferiority_Margin_0,${data.simulation.nonInferiorityMargin},,,,,10000,FALSE,0,never,,fill Noninferiority Margin,
10,100,ConfigureDesign,Page,fill,txt_super_Superiority_Margin,${data.simulation.superSuperiorityMargin},,,,,10000,FALSE,0,never,,fill superSuperiorityMargin,
11,110,ConfigureDesign,Page,fill,txt_upper_Critical_Point,${data.simulation.upperCriticalPoint},,,,,10000,FALSE,0,never,,fill upperCriticalPoint,
12,120,ConfigureDesign,Page,fill,txt_boundary_Sim_0_analysis_Spacing_Info,${data.simulation.boundarySim.0.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill boundarySim.0.analysisSpacingInfo,
13,130,ConfigureDesign,Page,fill,txt_boundary_Sim_1_analysis_Spacing_Info,${data.simulation.boundarySim.1.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill boundarySim.1.analysisSpacingInfo,
13.1,135,ConfigureDesign,Page,fill,txt_boundary_Sim_2_analysis_Spacing_Info,${data.simulation.boundarySim.2.analysisSpacingInfo},,,,,10000,FALSE,0,never,,"table-completeness: fill boundarySim.2.analysisSpacingInfo (auto-skips N/A, no Add-Period needed - sim boundary inherits the design's period rows)",
14,140,ConfigureDesign,Page,fill,txt_boundary_Sim_0_efficacy_ZUpper,${data.simulation.boundarySim.0.efficacyZUpper},,,,,10000,FALSE,0,never,,fill boundarySim.0.efficacyZUpper,
14.1,145,ConfigureDesign,Page,fill,txt_boundary_Sim_1_efficacy_ZUpper,${data.simulation.boundarySim.1.efficacyZUpper},,,,,10000,FALSE,0,never,,table-completeness: fill boundarySim.1.efficacyZUpper (auto-skips N/A),
15,150,ConfigureDesign,Page,fill,txt_boundary_Sim_0_efficacy_ZLower,${data.simulation.boundarySim.0.efficacyZLower},,,,,10000,FALSE,0,never,,fill boundarySim.0.efficacyZLower,
16,160,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_ZUpper,${data.simulation.boundarySim.0.futilityZUpper},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityZUpper,
16.1,165,ConfigureDesign,Page,fill,txt_boundary_Sim_1_futility_ZUpper,${data.simulation.boundarySim.1.futilityZUpper},,,,,10000,FALSE,0,never,,table-completeness: fill boundarySim.1.futilityZUpper (auto-skips N/A),
17,170,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_ZLower,${data.simulation.boundarySim.0.futilityZLower},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityZLower,
18,180,ConfigureDesign,Page,fill,txt_boundary_Sim_0_cum_Alpha_Spent_Upper,${data.simulation.boundarySim.0.cumAlphaSpentUpper},,,,,10000,FALSE,0,never,,fill boundarySim.0.cumAlphaSpentUpper,
18.1,185,ConfigureDesign,Page,fill,txt_boundary_Sim_1_cum_Alpha_Spent_Upper,${data.simulation.boundarySim.1.cumAlphaSpentUpper},,,,,10000,FALSE,0,never,,table-completeness: fill boundarySim.1.cumAlphaSpentUpper (auto-skips N/A),
19,190,ConfigureDesign,Page,fill,txt_boundary_Sim_0_cum_Alpha_Spent_Lower,${data.simulation.boundarySim.0.cumAlphaSpentLower},,,,,10000,FALSE,0,never,,fill boundarySim.0.cumAlphaSpentLower,
20,200,ConfigureDesign,Page,fill,txt_boundary_Sim_1_cum_Alpha_Spent,${data.simulation.boundarySim.1.cumAlphaSpent},,,,,10000,FALSE,0,never,,fill boundarySim.1.cumAlphaSpent,
21,210,ConfigureDesign,Page,fill,txt_boundary_Sim_1_efficacy_Z,${data.simulation.boundarySim.1.efficacyZ},,,,,10000,FALSE,0,never,,fill boundarySim.1.efficacyZ,
22,220,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_Z,${data.simulation.boundarySim.0.futilityZ},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityZ,
23,230,ConfigureDesign,Page,fill,txt_boundary_Sim_1_efficacy_PValue,${data.simulation.boundarySim.1.efficacyPValue},,,,,10000,FALSE,0,never,,fill boundarySim.1.efficacyPValue,
24,240,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_CP,${data.simulation.boundarySim.0.futilityCP},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityCP,
25,250,ConfigureDesign,Page,fill,txt_boundary_Sim_0_efficacy_Z,${data.simulation.boundarySim.0.efficacyZ},,,,,10000,FALSE,0,never,,fill boundarySim.0.efficacyZ,
26,260,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_PValue,${data.simulation.boundarySim.0.futilityPValue},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityPValue,
27,270,ConfigureDesign,Page,click,btn_Recalculate,,,,,,10000,TRUE,0,never,,"click Recalculate — Optional (mirrors feature_DOP(PD)): boundarySim mixes analysisSpacingInfo- and cumAlphaSpentUpper/Lower-driven iterations, so a single-column SkipIf gate doesn't fit; Optional lets FIXED-design iterations (no boundary at all) skip the button that never renders for them",
28,280,ConfigureDesign,Page,click,btn_Response,,,,,,10000,FALSE,0,never,,click Response,
