TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Expected H0,accrDuration,74.346,20260825T145250_35bad6,,
Accrual and Study Duration,Expected H0,params,Expected H0,20260825T145250_35bad6,,
Accrual and Study Duration,Expected H0,studyDuration,83.002,20260825T145250_35bad6,,
Accrual and Study Duration,Expected H1,accrDuration,63.078,20260825T145250_35bad6,,
Accrual and Study Duration,Expected H1,params,Expected H1,20260825T145250_35bad6,,
Accrual and Study Duration,Expected H1,studyDuration,71.734,20260825T145250_35bad6,,
Accrual and Study Duration,Maximum,accrDuration,76.97,20260825T145250_35bad6,,
Accrual and Study Duration,Maximum,params,Maximum,20260825T145250_35bad6,,
Accrual and Study Duration,Maximum,studyDuration,85.626,20260825T145250_35bad6,,
Accrual and Study Duration,row_0,accrDuration,Accrual Duration (Month),20260825T145250_35bad6,,
Accrual and Study Duration,row_0,params,,20260825T145250_35bad6,,
Accrual and Study Duration,row_0,studyDuration,Study Duration (Month),20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis #,1,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis Spacing (%) Info,65.962,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Analysis Time (Month),59.43,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Completers (s),686,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Dropouts (d),68,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Efficacy,0.016,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Efficacy,0.53,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Futility,0.084,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Futility,0,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Pipeline (n-s-d),129,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",1,Sample Size (n),883,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Analysis #,2,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Analysis Spacing (%) Info,100,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Analysis Time (Month),85.626,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Completers (s),1040,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Dropouts (d),103,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Efficacy,0.08,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Efficacy,0.394,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Futility,0.82,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Futility,0.076,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Pipeline (n-s-d),0,20260825T145250_35bad6,,
"Completers, Sample Size, Dropouts, Pipeline and Analysis Times (Per Analysis)",2,Sample Size (n),1143,20260825T145250_35bad6,,
Design Summary #1,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260825T145250_35bad6,,
Design Summary #1,Attained Type 1 Error (α),Value,0.096,20260825T145250_35bad6,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260825T145250_35bad6,,
Design Summary #1,Hypothesis,Value,Super Superiority,20260825T145250_35bad6,,
Design Summary #1,Number of Interims,Parameter,Number of Interims,20260825T145250_35bad6,,
Design Summary #1,Number of Interims,Value,1,20260825T145250_35bad6,,
Design Summary #1,Power,Parameter,Power,20260825T145250_35bad6,,
Design Summary #1,Power,Value,0.924,20260825T145250_35bad6,,
Design Summary #1,Probability of Success,Parameter,Probability of Success,20260825T145250_35bad6,,
Design Summary #1,Probability of Success,Value,0.305,20260825T145250_35bad6,,
Design Summary #1,Test Name,Parameter,Test Name,20260825T145250_35bad6,,
Design Summary #1,Test Name,Value,Odds Ratio of Proportions (Parallel Design),20260825T145250_35bad6,,
Design Summary #1,Test Type,Parameter,Test Type,20260825T145250_35bad6,,
Design Summary #1,Test Type,Value,1-Sided,20260825T145250_35bad6,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260825T145250_35bad6,,
Design Summary #1,Type 1 Error (α),Value,0.09559,20260825T145250_35bad6,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260825T145250_35bad6,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.222,20260825T145250_35bad6,,
Design Summary #2,Follow-up Time (Month),Parameter,Follow-up Time (Month),20260825T145250_35bad6,,
Design Summary #2,Follow-up Time (Month),Value,8.656,20260825T145250_35bad6,,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260825T145250_35bad6,,
Design Summary #2,Probability of Dropout,Value,0.0896,20260825T145250_35bad6,,
Design Summary #2,Proportion Under Control (πc),Parameter,Proportion Under Control (πc),20260825T145250_35bad6,,
Design Summary #2,Proportion Under Control (πc),Value,0.3215,20260825T145250_35bad6,,
Design Summary #2,Proportion Under Treatment (NULL) (πt0),Parameter,Proportion Under Treatment (NULL) (πt0),20260825T145250_35bad6,,
Design Summary #2,Proportion Under Treatment (NULL) (πt0),Value,0.52382,20260825T145250_35bad6,,
Design Summary #2,Proportion Under Treatment (πt1),Parameter,Proportion Under Treatment (πt1),20260825T145250_35bad6,,
Design Summary #2,Proportion Under Treatment (πt1),Value,0.611777,20260825T145250_35bad6,,
Design Summary #2,Under H0,Parameter,Under H0,20260825T145250_35bad6,,
Design Summary #2,Under H0,Value,2.32156,20260825T145250_35bad6,,
Design Summary #2,Under H1,Parameter,Under H1,20260825T145250_35bad6,,
Design Summary #2,Under H1,Value,3.32568,20260825T145250_35bad6,,
Design Summary #2,ψ = (πt (1 - πc) / πc (1 - πt)),Parameter,ψ = (πt (1 - πc) / πc (1 - πt)),20260825T145250_35bad6,,
Design Summary #2,ψ = (πt (1 - πc) / πc (1 - πt)),Value,,20260825T145250_35bad6,,
Design Summary #3,Enrollment Rate (per Month),Parameter,Enrollment Rate (per Month),20260825T145250_35bad6,,
Design Summary #3,Enrollment Rate (per Month),Value,14.85,20260825T145250_35bad6,,
Design Summary #4,Efficacy Boundary,Parameter,Efficacy Boundary,20260825T145250_35bad6,,
Design Summary #4,Efficacy Boundary,Value,Gamma Family (-5.2365),20260825T145250_35bad6,,
Design Summary #4,Futility Boundary,Parameter,Futility Boundary,20260825T145250_35bad6,,
Design Summary #4,Futility Boundary,Value,p-value (Non-Binding),20260825T145250_35bad6,,
Design Summary #5,a,Parameter,a,20260825T145250_35bad6,,
Design Summary #5,a,Parameter,a,20260825T145250_35bad6,,
Design Summary #5,a,Value,1.111,20260825T145250_35bad6,,
Design Summary #5,a,Value,1.3214,20260825T145250_35bad6,,
Design Summary #5,b,Parameter,b,20260825T145250_35bad6,,
Design Summary #5,b,Parameter,b,20260825T145250_35bad6,,
Design Summary #5,b,Value,2.111,20260825T145250_35bad6,,
Design Summary #5,b,Value,2.333,20260825T145250_35bad6,,
Design Summary #5,Distribution,Parameter,Distribution,20260825T145250_35bad6,,
