TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
"Average Sample Size, Dropouts and Analysis Times",%,Analysis #,%,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Analysis Time (Month),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Completers (s),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Dropouts (d),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Pipeline (n-s-d),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Sample Size (n),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Efficacy (%),0,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",%,Futility (%),98,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Analysis #,1,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Analysis Time (Month),1645.529,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Completers (s),8949,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Dropouts (d),874.61,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Pipeline (n-s-d),40.89,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Sample Size (n),9864.5,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Efficacy (%),0,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",1,Futility (%),25,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Analysis #,2,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Analysis Time (Month),2485.067,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Completers (s),13544.493,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Dropouts (d),1325.26,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Pipeline (n-s-d),13.973,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Sample Size (n),14883.726,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Efficacy (%),0,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",2,Futility (%),73,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Analysis #,Average,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Analysis Time (Month),2257.947,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Completers (s),12303.71,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Dropouts (d),1202.07,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Pipeline (n-s-d),21.26,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Sample Size (n),13527.04,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Efficacy (%),—,20260813T162120_3e171d,,
"Average Sample Size, Dropouts and Analysis Times",Average,Futility (%),—,20260813T162120_3e171d,,
Enrollment #1,1,Enrollment Rate (per Month),8,20260813T162120_3e171d,,
Enrollment #1,1,Period,1,20260813T162120_3e171d,,
Enrollment #1,1,Starting At Time (Month),0,20260813T162120_3e171d,,
Enrollment #1,2,Enrollment Rate (per Month),7,20260813T162120_3e171d,,
Enrollment #1,2,Period,2,20260813T162120_3e171d,,
Enrollment #1,2,Starting At Time (Month),0.1,20260813T162120_3e171d,,
Enrollment #1,3,Enrollment Rate (per Month),6,20260813T162120_3e171d,,
Enrollment #1,3,Period,3,20260813T162120_3e171d,,
Enrollment #1,3,Starting At Time (Month),0.2,20260813T162120_3e171d,,
Enrollment #2,Distribution,Parameter,Distribution,20260813T162120_3e171d,,
Enrollment #2,Distribution,Value,Uniform,20260813T162120_3e171d,,
Enrollment #2,Total Accrual Duration (Month),Parameter,Total Accrual Duration (Month),20260813T162120_3e171d,,
Enrollment #2,Total Accrual Duration (Month),Value,2481.283,20260813T162120_3e171d,,
Plan #1,Control Arm,Parameter,Control Arm,20260813T162120_3e171d,,
Plan #1,Control Arm,Value,Control,20260813T162120_3e171d,,
Plan #1,Phase,Parameter,Phase,20260813T162120_3e171d,,
Plan #1,Phase,Value,3,20260813T162120_3e171d,,
Plan #1,Study Objective,Parameter,Study Objective,20260813T162120_3e171d,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260813T162120_3e171d,,
Plan #1,Target Population,Parameter,Target Population,20260813T162120_3e171d,,
Plan #1,Target Population,Value,Adult,20260813T162120_3e171d,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260813T162120_3e171d,,
Plan #1,Treatment Arm,Value,EXP,20260813T162120_3e171d,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260813T162120_3e171d,,
Plan #2,Endpoint Name,Value,EPCont,20260813T162120_3e171d,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260813T162120_3e171d,,
Plan #2,Endpoint Type,Value,Continuous,20260813T162120_3e171d,,
Plan #2,Priority,Parameter,Priority,20260813T162120_3e171d,,
Plan #2,Priority,Value,Primary,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,%,—,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Analysis #,%,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Completers,—,20260813T162120_3e171d,,
