TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Critical Points,Critical Point,Parameter,Critical Point,20260724T172636_d3c55f,,
Critical Points,Critical Point,Value,-1.689,20260724T172636_d3c55f,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260724T172636_d3c55f,,
Design Summary #1,Hypothesis,Value,Superiority,20260724T172636_d3c55f,,
Design Summary #1,Power,Parameter,Power,20260724T172636_d3c55f,,
Design Summary #1,Power,Value,0.555,20260724T172636_d3c55f,,
Design Summary #1,Test Name,Parameter,Test Name,20260724T172636_d3c55f,,
Design Summary #1,Test Name,Value,Parametric Weibull Distribution (One Arm Design),20260724T172636_d3c55f,,
Design Summary #1,Test Type,Parameter,Test Type,20260724T172636_d3c55f,,
Design Summary #1,Test Type,Value,1-Sided,20260724T172636_d3c55f,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260724T172636_d3c55f,,
Design Summary #1,Type 1 Error (α),Value,0.0456,20260724T172636_d3c55f,,
Design Summary #2,Hazard Rate under Alternative (λ1),Parameter,Hazard Rate under Alternative (λ1),20260724T172636_d3c55f,,
Design Summary #2,Hazard Rate under Alternative (λ1),Value,0.017,20260724T172636_d3c55f,,
Design Summary #2,Hazard Rate under Null (λ0),Parameter,Hazard Rate under Null (λ0),20260724T172636_d3c55f,,
Design Summary #2,Hazard Rate under Null (λ0),Value,0.035,20260724T172636_d3c55f,,
Design Summary #2,Hazard Ratio (HR = λ1 / λ0),Parameter,Hazard Ratio (HR = λ1 / λ0),20260724T172636_d3c55f,,
Design Summary #2,Hazard Ratio (HR = λ1 / λ0),Value,0.486,20260724T172636_d3c55f,,
Design Summary #2,Input Method,Parameter,Input Method,20260724T172636_d3c55f,,
Design Summary #2,Input Method,Value,Hazard Rates,20260724T172636_d3c55f,,
Design Summary #2,Weibull Shape Parameter,Parameter,Weibull Shape Parameter,20260724T172636_d3c55f,,
Design Summary #2,Weibull Shape Parameter,Value,5,20260724T172636_d3c55f,,
Design Summary #3,Accrual Duration (Week),Parameter,Accrual Duration (Week),20260724T172636_d3c55f,,
Design Summary #3,Accrual Duration (Week),Value,39,20260724T172636_d3c55f,,
Design Summary #3,Study Duration (Week),Parameter,Study Duration (Week),20260724T172636_d3c55f,,
Design Summary #3,Study Duration (Week),Value,55,20260724T172636_d3c55f,,
Plan #1,Phase,Parameter,Phase,20260724T172636_d3c55f,,
Plan #1,Phase,Value,3,20260724T172636_d3c55f,,
Plan #1,Study Objective,Parameter,Study Objective,20260724T172636_d3c55f,,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260724T172636_d3c55f,,
Plan #1,Target Population,Parameter,Target Population,20260724T172636_d3c55f,,
Plan #1,Target Population,Value,Adult,20260724T172636_d3c55f,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260724T172636_d3c55f,,
Plan #1,Treatment Arm,Value,EXP,20260724T172636_d3c55f,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260724T172636_d3c55f,,
Plan #2,Endpoint Name,Value,EPT,20260724T172636_d3c55f,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260724T172636_d3c55f,,
Plan #2,Endpoint Type,Value,Time to Event,20260724T172636_d3c55f,,
Plan #2,Priority,Parameter,Priority,20260724T172636_d3c55f,,
Plan #2,Priority,Value,Primary,20260724T172636_d3c55f,,
Sample Size Information,Events,Parameter,Events,20260724T172636_d3c55f,,
Sample Size Information,Events,Value,6,20260724T172636_d3c55f,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260724T172636_d3c55f,,
Sample Size Information,Sample Size (n),Value,6,20260724T172636_d3c55f,,
