ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
txt_Project_Name,ProjectPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Study_Objective,ProjectPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Phase,ProjectPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Target_Population,ProjectPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
txt_Control_Arm,ProjectPage,css,#controlArm-0,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Arm,ProjectPage,css,#treatmentArm-0,,,FALSE,textbox from codegen,FALSE
obj_Priority,ProjectPage,label,Priority,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Endpoint_Name,ProjectPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
ddl_Endpoint_Type,ProjectPage,role,button,Time to Event,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Better_Response,ProjectPage,role,columnheader,Better Response,,FALSE,textbox from codegen,FALSE
ddl_Larger_Value,ProjectPage,role,button,Larger Value,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Follow_up_Time_Week,ProjectPage,css,#followUpTime-0,,,FALSE,textbox from codegen,FALSE
btn_Create_Project,ProjectPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_collection_Name,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
ddl_Select_Task,InputSetPage,css,#btnDesign,,,FALSE,dropdown from codegen,FALSE
txt_Select_Test,InputSetPage,css,#reactSelectWrapperDiv > div > div > div.react-select__value-container.react-select__value-container--has-value.css-hlgwow,,,FALSE,textbox from codegen,FALSE
ddl_Select_Test,InputSetPage,css,#testId-19,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,InputSetPage,role,button,Continue,,FALSE,button from codegen,FALSE
ddl_Hypothesis,DesignPage,css,#hypothesis,,,FALSE,native <select> from codegen,FALSE
txt_Allocation_Ratio_ntc_nct,DesignPage,css,#allocationRatio,,,FALSE,textbox from codegen,FALSE
opt_Computed_Parameter,DesignPage,role,radio,{0},,TRUE,choice from codegen (substring - recorded name may be truncated; set Exact=TRUE if it matches the wrong option),FALSE
radio_Power,ResultsPage,role,radio,Power,,FALSE,radio button from codegen,FALSE
txt_Sample_Size_n,ResultsPage,css,#sampleSize,,,FALSE,textbox from codegen,FALSE
txt_Power,ResultsPage,css,#power,,,FALSE,textbox from codegen,FALSE
ddl_Test_Type,ResultsPage,css,#testtype,,,FALSE,native <select> from codegen,FALSE
txt_Type_1_Error,ResultsPage,css,#type1Error,,,FALSE,textbox from codegen,FALSE
radio_Type_1_Error,ResultsPage,role,radio,Type 1 Error (α),,FALSE,radio button from codegen,FALSE
radio_Ratio_of_Means,ResultsPage,role,radio,Ratio of Means (ρ),,FALSE,radio button from codegen,FALSE
ddl_Input_Method,ResultsPage,css,#inputMethod,,,FALSE,native <select> from codegen,FALSE
txt_Mean_Control_c,ResultsPage,css,#meanControl,,,FALSE,textbox from codegen,FALSE
txt_Mean_Treatment_t,ResultsPage,css,#meanTreatment,,,FALSE,textbox from codegen,FALSE
ddl_input_Method,ResultsPage,css,#inputMethod,,,FALSE,native <select> from codegen,FALSE
txt_Ratio_of_Means_t_c,ResultsPage,css,#ratioOfMeans,,,FALSE,textbox from codegen,FALSE
ddl_hypothesis,ResultsPage,css,#hypothesis,,,FALSE,native <select> from codegen,FALSE
txt_Noninferiority_Margin_0,ResultsPage,css,#nonInf_margin,,,FALSE,textbox from codegen,FALSE
txt_non_Inf_ratio_Of_Means,ResultsPage,css,#nonInf_ratioOfMeans,,,FALSE,textbox from codegen,FALSE
txt_Lower_Equivalence_Limit_L,ResultsPage,css,#lowerEquivalenceLimit,,,FALSE,textbox from codegen,FALSE
txt_Upper_Equivalence_Limit_U,ResultsPage,css,#upperEquivalenceLimit,,,FALSE,textbox from codegen,FALSE
obj_Test_Statistic,ResultsPage,label,Test Statistic,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Sqrt_of_MSE_Log,ResultsPage,css,"input[name=""sqrtOfMseLog""]",,,FALSE,textbox from codegen,FALSE
btn_Save,ResultsPage,role,button,Save,,FALSE,button from codegen,TRUE
btn_Save_Compute,DesignPage,role,button,Save & Compute,,FALSE,button from codegen,FALSE
txt_credit_alert_primary,ResultsPage,css,#credit-alert-primary,,,FALSE,textbox from codegen,FALSE
txt_ResultName,ResultsPage,css,#inputId,,,FALSE,textbox from codegen,FALSE
lnk_ResultName,ResultsPage,role,link,{0},,TRUE,result link from codegen,FALSE
lbl_RunStatus,ResultsPage,css,div[role=gridcell][col-id=simStatus],,,FALSE,Run status cell. VERIFY col-id against your app and adjust,FALSE
btn_Simulate,DesignPage,role,button,Simulate,,FALSE,button from codegen,FALSE
txt_ResultName,Page,css,#inputId,,,FALSE,textbox from codegen,FALSE
txt_credit_alert_primary,Page,css,#credit-alert-primary,,,FALSE,textbox from codegen,FALSE
txt_left_Panel_designs,Page,css,"[id=""leftPanel.designs""]",,,FALSE,textbox from codegen,FALSE
txt_Sample_Size_n,Page,css,#sampleSize,,,FALSE,textbox from codegen,FALSE
ddl_Randomization_Method,Page,css,#randomizationMethod,,,FALSE,native <select> from codegen,FALSE
txt_Allocation_Ratio_ntc_nct,Page,css,#allocationRatio,,,FALSE,textbox from codegen,FALSE
txt_Critical_Point,Page,css,#criticalPoint,,,FALSE,textbox from codegen,FALSE
btn_Response,Page,role,button,Response,,FALSE,button from codegen,FALSE
txt_Mean_Control_c,Page,css,#meanControl,,,FALSE,textbox from codegen,FALSE
