Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,DynamicArgs
1,10,Simulate,DesignPage,click,btn_Simulate,,,,,,10000,FALSE,0,never,,click Simulate,
2,20,ConfigureDesign,Page,fill,txt_ResultName,${data.simulation.Sim Result Name},,,,,10000,FALSE,0,never,,fill Result Name,
3,30,ConfigureDesign,Page,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit-alert-primary,
4,40,ConfigureDesign,Page,click,txt_left_Panel_designs,,,,,,10000,FALSE,0,never,,click leftPanel.designs,
5,50,ConfigureDesign,Page,fill,txt_Sample_Size_n,${data.simulation.sampleSize},,,,,10000,FALSE,0,never,,fill Sample Size,
6,60,ConfigureDesign,Page,select,ddl_Randomization_Method,${data.simulation.randomizationMethod},,,,,10000,FALSE,0,always,,Select Randomization Method. Native <select> - select matches by visible label first,
7,70,ConfigureDesign,Page,fill,txt_Allocation_Ratio_ntc_nct,${data.simulation.Allocation Ratio�},,,,,10000,FALSE,0,never,,fill Allocation Ratio,
8,80,ConfigureDesign,Page,fill,txt_Critical_Point,${data.simulation.criticalPoint},,,,,10000,FALSE,0,never,,fill Critical Point,
9,90,ConfigureDesign,Page,click,btn_Response,,,,,,10000,FALSE,0,never,,click Response,
10,100,ConfigureDesign,Page,fill,txt_Mean_Control_c,${data.simulation.meanControl},,,,,10000,FALSE,0,never,,fill Mean Control,
11,110,ConfigureDesign,Page,fill,txt_Mean_Treatment_t,${data.simulation.meanTreatment},,,,,10000,FALSE,0,never,,fill Mean Treatment,
12,120,ConfigureDesign,Page,fill,txt_Sqrt_of_MSE_Log,${data.simulation.sqrtOfMseLog},,,,,10000,FALSE,0,never,,fill Sqrt. of MSE Log,
13,130,ConfigureDesign,Page,click,btn_Simulation_Setup,,,,,,10000,FALSE,0,never,,click Simulation Setup,
14,140,ConfigureDesign,Page,fill,txt_Number_of_Simulations_Run,${data.simulation.Number of Simulations Run},,,,,10000,FALSE,0,never,,fill Number of Simulations Run,
15,150,ConfigureDesign,Page,select,ddl_Random_Number_Seed,${data.simulation.Random Number Seed},,,,,10000,FALSE,0,always,,Select Random Number Seed. Native <select> - select matches by visible label first,
16,160,ConfigureDesign,Page,fill,txt_Fixed_Seed,${data.simulation.Fixed Seed},,,,,10000,FALSE,0,never,,fill Fixed Seed,
17,170,ConfigureDesign,Page,check,chk_save_Summary_Stats,,,,,,10000,FALSE,0,always,${data.simulation.saveSummaryStats}!=checked,check saveSummaryStats when testdata saveSummaryStats=checked (SkipIf gates it per iteration),
18,180,ConfigureDesign,Page,uncheck,chk_save_Summary_Stats,,,,,,10000,FALSE,0,always,${data.simulation.saveSummaryStats}!=unchecked,uncheck saveSummaryStats when testdata saveSummaryStats=unchecked (SkipIf gates it per iteration),
19,190,ConfigureDesign,Page,check,chk_save_Subject_Level_Data,,,,,,10000,FALSE,0,always,${data.simulation.saveSubjectLevelData}!=checked,check saveSubjectLevelData when testdata saveSubjectLevelData=checked (SkipIf gates it per iteration),
20,200,ConfigureDesign,Page,uncheck,chk_save_Subject_Level_Data,,,,,,10000,FALSE,0,always,${data.simulation.saveSubjectLevelData}!=unchecked,uncheck saveSubjectLevelData when testdata saveSubjectLevelData=unchecked (SkipIf gates it per iteration),
21,210,ConfigureDesign,Page,fill,txt_sub_Level_Data_Sim_Runs,${data.simulation.subLevelDataSimRuns},,,,,10000,FALSE,0,never,${data.simulation.subLevelDataSimRuns}==N/A,fill subLevelDataSimRuns,
22,220,ConfigureDesign,Page,click,btn_Save,,,,,,10000,FALSE,0,never,,click Save,
23,230,Simulate,DesignPage,click,btn_Save_Simulate,,,,,,10000,FALSE,0,never,,click Save Simulate,
24,240,ConfigureDesign,Page,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit-alert-primary,
25,250,Simulate,ResultsPage,waitForSimulation,lbl_RunStatus,,,,Completed,,120000,FALSE,0,always,,Poll the run status until Completed before opening the result,
26,260,ExtractResults,ResultsPage,click,lnk_ResultName,${data.simulation.Sim Result Name},,,,visible,180000,FALSE,0,always,,Open the computed result by name (only appears once compute finishes),
27,270,ExtractResults,ResultsPage,callCustom,,extractAllResultTables,,,,,120000,FALSE,0,always,,Capture EVERY table on the result page. Requires custom/<Feature>/customSteps.ts to export extractAllResultTables,
28,280,ExtractResults,-,compareWithBaseline,,,,,,,60000,FALSE,0,never,,Compare captured cells against 06_baseline/<env>/. First run writes the baseline and reports BASELINE_CREATED (green but verifies nothing); every later run is a real PASS/FAIL,
