TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Critical Points,Critical Point,Parameter,Critical Point,20260924T160833_aa2349,,
Critical Points,Critical Point,Value,2.103,20260924T160833_aa2349,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260924T160833_aa2349,,
Design Summary #1,Hypothesis,Value,Noninferiority,20260924T160833_aa2349,,
Design Summary #1,Power,Parameter,Power,20260924T160833_aa2349,,
Design Summary #1,Power,Value,0.884,20260924T160833_aa2349,,
Design Summary #1,Sample Size (n),Parameter,Sample Size (n),20260924T160833_aa2349,,
Design Summary #1,Sample Size (n),Value,16,20260924T160833_aa2349,,
Design Summary #1,Test Name,Parameter,Test Name,20260924T160833_aa2349,,
Design Summary #1,Test Name,Value,Ratio of Means (Crossover Design),20260924T160833_aa2349,,
Design Summary #1,Test Type,Parameter,Test Type,20260924T160833_aa2349,,
Design Summary #1,Test Type,Value,1-Sided,20260924T160833_aa2349,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260924T160833_aa2349,,
Design Summary #1,Type 1 Error (α),Value,0.027,20260924T160833_aa2349,,
Design Summary #2,Allocation Ratio (ntc/nct),Parameter,Allocation Ratio (ntc/nct),20260924T160833_aa2349,,
Design Summary #2,Allocation Ratio (ntc/nct),Value,1.2,20260924T160833_aa2349,,
Design Summary #2,Input Method,Parameter,Input Method,20260924T160833_aa2349,,
Design Summary #2,Input Method,Value,Ratio of Means,20260924T160833_aa2349,,
Design Summary #2,Noninferiority Margin (ρ0),Parameter,Noninferiority Margin (ρ0),20260924T160833_aa2349,,
Design Summary #2,Noninferiority Margin (ρ0),Value,0.4,20260924T160833_aa2349,,
Design Summary #2,Ratio of Means (ρ= μt / μc),Parameter,Ratio of Means (ρ= μt / μc),20260924T160833_aa2349,,
Design Summary #2,Ratio of Means (ρ= μt / μc),Value,0.77,20260924T160833_aa2349,,
Design Summary #2,Sqrt. of MSE Log,Parameter,Sqrt. of MSE Log,20260924T160833_aa2349,,
Design Summary #2,Sqrt. of MSE Log,Value,0.55,20260924T160833_aa2349,,
Design Summary #2,Test Statistic,Parameter,Test Statistic,20260924T160833_aa2349,,
Design Summary #2,Test Statistic,Value,t,20260924T160833_aa2349,,
Design Summary #2,Under H0,Parameter,Under H0,20260924T160833_aa2349,,
Design Summary #2,Under H0,Value,0.4,20260924T160833_aa2349,,
Design Summary #2,Under H1,Parameter,Under H1,20260924T160833_aa2349,,
Design Summary #2,Under H1,Value,0.77,20260924T160833_aa2349,,
Design Summary #2,ρ = μt / μc,Parameter,ρ = μt / μc,20260924T160833_aa2349,,
Design Summary #2,ρ = μt / μc,Value,,20260924T160833_aa2349,,
Plan #1,Control Arm,Parameter,Control Arm,20260924T160833_aa2349,,
Plan #1,Control Arm,Value,Ctrl,20260924T160833_aa2349,,
Plan #1,Phase,Parameter,Phase,20260924T160833_aa2349,,
Plan #1,Phase,Value,3,20260924T160833_aa2349,,
Plan #1,Study Objective,Parameter,Study Objective,20260924T160833_aa2349,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260924T160833_aa2349,,
Plan #1,Target Population,Parameter,Target Population,20260924T160833_aa2349,,
Plan #1,Target Population,Value,Adult,20260924T160833_aa2349,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260924T160833_aa2349,,
Plan #1,Treatment Arm,Value,EXP,20260924T160833_aa2349,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260924T160833_aa2349,,
Plan #2,Endpoint Name,Value,EPCont,20260924T160833_aa2349,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260924T160833_aa2349,,
Plan #2,Endpoint Type,Value,Continuous,20260924T160833_aa2349,,
Plan #2,Follow-up Time (Month),Parameter,Follow-up Time (Month),20260924T160833_aa2349,,
Plan #2,Follow-up Time (Month),Value,1,20260924T160833_aa2349,,
Plan #2,Priority,Parameter,Priority,20260924T160833_aa2349,,
Plan #2,Priority,Value,Primary,20260924T160833_aa2349,,
Sample Size Information,Control (n_c),Parameter,Control (n_c),20260924T160833_aa2349,,
Sample Size Information,Control (n_c),Value,7,20260924T160833_aa2349,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260924T160833_aa2349,,
Sample Size Information,Sample Size (n),Value,16,20260924T160833_aa2349,,
Sample Size Information,Treatment (n_t),Parameter,Treatment (n_t),20260924T160833_aa2349,,
Sample Size Information,Treatment (n_t),Value,9,20260924T160833_aa2349,,
Summary,Narrative,Text,"The study will require a total of 16 subjects to establish Noninferiority of the treatment group to the control group with desired power of 88.448%. This test is based on a 1-Sided ratio of means test for a 2x2 crossover design for continuous response data with significance level 0.027. The ratio of means between treatment and control groups under the alternative hypothesis is 0.77. This test assumes a Noninferiority margin of 0.4 and root mean squared error of the log ratio equal to 0.55. The allocation ratio is 1.2, and therefore of the 16 subjects, 7 are allocated to the control-treatment sequence and 9 subjects are allocated to the treatment-control sequence.",20260924T160833_aa2349,,
