TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Accrual Duration (Week),Parameter,Accrual Duration (Week),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Accrual and Study Duration,Accrual Duration (Week),Value,15,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Accrual and Study Duration,Study Duration (Week),Parameter,Study Duration (Week),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Accrual and Study Duration,Study Duration (Week),Value,18.3,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Critical Points,Critical Point,Parameter,Critical Point,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Critical Points,Critical Point,Value,-1.822,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Enrollment,name,Enrollment,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Enrollment,Parameter,Mean Treatment (μt),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Enrollment,Value,1.55,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Model,name,Model,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Model,Parameter,Input Method,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Model,Value,Individual Means,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_1,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_1,Parameter,Allocation Ratio (nt/nc),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_1,Value,1,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_10,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_10,Parameter,Coefficient of Variation of Data,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_10,Value,0.58,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_3,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_3,Parameter,Mean Control (μc),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_3,Value,2.78,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_5,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_5,Parameter,Enrollment Rate (per Week),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_5,Value,8,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_6,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_6,Parameter,Under H0,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_6,Value,1,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_7,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_7,Parameter,Under H1,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_7,Value,0.558,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_8,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_8,Parameter,Follow-up Time (Week),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_8,Value,3.3,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_9,name,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_9,Parameter,Probability of Dropout,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,row_9,Value,0.078,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Test,name,Test,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Test,Parameter,Enrollment Rate (per Week),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #1,Test,Value,8,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Hypothesis,Parameter,Hypothesis,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Hypothesis,Value,Superiority,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Power,Parameter,Power,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Power,Value,1,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Sample Size (n),Parameter,Sample Size (n),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Sample Size (n),Value,120,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Test Name,Parameter,Test Name,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Test Name,Value,Ratio of Means (Parallel Design),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Test Type,Parameter,Test Type,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Test Type,Value,1-Sided,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Type 1 Error (α),Parameter,Type 1 Error (α),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #2,Type 1 Error (α),Value,0.0356,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Allocation Ratio (nt/nc),Value,1,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Coefficient of Variation of Data,Parameter,Coefficient of Variation of Data,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Coefficient of Variation of Data,Value,0.58,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Follow-up Time (Week),Value,3.3,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Input Method,Parameter,Input Method,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Input Method,Value,Individual Means,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Mean Control (μc),Parameter,Mean Control (μc),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Mean Control (μc),Value,2.78,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Mean Treatment (μt),Parameter,Mean Treatment (μt),20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Mean Treatment (μt),Value,1.55,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Probability of Dropout,Parameter,Probability of Dropout,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Probability of Dropout,Value,0.078,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Test Statistic,Parameter,Test Statistic,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Test Statistic,Value,t,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Under H0,Parameter,Under H0,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Under H0,Value,1,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Under H1,Parameter,Under H1,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,Under H1,Value,0.558,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,ρ = μt / μc,Parameter,ρ = μt / μc,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
Design Summary #3,ρ = μt / μc,Value,,20260717T001343_0d8b2e,2026-07-17T00:13:43.553+05:30,
