TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Accrual and Study Duration,Accrual Duration (Day),Parameter,Accrual Duration (Day),20260722T175849_7c6c38,
Accrual and Study Duration,Accrual Duration (Day),Value,12.5,20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Day),Parameter,Study Duration (Day),20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Day),Value,14.15,20260722T175849_7c6c38,
Critical Points,Critical Point,Parameter,Critical Point,20260722T175849_7c6c38,
Critical Points,Critical Point,Value,-2.356,20260722T175849_7c6c38,
Design Summary #1,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260722T175849_7c6c38,
Design Summary #1,Attained Type 1 Error (α),Value,0.01,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Value,Noninferiority,20260722T175849_7c6c38,
Design Summary #1,Power,Parameter,Power,20260722T175849_7c6c38,
Design Summary #1,Power,Value,0.822,20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Parameter,Sample Size (n),20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Value,150,20260722T175849_7c6c38,
Design Summary #1,Test Name,Parameter,Test Name,20260722T175849_7c6c38,
Design Summary #1,Test Name,Value,Ratio of Means (Parallel Design),20260722T175849_7c6c38,
Design Summary #1,Test Type,Parameter,Test Type,20260722T175849_7c6c38,
Design Summary #1,Test Type,Value,1-Sided,20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Value,NA,20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.11,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Parameter,Coefficient of Variation of Data,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Value,0.522,20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Day),Parameter,Follow-up Time (Day),20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Day),Value,1.65,20260722T175849_7c6c38,
Design Summary #2,Input Method,Parameter,Input Method,20260722T175849_7c6c38,
Design Summary #2,Input Method,Value,Ratio of Means,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Value,0.085,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Parameter,Test Statistic,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Value,t,20260722T175849_7c6c38,
Design Summary #2,Under H0,Parameter,Under H0,20260722T175849_7c6c38,
Design Summary #2,Under H0,Value,1.12,20260722T175849_7c6c38,
Design Summary #2,Under H1,Parameter,Under H1,20260722T175849_7c6c38,
Design Summary #2,Under H1,Value,0.85,20260722T175849_7c6c38,
Design Summary #2,ρ = μt / μc,Parameter,ρ = μt / μc,20260722T175849_7c6c38,
Design Summary #2,ρ = μt / μc,Value,,20260722T175849_7c6c38,
Design Summary #3,Enrollment Rate (per Day),Parameter,Enrollment Rate (per Day),20260722T175849_7c6c38,
Design Summary #3,Enrollment Rate (per Day),Value,12,20260722T175849_7c6c38,
Plan #1,Control Arm,Parameter,Control Arm,20260722T175849_7c6c38,
Plan #1,Control Arm,Value,Crt Arm,20260722T175849_7c6c38,
Plan #1,Phase,Parameter,Phase,20260722T175849_7c6c38,
Plan #1,Phase,Value,3,20260722T175849_7c6c38,
Plan #1,Study Objective,Parameter,Study Objective,20260722T175849_7c6c38,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260722T175849_7c6c38,
Plan #1,Target Population,Parameter,Target Population,20260722T175849_7c6c38,
Plan #1,Target Population,Value,Adult,20260722T175849_7c6c38,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260722T175849_7c6c38,
Plan #1,Treatment Arm,Value,EXP,20260722T175849_7c6c38,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260722T175849_7c6c38,
Plan #2,Endpoint Name,Value,EP1,20260722T175849_7c6c38,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260722T175849_7c6c38,
Plan #2,Endpoint Type,Value,Continuous,20260722T175849_7c6c38,
Plan #2,Priority,Parameter,Priority,20260722T175849_7c6c38,
Plan #2,Priority,Value,Primary,20260722T175849_7c6c38,
Sample Size Information,Completers (s),Parameter,Completers (s),20260722T175849_7c6c38,
Sample Size Information,Completers (s),Value,137,20260722T175849_7c6c38,
Sample Size Information,Control (d_c),Parameter,Control (d_c),20260722T175849_7c6c38,
Sample Size Information,Control (d_c),Value,6,20260722T175849_7c6c38,
Sample Size Information,Control (n_c),Parameter,Control (n_c),20260722T175849_7c6c38,
Sample Size Information,Control (n_c),Value,71,20260722T175849_7c6c38,
Sample Size Information,Control (s_c),Parameter,Control (s_c),20260722T175849_7c6c38,
Sample Size Information,Control (s_c),Value,65,20260722T175849_7c6c38,
Sample Size Information,Dropouts (d),Parameter,Dropouts (d),20260722T175849_7c6c38,
Sample Size Information,Dropouts (d),Value,13,20260722T175849_7c6c38,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260722T175849_7c6c38,
Sample Size Information,Sample Size (n),Value,150,20260722T175849_7c6c38,
Sample Size Information,Treatment (d_t),Parameter,Treatment (d_t),20260722T175849_7c6c38,
Sample Size Information,Treatment (d_t),Value,7,20260722T175849_7c6c38,
Sample Size Information,Treatment (n_t),Parameter,Treatment (n_t),20260722T175849_7c6c38,
Sample Size Information,Treatment (n_t),Value,79,20260722T175849_7c6c38,
Sample Size Information,Treatment (s_t),Parameter,Treatment (s_t),20260722T175849_7c6c38,
Sample Size Information,Treatment (s_t),Value,72,20260722T175849_7c6c38,
