TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Enrollment #1,1,Enrollment Rate (per Week),10.85,20260724T093133_e592b9,
Enrollment #1,1,Period,1,20260724T093133_e592b9,
Enrollment #1,1,Starting At Time (Week),0,20260724T093133_e592b9,
Enrollment #2,Average Completers,Parameter,Average Completers,20260724T093133_e592b9,
Enrollment #2,Average Completers,Value,139.68,20260724T093133_e592b9,
Enrollment #2,Average Pipeline,Parameter,Average Pipeline,20260724T093133_e592b9,
Enrollment #2,Average Pipeline,Value,1.61,20260724T093133_e592b9,
Enrollment #2,Distribution,Parameter,Distribution,20260724T093133_e592b9,
Enrollment #2,Distribution,Value,Uniform,20260724T093133_e592b9,
Enrollment #2,Total Accrual Duration (Week),Parameter,Total Accrual Duration (Week),20260724T093133_e592b9,
Enrollment #2,Total Accrual Duration (Week),Value,14.286,20260724T093133_e592b9,
Overall Simulation Results,%,Lower H0,97,20260724T093133_e592b9,
Overall Simulation Results,%,params,%,20260724T093133_e592b9,
Overall Simulation Results,%,Upper H0,0,20260724T093133_e592b9,
Overall Simulation Results,No. of Rejections,Lower H0,97,20260724T093133_e592b9,
Overall Simulation Results,No. of Rejections,params,No. of Rejections,20260724T093133_e592b9,
Overall Simulation Results,No. of Rejections,Upper H0,0,20260724T093133_e592b9,
Plan #1,Control Arm,Parameter,Control Arm,20260724T093133_e592b9,
Plan #1,Control Arm,Value,Crt Arm,20260724T093133_e592b9,
Plan #1,Phase,Parameter,Phase,20260724T093133_e592b9,
Plan #1,Phase,Value,3,20260724T093133_e592b9,
Plan #1,Study Objective,Parameter,Study Objective,20260724T093133_e592b9,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260724T093133_e592b9,
Plan #1,Target Population,Parameter,Target Population,20260724T093133_e592b9,
Plan #1,Target Population,Value,Adult,20260724T093133_e592b9,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260724T093133_e592b9,
