TC_ID,IterationID,hypothesis,allocationRatio,Computed Parameter,sampleSize,power,testtype,type1Error,upperType1Error,lowerType1Error,proportionUnderControl_SP,proportionUnderTreatment_SP_AH,ratioOfProportions_SP,proportionUnderControl_SS,proportionUnderTreatment_SS_NH,superSuperiorityMargin,proportionUnderTreatment_SS_AH,ratioOfProportions_SS,proportionUnderControl_NI,proportionUnderTreatment_NI_NH,nonInferiorityMargin,proportionUnderTreatment_NI_AH,ratioOfProportions_NI,includeExactComputation,followUpTime,probabilityOfDropout,variance,testStatistic,scoreTestStatisticVariance,includeAssurance,priorDistributionFor,distributionMethod,assuranceInputMethod,minPiC,maxPiC,pi_c_a,pi_c_b,percPiC1stOperator,percPiC1stPercentileVal,percPiC1stPercentileProb,percPiC2ndOperator,percPiC2ndPercentileVal,percPiC2ndPercentileProb,percPiCRho1stOperator,percPiCRho1stPercentileVal,percPiCRho1stPercentileProb,percPiCRho2ndOperator,percPiCRho2ndPercentileVal,percPiCRho2ndPercentileProb,minPiT,maxPiT,pi_t_a,pi_t_b,percPiT1stOperator,percPiT1stPercentileVal,percPiT1stPercentileProb,percPiT2ndOperator,percPiT2ndPercentileVal,percPiT2ndPercentileProb,percPiTRho1stOperator,percPiTRho1stPercentileVal,percPiTRho1stPercentileProb,percPiTRho2ndOperator,percPiTRho2ndPercentileVal,percPiTRho2ndPercentileProb,effBoundaryFam,effSpendFunc,effParam,effParamRho,effParamGamma,fix,shapeParamDelta,asymEffBoundaryFam,upperSpendFunc,upperParam,upperParamRho,upperParamGamma,lowerSpendFunc,lowerParam,lowerParamRho,lowerParamGamma,futBoundaryFam,futSpendFunc,futParam,futBoundary,futParamRho,futParamGamma,computeCP,shapeParamDeltaTwo,boundaryScale,IncludeEnrollment,enrollmentTable.0.avgSubjectsEnrolled
TC_21,ITER_01,Superiority,1.23,Sample Size,Computed,0.923,2-Sided,0.0562,,,0.568,Computed,1.6325,,,,,,,,,,,,6.85,0.04996,Pooled Estimate,,,TRUE,1,Beta,2,,,,,1,0.0856,0.111,2,0.9165,0.115,,,,,,,,,,,,,,,,,,,,,,,Spending Functions,Lan-DeMets,2,,,,,,,,,,,,,,Spending Functions,Rho Family,,2,4.55,,,,2,check,10.5
TC_21,ITER_02,Superiority,1.355,Power,550,Computed,2-Sided (Asymmetric),,0.03256,0.02588,0.685,Computed,1.4444,,,,,,,,,,,,5.89,0.0777,Unpooled Estimate,,,TRUE,2,Uniform,,,,,,,,,,,,,,,,,,0.123,0.7564,,,,,,,,,,,,,,,,,,,,,,Spending Functions,Interpolated,,,,Interpolated,,,,,,,,,,,,4,check,16.88
TC_21,ITER_03,Noninferiority,1.2,Type 1 Error,480,0.8856,,Computed,,,,,,,,,,,0.652,Computed,1.222,Computed,0.654,,6.885,0.1132,,Score (Farrington Manning),Empirical Estimate,TRUE,3,Beta,5,,,,,1,0.06856,0.123,2,0.222,0.1333,,,,,,,,,,,1,0.08888,0.132,2,0.93215,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,6.7788
TC_21,ITER_04,Noninferiority,1.222,Power,465,Computed,,0.092,,,,,,,,,,,0.7775,Computed,1.0555,Computed,0.558,,0,,,Wald,,TRUE,1,Beta,3,,,,,,,,,,,1,0.88865,0.06856,2,15.5566,0.112,,,,,,,,,,,,,,,,,Spending Functions,Rho Family,,5.56,,,,,,,,,,,,,Spending Functions,Gamma Family,,1,,-6.321,,,7,check,12
TC_21,ITER_05,Superiority,0.99,Sample Size,Computed,0.72,1-Sided,0.07564,,,0.4456,Computed,1.852,,,,,,,,,,,,10.658,0.12333,Pooled Estimate,,,TRUE,1,Uniform,,0.6589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,,1,,,,,,,,,,,Conditional Power,,,,,,1,,,check,9.9998
TC_21,ITER_06,Noninferiority,1.3652,Power,777,Computed,,0.08321,,,,,,,,,,,0.5556,Computed,0.31111,Computed,0.5594,,8.8885,0.22215,,Score (Farrington Manning),Under Null Hypothesis,TRUE,3,Beta,1,,,1.222,1.335,,,,,,,,,,,,,,,1.321,1.6325,,,,,,,,,,,,,Wang-Tsiatis,,,,,,0.215,,,,,,,,,,Pampallona-Tsiatis,,,2,,,,0.321,5,check,11.111
TC_21,ITER_07,Super Superiority,1.222,Sample Size,Computed,0.92385,1-Sided,0.09559,,,,,,0.6856,Computed,1.2456,Computed,1.3565,1.3565,,,,,,8.656,0.0896,,,,TRUE,2,Beta,4,,,,,,,,,,,,,,,,,,,,,1,0.22166,0.2265,2,0.9558,0.33256,,,,,,,Spending Functions,Gamma Family,,,-5.2365,,,,,,,,,,,,p-value,,,,,,,,3,check,14.85
TC_21,ITER_08,Superiority,1.2,Type 1 Error,480,0.8658,2-Sided,Computed,,,0.4658,Computed,1.11,,,,,,,,,,,,11.88,0.1685,Unpooled Estimate,,,TRUE,3,Uniform,,0.14456,0.888,,,,,,,,,,,,,,,0.2265,0.88899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,20
TC_21,ITER_09,Super Superiority,2.22,Sample Size,Computed,0.8999,1-Sided,0.04485,,,,,,0.58885,Computed,1.1185,Computed,1.6654,,,,,,,0,,,,,TRUE,2,Beta,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.122,0.0856,2,1.5585,0.1125,Spending Functions,Interpolated,,,,,,,,,,,,,,,5,,,,,,,,1,check,12.222
TC_21,ITER_10,Superiority,2.1112,Power,625,Computed,1-Sided,0.05523,,,0.4488,Computed,1.335,,,,,,,,,,,,8.995,0.1111,Pooled Estimate,,,TRUE,1,Beta,1,,,1.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,,2,,,,,,,,,,,p-value,,,,,,,,,check,15
