TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,efficacyCheck,futilityCheck,cumAlphaSpent,efficacyBoundaryUpper,efficacyBoundaryLower,cumBetaSpent,efficacyPValue,futilityPValue,futilityRho,futilityCP,upperAlpha,lowerAlpha,futilityBoundaryUpper,futilityBoundaryLower
TC_21,ITER_01,0,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_01,1,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_01,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_02,0,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02156,0.0185,N/A,N/A
TC_21,ITER_02,1,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02222,0.021111,N/A,N/A
TC_21,ITER_04,0,30,uncheck,check,,,,,,,,,,,,
TC_21,ITER_04,1,55,check,uncheck,,,,,,,,,,,,
TC_21,ITER_04,2,65,check,uncheck,,,,,,,,,,,,
TC_21,ITER_04,3,80,,check,,,,,,,,,,,,
TC_21,ITER_05,0,30,uncheck,check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.333,N/A,N/A,N/A,N/A
TC_21,ITER_05,1,65,check,uncheck,N/A,N/A,N/A,N/A,0.00025,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_05,2,85,N/A,check,N/A,N/A,N/A,N/A,0.000523,N/A,N/A,0.4522,N/A,N/A,N/A,N/A
TC_21,ITER_06,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_06,1,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_07,0,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9155,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_09,0,35,N/A,N/A,0.01856,N/A,N/A,N/A,N/A,N/A,0.0021,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_09,1,70,N/A,N/A,0.02856,N/A,N/A,N/A,N/A,N/A,0.0066,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,0,30,N/A,N/A,N/A,N/A,N/A,N/A,0.0001,0.81,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,1,40,N/A,N/A,N/A,N/A,N/A,N/A,0.0002,0.82,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,2,50,N/A,N/A,N/A,N/A,N/A,N/A,0.0003,0.83,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,3,60,N/A,N/A,N/A,N/A,N/A,N/A,0.0004,0.84,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,4,70,N/A,N/A,N/A,N/A,N/A,N/A,0.0005,0.85,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,5,80,N/A,N/A,N/A,N/A,N/A,N/A,0.0006,0.88,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,6,90,N/A,N/A,N/A,N/A,N/A,N/A,0.0007,0.92,N/A,N/A,N/A,N/A,N/A,N/A
TC_21,ITER_10,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0008,N/A,N/A,N/A,N/A,N/A,N/A,N/A
